sample_id,T_now_C,RH_now_pct,CO2_now_ppm,T_forecast_30min_C,PMV_forecast,comfort_class_now,comfort_class_forecast
45,26.33,68.3,559.0,26.92,0.505,2,2
46,22.42,67.2,529.0,22.01,-0.021,4,2
47,20.41,66.7,1115.0,21.19,-0.086,1,3
48,22.87,58.5,887.0,23.32,0.008,4,2
49,18.12,37.7,1010.0,18.14,-0.29,2,1
50,18.06,43.4,1176.0,18.99,-0.319,2,3
51,22.71,54.4,942.0,23.36,0.041,4,2
52,19.9,52.2,1038.0,21.0,-0.266,3,3
53,19.23,30.9,595.0,18.42,-0.263,2,2
54,23.51,56.0,489.0,23.48,0.094,2,2
55,21.71,36.6,621.0,21.15,0.062,1,2
56,26.55,50.8,802.0,25.74,0.413,2,2
57,23.37,55.7,761.0,22.76,0.024,2,2
58,18.2,66.4,647.0,17.8,-0.378,2,1
59,22.59,52.0,928.0,23.17,0.261,2,3
60,24.91,42.6,554.0,24.0,0.129,2,2
61,20.99,31.4,744.0,20.95,-0.218,2,2
62,20.78,55.8,1191.0,21.37,-0.07,2,1
63,20.08,57.6,1004.0,18.59,-0.124,1,2
64,19.3,66.6,1028.0,19.68,-0.307,2,1
65,18.54,55.8,434.0,18.35,-0.277,3,1
66,25.84,50.7,471.0,27.15,0.484,2,2
67,20.75,51.0,879.0,21.78,0.089,0,1
68,23.34,60.7,434.0,23.59,0.245,2,2
69,21.41,58.6,699.0,22.35,-0.017,2,2
70,26.88,49.4,767.0,27.33,0.571,2,2
71,24.35,50.6,408.0,23.69,-0.141,2,3
72,24.33,34.7,406.0,24.0,0.165,2,1
73,20.03,40.4,618.0,19.7,-0.175,3,2
74,27.23,33.5,681.0,26.36,0.174,3,1
75,24.99,39.0,709.0,25.55,0.315,2,2
76,20.73,51.6,1112.0,20.38,-0.202,0,2
77,27.06,67.5,462.0,27.44,0.661,2,4
78,19.45,56.7,483.0,19.3,-0.254,2,3
79,19.11,55.4,1114.0,19.44,-0.462,2,2
80,20.94,41.0,1116.0,21.51,-0.115,2,1
81,26.84,65.3,437.0,26.14,0.347,4,2
82,25.15,43.3,480.0,25.17,0.369,3,2
83,22.64,55.0,484.0,23.39,0.178,2,2
84,26.17,43.3,732.0,24.7,0.218,2,2
85,20.85,38.7,794.0,19.98,-0.07,2,2
86,27.13,31.6,1036.0,26.97,0.456,2,3
87,21.71,70.0,969.0,22.24,0.069,2,2
88,20.44,55.0,427.0,19.42,-0.125,2,2
89,18.76,53.7,548.0,19.19,-0.342,2,4
90,18.14,55.2,691.0,19.33,-0.282,0,3
91,23.03,69.7,1054.0,22.87,0.078,2,3
92,18.61,69.9,435.0,18.16,-0.311,1,3
93,18.22,39.1,713.0,17.93,-0.458,3,2
94,21.25,55.9,1190.0,19.64,-0.306,0,3
95,24.89,66.8,1124.0,24.8,0.232,1,2
96,22.29,62.7,681.0,22.15,0.089,2,3
97,22.41,61.0,1197.0,21.92,0.001,4,2
98,22.48,66.4,720.0,22.6,0.011,2,3
99,23.94,45.9,1040.0,24.1,-0.01,2,3
100,23.31,61.0,808.0,24.07,0.095,2,1
101,21.45,31.6,1003.0,21.19,0.014,3,2
102,21.11,58.0,912.0,21.76,-0.253,2,2
103,21.46,59.5,1193.0,20.79,-0.056,2,1
104,19.8,69.7,724.0,20.37,-0.245,1,4
105,22.2,59.0,630.0,23.01,0.206,2,1
106,26.87,66.8,939.0,25.44,0.216,2,2
107,23.54,60.7,992.0,23.9,0.118,3,2
108,18.74,52.4,835.0,17.83,-0.346,0,1
109,19.96,62.4,666.0,20.92,-0.191,2,0
110,18.26,31.6,668.0,18.41,-0.381,2,2
111,23.46,65.7,849.0,22.89,0.168,3,2
112,26.12,53.7,573.0,25.06,0.081,2,2
113,18.08,46.1,502.0,18.04,-0.356,0,2
114,21.66,66.7,507.0,21.33,0.006,2,2
115,27.08,44.7,424.0,26.27,0.486,4,3
116,19.23,51.3,900.0,18.64,-0.428,2,2
117,18.48,43.6,824.0,17.84,-0.384,3,2
118,24.76,69.3,673.0,25.52,0.463,4,3
119,22.06,47.9,576.0,22.96,-0.081,2,3
120,21.3,69.7,783.0,21.35,-0.23,2,2
121,18.17,58.8,992.0,18.49,-0.286,3,2
122,19.37,45.6,563.0,19.12,-0.124,2,0
123,25.38,43.8,980.0,24.53,0.27,3,2
124,27.55,54.8,594.0,28.51,0.645,2,2
125,27.98,44.2,878.0,27.85,0.498,2,3
126,27.97,47.2,1044.0,28.52,0.555,2,2
127,24.68,53.7,578.0,22.96,0.04,2,0
128,25.62,67.6,1039.0,27.57,0.519,2,2
129,23.92,48.7,906.0,24.75,0.266,2,2
130,27.55,54.7,415.0,27.43,0.585,2,2
131,25.44,52.7,935.0,26.86,0.434,3,1
132,18.46,64.0,644.0,19.0,-0.377,2,2
133,24.69,68.9,695.0,25.96,0.431,1,2
134,26.88,65.6,1152.0,26.73,0.481,2,2
135,25.1,46.1,440.0,25.44,0.38,2,2
136,24.49,68.8,439.0,25.31,0.288,2,2
137,25.32,38.8,694.0,25.31,0.447,3,1
138,19.11,52.8,517.0,18.6,-0.289,1,2
139,27.13,53.4,483.0,26.98,0.441,2,3
140,21.41,31.7,974.0,21.62,0.082,2,3
141,27.81,31.2,586.0,29.04,0.705,2,3
142,20.34,67.7,1009.0,18.82,-0.394,3,2
143,27.0,50.9,929.0,26.96,0.556,0,1
144,19.64,37.4,875.0,18.96,-0.431,2,2
145,24.12,68.0,1117.0,24.6,0.269,2,1
146,21.64,49.3,1171.0,21.04,-0.247,2,1
147,26.72,34.0,712.0,26.81,0.482,2,2
148,18.99,33.8,1103.0,19.64,-0.083,2,2
149,22.49,63.2,595.0,23.46,0.039,2,3
150,20.75,63.7,851.0,21.24,-0.187,2,2
151,22.27,30.1,531.0,21.98,0.002,2,2
152,25.97,33.3,1183.0,25.48,0.452,2,2
153,20.29,66.4,1112.0,21.34,0.136,2,1
154,27.43,61.2,980.0,26.44,0.542,2,3
155,20.27,66.4,791.0,20.56,-0.126,2,1
156,22.54,54.9,614.0,21.87,-0.128,2,2
157,26.27,30.6,1040.0,25.62,0.403,2,2
158,26.44,63.4,547.0,25.91,0.423,2,3
159,27.6,34.5,950.0,27.53,0.598,2,3
160,27.43,40.8,1114.0,27.05,0.471,2,2
161,22.84,66.4,1025.0,23.59,0.224,3,1
162,26.81,52.9,1137.0,27.68,0.446,3,2
163,21.04,48.4,852.0,22.97,-0.025,2,3
164,24.97,45.1,511.0,23.52,0.003,2,2
165,27.42,35.2,758.0,27.84,0.558,2,3
166,21.85,57.1,1071.0,21.77,-0.091,3,2
167,21.46,42.5,1017.0,21.22,-0.234,3,2
168,23.1,34.4,404.0,22.26,0.024,2,3
169,24.6,69.8,446.0,25.11,0.351,2,2
170,22.0,43.3,837.0,22.53,-0.005,3,2
171,21.77,32.1,741.0,22.61,0.02,3,2
172,20.62,47.1,972.0,20.91,-0.239,2,2
173,24.05,62.6,774.0,25.11,0.299,2,4
174,25.76,69.5,752.0,24.8,0.216,3,2
175,26.38,36.3,940.0,27.6,0.267,2,0
176,21.0,41.7,710.0,21.59,-0.06,2,3
177,25.54,39.4,1012.0,23.67,0.012,3,1
178,19.31,69.8,423.0,19.55,-0.51,2,1
179,18.93,55.4,1084.0,20.33,-0.293,2,2
180,24.48,57.4,500.0,25.37,0.172,2,2
181,20.64,34.1,1074.0,21.21,-0.059,1,1
182,19.35,57.4,966.0,18.32,-0.377,2,2
183,21.55,46.6,797.0,22.52,-0.029,1,3
184,25.94,55.6,835.0,25.56,0.385,2,2
185,19.76,57.9,1072.0,20.53,-0.185,2,3
186,26.06,32.1,692.0,26.03,0.511,2,2
187,27.36,53.7,967.0,28.42,0.567,2,3
188,23.31,57.6,676.0,23.43,0.038,2,2
189,27.14,38.9,546.0,26.45,0.455,1,2
190,24.4,34.5,639.0,25.34,0.369,3,2
191,25.69,65.6,1031.0,26.21,0.432,3,1
192,24.89,57.5,1169.0,24.29,0.373,4,2
193,21.55,50.5,1084.0,21.83,0.147,2,3
194,22.2,50.8,695.0,21.46,0.054,2,2
195,19.62,31.6,711.0,20.1,-0.153,2,2
196,25.17,64.3,495.0,25.25,0.397,2,2
197,27.61,48.3,1042.0,27.15,0.61,2,2
198,23.81,33.5,844.0,22.45,0.154,2,2
199,27.94,60.4,684.0,27.7,0.7,2,3
200,24.53,67.5,976.0,24.97,0.349,1,2
201,26.86,39.0,760.0,27.21,0.52,3,0
202,24.7,47.3,580.0,23.95,0.118,2,2
203,22.17,51.4,1041.0,21.85,-0.047,2,2
204,22.26,65.5,584.0,22.93,0.14,2,2
205,20.91,63.8,1162.0,22.28,-0.185,0,2
206,24.4,52.5,814.0,25.26,0.464,2,4
207,24.86,67.4,964.0,24.99,0.197,3,2
208,20.11,47.3,875.0,20.59,-0.212,3,2
209,20.45,54.0,623.0,20.48,-0.127,2,1
210,26.04,46.7,538.0,26.89,0.654,1,2
211,20.58,66.7,1063.0,20.17,-0.157,2,2
212,22.37,44.2,501.0,22.16,0.087,2,3
213,25.24,65.1,1121.0,24.6,0.17,2,2
214,20.67,40.5,607.0,20.43,-0.142,2,2
215,19.97,54.0,1155.0,19.71,-0.144,2,2
216,27.74,56.9,1168.0,27.85,0.578,1,2
217,26.6,37.3,533.0,25.94,0.404,1,3
218,23.52,31.2,460.0,23.84,0.259,2,4
219,20.47,58.0,1147.0,20.28,-0.146,3,3
220,18.59,65.7,588.0,18.43,-0.428,0,2
221,26.45,55.2,650.0,26.81,0.663,3,2
222,27.06,47.1,1008.0,26.96,0.623,1,2
223,22.95,45.3,1093.0,24.0,0.2,2,3
224,19.18,63.9,1088.0,18.43,-0.218,2,2
225,27.32,67.3,727.0,28.9,0.682,2,3
226,20.79,59.3,429.0,20.5,-0.114,2,2
227,26.83,44.9,1131.0,27.73,0.717,2,2
228,20.33,60.0,920.0,20.85,-0.304,2,2
229,22.29,30.5,481.0,22.43,0.068,2,1
230,23.09,38.1,602.0,22.92,0.091,3,1
231,18.76,39.0,1135.0,20.69,-0.109,0,3
232,24.07,49.4,1108.0,23.74,0.252,2,2
233,26.29,53.9,814.0,25.88,0.355,2,2
234,24.53,63.3,1141.0,24.65,0.349,2,2
235,20.94,64.0,675.0,20.6,-0.285,1,1
236,27.56,69.1,921.0,27.58,0.627,3,2
237,23.8,67.3,1067.0,24.24,0.005,2,3
238,18.76,36.2,1153.0,17.76,-0.301,1,2
239,18.29,53.1,1091.0,18.26,-0.26,2,2
240,19.61,49.8,854.0,17.87,-0.413,2,2
241,19.78,49.4,814.0,21.24,0.085,2,2
242,26.75,41.5,1032.0,26.82,0.351,2,2
243,19.78,33.6,640.0,19.59,-0.327,2,1
244,23.13,34.6,480.0,22.09,0.193,2,3
245,23.85,49.8,604.0,23.84,0.062,2,4
246,26.13,44.6,1084.0,25.99,0.268,2,2
247,23.38,31.0,866.0,23.22,0.036,3,2
248,24.12,45.7,561.0,24.79,0.379,1,2
249,20.12,60.3,724.0,19.65,-0.327,3,2
250,20.06,57.7,459.0,21.83,0.054,1,2
251,23.29,54.7,840.0,23.19,0.158,2,2
252,19.29,65.9,765.0,19.46,-0.55,2,2
253,25.39,47.4,1180.0,25.66,0.199,2,2
254,21.64,33.3,633.0,21.83,-0.102,2,2
255,23.63,61.8,552.0,23.74,0.122,2,2
256,21.28,47.7,1181.0,22.68,0.039,2,3
257,18.11,48.4,583.0,18.37,-0.328,3,2
258,26.05,55.0,1003.0,26.54,0.35,2,2
259,24.49,64.3,561.0,24.38,0.235,2,3
260,23.52,39.8,1083.0,22.8,0.036,2,2
261,18.57,42.9,995.0,17.83,-0.606,2,1
262,25.25,68.4,472.0,25.45,0.226,2,1
263,20.0,69.8,1142.0,19.57,-0.185,1,2
264,20.33,37.5,584.0,19.39,-0.307,1,2
265,24.83,53.6,959.0,23.63,0.147,2,2
266,18.85,52.6,691.0,18.35,-0.405,1,1
267,26.18,61.9,1125.0,27.67,0.593,1,2
268,19.83,62.9,762.0,20.42,-0.194,3,1
269,27.95,43.6,711.0,28.02,0.725,2,2
270,20.07,32.2,854.0,20.81,-0.168,2,2
271,26.18,43.6,650.0,26.04,0.426,2,2
272,24.95,48.2,426.0,25.54,0.381,2,2
273,20.33,44.2,777.0,19.74,-0.305,3,1
274,26.98,55.8,439.0,27.46,0.572,1,2
275,23.38,36.0,632.0,22.66,0.105,1,2
276,22.13,68.1,626.0,22.6,0.111,3,4
277,24.63,44.9,538.0,24.74,0.322,1,2
278,18.99,43.5,1051.0,17.96,-0.258,2,2
279,19.0,51.4,983.0,18.57,-0.162,2,3
280,24.99,63.0,543.0,24.65,0.205,3,1
281,27.85,63.1,1161.0,26.94,0.589,2,3
282,19.26,36.1,512.0,18.54,-0.378,2,2
283,22.17,37.4,1078.0,21.48,0.089,2,2
284,20.82,47.2,627.0,21.65,-0.158,0,3
285,19.9,46.3,441.0,19.49,-0.298,2,3
286,20.81,61.1,570.0,20.51,0.03,2,3
287,22.33,42.3,603.0,20.64,-0.155,3,2
288,25.86,38.1,484.0,26.75,0.67,2,3
289,18.29,55.5,622.0,17.6,-0.575,1,3
290,25.71,47.9,499.0,25.74,0.588,3,2
291,20.28,62.5,1110.0,20.77,-0.09,2,2
292,27.06,31.7,1044.0,27.03,0.561,2,2
293,27.12,61.1,1006.0,25.75,0.465,2,2
294,20.17,48.6,827.0,19.58,-0.176,2,2
295,19.33,70.0,836.0,20.29,-0.263,2,2
296,18.91,56.5,503.0,19.26,-0.322,2,3
297,27.01,37.9,1030.0,26.5,0.326,2,2
298,25.33,63.5,1175.0,23.47,0.316,2,2
299,21.88,45.3,480.0,22.76,0.083,2,1
300,24.6,32.0,981.0,24.14,0.144,2,4
301,24.96,38.1,1062.0,25.12,0.357,4,3
302,19.26,48.0,645.0,19.25,-0.239,3,3
303,22.16,37.9,965.0,22.3,0.018,1,2
304,22.57,45.7,628.0,23.64,0.251,2,4
305,20.41,56.9,1104.0,21.47,-0.056,2,2
306,23.34,36.4,890.0,23.57,0.11,3,3
307,18.0,69.0,1075.0,18.33,-0.409,2,2
308,20.24,31.0,1065.0,20.57,-0.234,2,2
309,26.6,67.3,778.0,25.76,0.359,1,4
310,26.27,42.4,494.0,27.34,0.497,4,3
311,21.49,61.8,1036.0,21.53,-0.049,2,2
312,24.91,47.1,739.0,23.94,0.211,4,1
313,27.31,63.1,763.0,27.64,0.578,2,2
314,20.47,55.5,1157.0,19.93,-0.168,2,2
315,23.59,40.5,600.0,24.32,0.17,0,2
316,27.19,60.0,708.0,29.1,0.762,2,2
317,19.75,38.9,1181.0,20.51,-0.018,2,4
318,19.64,34.4,884.0,21.29,-0.114,2,2
319,23.14,69.8,1003.0,22.1,-0.001,2,0
320,19.03,64.1,805.0,17.52,-0.343,2,2
321,20.32,50.3,878.0,19.76,-0.149,2,2
322,24.25,32.8,855.0,23.36,0.082,1,2
323,19.07,43.3,409.0,18.74,-0.25,2,4
324,19.75,58.6,845.0,21.15,-0.119,2,2
325,20.75,44.2,733.0,20.31,-0.333,2,2
326,18.61,57.8,833.0,19.54,-0.213,2,2
327,21.53,36.2,943.0,21.36,0.019,3,3
328,19.39,50.4,612.0,19.0,-0.27,2,2
329,18.35,44.8,680.0,17.32,-0.385,2,3
330,24.97,62.8,956.0,25.3,0.362,2,2
331,19.48,49.1,612.0,20.25,-0.239,3,2
332,20.33,67.3,451.0,19.87,-0.148,3,2
333,26.9,40.2,673.0,27.82,0.711,1,1
334,23.27,60.1,437.0,22.7,0.078,2,2
335,22.89,48.8,854.0,24.53,0.237,2,2
336,19.08,62.3,887.0,19.02,-0.425,3,3
337,19.66,35.2,1058.0,19.21,-0.305,0,2
338,23.02,66.8,1055.0,23.31,0.1,2,3
339,27.85,53.9,789.0,28.11,0.565,2,2
340,18.8,45.9,618.0,18.79,-0.4,1,2
341,18.43,46.2,445.0,19.77,-0.276,2,2
342,21.18,39.4,454.0,22.06,0.149,3,2
343,24.58,67.6,862.0,23.96,0.233,3,2
344,26.7,51.0,803.0,26.02,0.463,2,0
345,24.8,43.3,836.0,26.02,0.533,3,2
346,27.65,62.1,423.0,26.67,0.487,2,2
347,22.95,58.3,1171.0,23.17,0.138,2,3
348,27.98,59.6,796.0,25.86,0.413,2,2
349,19.15,58.4,591.0,19.94,-0.332,2,3
350,19.81,46.2,806.0,19.15,-0.201,2,3
351,19.1,45.7,1031.0,19.08,-0.305,2,2
352,26.91,68.0,871.0,26.81,0.427,2,2
353,19.38,31.5,825.0,20.03,-0.245,2,2
354,22.81,64.8,687.0,22.81,0.184,2,4
355,19.9,42.8,534.0,20.34,-0.089,3,1
356,21.88,58.4,859.0,20.84,-0.118,1,2
357,22.85,30.5,932.0,23.9,0.164,2,0
358,19.74,56.6,549.0,18.71,-0.372,2,2
359,20.61,41.6,481.0,21.02,-0.105,4,3
360,19.95,69.3,1107.0,20.39,-0.081,2,1
361,27.87,67.8,637.0,26.94,0.475,2,2
362,26.93,54.0,812.0,26.9,0.473,2,0
363,19.04,31.8,551.0,20.27,-0.208,2,3
364,26.3,51.8,568.0,25.6,0.392,4,1
365,24.1,35.3,437.0,23.84,0.155,2,2
366,26.64,48.5,985.0,25.31,0.345,2,2
367,22.09,51.4,518.0,22.26,-0.074,2,2
368,26.28,37.0,1200.0,25.79,0.383,2,2
369,22.7,56.0,1124.0,22.45,0.067,3,2
370,27.97,51.6,443.0,28.94,0.578,2,2
371,22.81,38.8,740.0,22.72,0.069,3,2
372,22.67,55.3,657.0,22.06,0.065,2,1
373,21.54,38.0,848.0,21.57,-0.029,3,2
374,18.89,30.5,900.0,19.26,-0.315,3,2
375,25.63,43.9,595.0,25.35,0.366,2,2
376,21.68,55.0,932.0,22.29,0.04,2,3
377,26.39,54.3,1102.0,26.51,0.516,2,2
378,25.77,58.0,709.0,25.59,0.406,1,2
379,25.26,64.7,1002.0,24.87,0.284,2,2
380,19.58,34.3,665.0,19.91,-0.234,3,2
381,23.06,47.2,1008.0,24.01,0.193,2,2
382,20.79,57.4,545.0,20.76,-0.142,2,2
383,27.68,47.7,758.0,27.47,0.671,2,4
384,27.13,36.6,1178.0,27.17,0.511,2,2
385,19.96,48.3,1111.0,19.7,-0.113,3,3
386,25.96,30.6,950.0,25.49,0.495,2,2
387,24.33,51.4,943.0,23.9,0.111,4,2
388,27.96,58.6,572.0,27.56,0.647,2,2
389,21.76,51.3,1166.0,20.9,0.03,2,2
390,19.48,43.6,675.0,19.31,-0.345,2,1
391,18.61,64.9,964.0,18.7,-0.325,2,2
392,26.55,65.4,1143.0,26.58,0.453,3,2
393,23.98,42.8,764.0,23.25,0.068,0,2
394,18.66,62.1,584.0,17.88,-0.462,2,2
395,24.56,66.8,790.0,25.04,0.302,1,2
396,27.28,59.9,506.0,26.37,0.345,3,2
397,23.35,38.0,1179.0,22.76,0.067,2,2
398,20.15,59.7,499.0,19.51,-0.326,3,2
399,26.33,60.4,832.0,25.56,0.248,2,2
400,24.42,59.3,464.0,24.49,0.045,2,2
401,26.85,56.3,693.0,27.08,0.538,2,3
402,25.85,53.6,1023.0,26.98,0.381,2,2
403,23.54,44.4,719.0,23.62,0.17,1,2
404,22.15,30.8,825.0,22.05,-0.097,2,2
405,19.62,38.0,702.0,19.57,-0.237,3,0
406,26.23,55.5,975.0,26.28,0.417,2,0
407,24.12,63.6,1197.0,23.17,0.282,3,2
408,24.76,37.5,686.0,24.21,0.178,3,2
409,18.08,52.6,745.0,18.85,-0.277,3,3
410,26.62,33.4,435.0,26.72,0.511,3,2
411,23.14,41.7,584.0,22.36,0.02,3,3
412,23.73,46.9,575.0,23.65,0.18,2,3
413,27.84,31.4,1008.0,27.26,0.551,2,3
414,21.23,36.4,834.0,22.66,0.127,2,0
415,20.65,53.8,781.0,21.1,0.117,2,2
416,24.39,50.9,643.0,24.3,0.303,0,2
417,22.66,56.5,969.0,22.66,0.228,3,3
418,25.87,52.3,546.0,26.36,0.376,2,2
419,26.62,69.7,633.0,26.92,0.346,2,2
420,24.48,48.8,409.0,24.34,0.246,3,2
421,25.04,43.5,890.0,24.8,0.228,2,4
422,22.15,59.6,722.0,21.57,-0.056,2,3
423,19.81,66.4,1057.0,19.62,-0.277,3,3
424,25.87,37.2,1169.0,26.13,0.431,4,2
425,24.09,66.3,504.0,24.62,0.19,3,2
426,23.4,69.9,827.0,23.39,0.14,2,2
427,21.41,38.6,1067.0,20.42,-0.207,3,2
428,23.51,68.9,565.0,24.9,0.231,2,2
429,26.17,68.2,941.0,27.93,0.617,1,2
430,19.59,32.3,429.0,19.92,-0.248,2,2
431,24.59,33.1,1057.0,24.39,0.393,3,2
432,25.34,52.1,845.0,25.89,0.413,2,2
433,21.29,38.0,418.0,19.25,-0.216,2,2
434,20.99,32.9,581.0,20.71,-0.092,1,2
435,18.97,45.8,684.0,19.26,-0.204,3,4
436,25.46,43.9,733.0,26.41,0.364,2,4
437,21.65,34.1,1024.0,22.02,-0.135,2,0
438,22.46,35.2,769.0,23.52,0.193,0,2
439,25.41,50.6,745.0,24.88,0.407,2,2
440,18.68,55.4,687.0,18.42,-0.353,4,2
441,18.28,42.3,706.0,17.34,-0.602,2,2
442,20.7,68.5,570.0,20.97,-0.012,2,2
443,24.56,44.2,472.0,24.81,0.205,0,3
444,24.14,35.5,644.0,24.29,0.104,3,2
445,18.14,46.2,1189.0,19.1,-0.161,3,2
446,27.17,55.4,752.0,27.75,0.479,3,2
447,22.68,53.1,893.0,23.15,0.061,3,2
448,23.2,60.0,553.0,23.3,0.005,2,1
449,18.37,48.0,526.0,19.91,-0.169,2,2
450,18.47,30.4,1006.0,18.16,-0.39,4,2
451,26.24,35.9,1049.0,26.04,0.311,1,2
452,21.61,64.4,612.0,21.6,-0.085,1,0
453,27.37,54.6,887.0,26.61,0.525,2,3
454,19.9,68.1,1146.0,20.1,-0.129,2,1
455,20.44,52.7,684.0,22.27,0.047,1,2
456,20.3,61.5,554.0,20.33,-0.044,3,1
457,20.93,43.1,573.0,20.11,-0.026,2,2
458,18.03,36.8,445.0,17.48,-0.346,2,2
459,24.59,32.4,1164.0,23.88,0.439,3,2
460,18.92,33.0,813.0,17.78,-0.311,2,0
461,26.33,38.9,857.0,26.1,0.449,2,2
462,24.3,60.6,812.0,24.96,0.47,3,0
463,21.97,65.8,799.0,22.86,-0.104,2,3
464,19.76,48.8,818.0,19.26,-0.159,2,4
465,23.55,69.2,763.0,24.53,0.188,2,2
466,19.38,57.9,862.0,19.13,-0.147,1,2
467,21.61,68.7,645.0,20.77,-0.115,2,2
468,18.01,33.3,1070.0,18.1,-0.362,2,2
469,19.73,53.0,627.0,19.71,-0.264,1,2
470,21.19,56.3,1069.0,20.31,-0.196,2,2
471,22.24,63.0,839.0,22.5,0.154,3,2
472,18.95,51.1,1007.0,17.42,-0.6,3,2
473,26.28,49.2,604.0,25.19,0.385,4,2
474,23.28,62.8,878.0,23.38,0.371,2,2
475,18.78,38.4,564.0,18.86,-0.464,1,2
476,27.46,48.1,1151.0,27.39,0.413,2,2
477,20.44,54.6,457.0,20.14,-0.05,0,2
478,19.7,62.3,557.0,19.77,-0.29,1,2
479,23.56,50.1,493.0,22.76,0.188,1,2
480,26.82,55.5,950.0,26.27,0.404,4,2
481,25.04,38.0,939.0,23.95,0.048,2,1
482,22.89,60.1,578.0,22.27,-0.047,2,3
483,26.95,62.5,852.0,28.19,0.624,0,2
484,19.2,62.1,922.0,20.68,0.108,2,2
485,19.16,66.7,1080.0,21.22,-0.016,2,2
486,24.26,44.3,772.0,23.66,0.368,2,2
487,23.21,40.2,586.0,23.37,0.112,3,2
488,19.12,49.2,406.0,19.4,-0.338,2,2
489,24.65,36.1,727.0,23.91,0.247,4,2
490,27.29,51.3,644.0,27.05,0.479,3,2
491,22.06,55.1,772.0,22.98,-0.059,3,3
492,21.93,69.7,434.0,21.98,0.004,3,2
493,20.2,46.7,714.0,20.02,-0.1,2,2
494,24.17,41.3,471.0,23.99,0.238,2,3
495,20.09,68.6,603.0,20.68,-0.154,2,3
496,25.42,58.8,622.0,24.32,0.279,3,3
497,21.26,51.9,747.0,20.07,-0.176,2,3
498,24.99,54.8,498.0,24.86,0.257,2,2
499,27.97,41.8,981.0,28.68,0.701,2,1
500,20.26,37.4,1188.0,20.83,-0.316,2,3
501,21.08,31.5,1152.0,21.5,-0.026,1,3
502,18.25,52.1,673.0,18.6,-0.539,1,0
503,27.0,34.0,952.0,27.7,0.503,3,2
504,25.14,49.9,1105.0,24.94,0.31,2,2
505,27.67,42.3,1051.0,27.51,0.596,1,3
506,19.57,59.3,412.0,19.65,-0.473,2,1
507,22.67,45.1,1055.0,22.69,0.123,2,2
508,24.52,64.0,856.0,25.38,0.253,3,2
509,23.83,51.8,443.0,23.39,0.214,3,2
510,22.05,65.1,1116.0,22.46,0.151,2,2
511,18.31,39.8,1031.0,17.97,-0.373,2,3
512,25.03,65.7,781.0,24.23,0.223,3,2
513,24.61,50.6,731.0,24.69,0.197,2,1
514,25.18,57.6,917.0,25.71,0.36,2,2
515,27.36,45.2,772.0,26.91,0.436,2,3
516,19.94,45.1,1187.0,20.95,-0.358,2,2
517,18.64,58.1,814.0,18.63,-0.428,1,2
518,22.65,41.3,730.0,23.93,0.188,2,1
519,25.49,69.7,434.0,25.49,0.278,2,3
