hour,month,hour_of_day,T_outdoor_C,kWh_m2_RB,kWh_m2_NA,PMV_NA
78,1,6,11.94,0.24452,0.1949,0.31
79,1,7,8.19,0.23714,0.19756,-0.41
80,1,8,12.86,0.24846,0.19448,-0.572
81,1,9,12.36,0.24523,0.20091,-0.574
82,1,10,9.52,0.23462,0.19921,0.185
83,1,11,10.09,0.25594,0.19868,-0.154
84,1,12,11.09,0.24413,0.19844,-0.495
85,1,13,8.83,0.25646,0.20129,0.235
86,1,14,8.78,0.23464,0.19665,-0.249
87,1,15,7.5,0.23579,0.19964,0.34
88,1,16,8.67,0.25091,0.20049,0.123
89,1,17,6.74,0.2513,0.20051,-0.224
90,1,18,7.48,0.24201,0.20027,0.047
91,1,19,8.12,0.25394,0.19752,-0.081
92,1,20,8.59,0.23542,0.20127,0.325
93,1,21,9.39,0.24074,0.20122,0.008
94,1,22,8.82,0.2562,0.19866,-0.052
95,1,23,8.16,0.24008,0.19672,0.837
96,1,0,10.66,0.2523,0.20038,0.317
97,1,1,10.01,0.2343,0.19847,-0.359
98,1,2,11.48,0.2415,0.19505,-0.059
99,1,3,11.33,0.24805,0.19492,-0.225
100,1,4,11.48,0.23468,0.20063,-0.203
101,1,5,10.96,0.23497,0.20194,0.093
102,1,6,10.05,0.25282,0.20163,-0.563
103,1,7,10.71,0.25195,0.19854,-0.085
104,1,8,12.09,0.23562,0.19802,-0.064
105,1,9,10.9,0.23427,0.19506,-0.115
106,1,10,10.82,0.25118,0.19874,-0.331
107,1,11,9.91,0.2399,0.201,0.161
108,1,12,9.72,0.2347,0.19851,0.005
109,1,13,9.01,0.24832,0.19963,0.199
110,1,14,10.65,0.24722,0.20126,-0.307
111,1,15,10.28,0.23969,0.19561,-0.323
112,1,16,5.64,0.2472,0.19474,-0.21
113,1,17,7.91,0.24048,0.20057,0.75
114,1,18,6.6,0.25523,0.20064,0.197
115,1,19,6.25,0.25576,0.20098,0.733
116,1,20,8.95,0.2571,0.19531,-0.188
117,1,21,6.37,0.25667,0.20079,0.542
118,1,22,8.39,0.24306,0.19629,0.495
119,1,23,8.99,0.25175,0.20161,0.019
120,1,0,9.05,0.24394,0.19514,0.249
121,1,1,10.14,0.2385,0.19944,0.206
122,1,2,8.97,0.23568,0.19944,0.511
123,1,3,12.47,0.24565,0.20087,0.046
124,1,4,13.29,0.25438,0.19732,0.702
125,1,5,12.08,0.25015,0.19581,0.547
126,1,6,12.56,0.24251,0.19759,-0.703
127,1,7,11.16,0.24549,0.20033,0.287
128,1,8,12.86,0.25403,0.20164,-0.552
129,1,9,9.21,0.24415,0.20189,-0.022
130,1,10,8.43,0.24842,0.19602,-0.036
131,1,11,10.38,0.23735,0.19686,-0.376
132,1,12,9.44,0.24926,0.19549,0.382
133,1,13,8.45,0.23723,0.19482,-0.317
134,1,14,8.39,0.23795,0.19701,-0.414
135,1,15,10.05,0.23386,0.20045,0.014
136,1,16,7.07,0.25431,0.20142,0.086
137,1,17,7.46,0.25266,0.20005,-0.088
138,1,18,6.97,0.24198,0.19796,-0.23
139,1,19,6.05,0.24423,0.20004,0.547
140,1,20,8.34,0.24544,0.19834,0.125
141,1,21,7.96,0.24595,0.19604,-0.382
142,1,22,7.74,0.23339,0.19667,-0.569
143,1,23,8.34,0.23583,0.20118,-0.433
144,1,0,11.19,0.25224,0.19807,0.353
145,1,1,10.1,0.24728,0.20003,-0.345
146,1,2,9.46,0.23985,0.197,-0.076
147,1,3,11.84,0.24162,0.20194,0.764
148,1,4,9.83,0.23539,0.19533,0.225
149,1,5,10.78,0.23747,0.19638,-0.195
150,1,6,11.55,0.24295,0.2019,-0.332
151,1,7,11.19,0.25666,0.20098,-0.363
152,1,8,10.66,0.23708,0.19942,0.302
153,1,9,11.01,0.24691,0.19634,0.301
154,1,10,9.84,0.24083,0.19749,0.228
155,1,11,8.39,0.23571,0.19896,0.019
156,1,12,10.14,0.23668,0.19793,-0.665
157,1,13,8.33,0.24115,0.19519,0.019
158,1,14,9.51,0.23914,0.19952,-0.231
159,1,15,8.62,0.24445,0.19738,0.577
160,1,16,8.35,0.25326,0.20177,-0.081
161,1,17,7.94,0.2559,0.19556,-0.242
162,1,18,7.59,0.24698,0.20079,-0.062
163,1,19,7.91,0.23784,0.19542,-0.165
164,1,20,8.16,0.2492,0.19826,-0.168
165,1,21,8.96,0.24251,0.20059,-0.13
166,1,22,6.46,0.24424,0.19651,-0.403
167,1,23,9.0,0.23859,0.20125,0.671
168,1,0,10.33,0.25512,0.19907,-0.884
169,1,1,8.54,0.23631,0.20041,0.458
170,1,2,11.13,0.25481,0.20037,0.908
171,1,3,10.45,0.23899,0.20002,-0.34
172,1,4,11.3,0.25159,0.20107,-0.191
173,1,5,12.47,0.23561,0.20083,-0.204
174,1,6,11.23,0.25244,0.19531,-0.392
175,1,7,12.19,0.25055,0.1992,-0.369
176,1,8,11.65,0.23907,0.19686,0.751
177,1,9,9.14,0.24422,0.20163,0.598
178,1,10,10.78,0.2453,0.19897,-0.45
179,1,11,10.13,0.24997,0.20143,0.29
180,1,12,8.71,0.24702,0.19893,0.189
181,1,13,10.58,0.2558,0.20145,-0.204
182,1,14,7.51,0.25704,0.20077,-0.05
183,1,15,8.14,0.24739,0.19728,0.438
184,1,16,7.61,0.25258,0.19416,-0.171
185,1,17,6.56,0.24607,0.20141,-0.662
186,1,18,6.21,0.25097,0.1977,-0.518
187,1,19,7.31,0.23635,0.19552,-0.601
188,1,20,5.07,0.25532,0.19699,-0.022
189,1,21,9.93,0.23321,0.19938,0.451
190,1,22,8.23,0.23499,0.20202,-0.443
191,1,23,11.56,0.23454,0.20006,0.024
192,1,0,9.7,0.23792,0.19563,-0.058
193,1,1,9.98,0.24674,0.19464,-0.217
194,1,2,10.25,0.24575,0.19761,0.602
195,1,3,12.16,0.2367,0.19556,-0.829
196,1,4,9.82,0.24868,0.19736,-0.311
197,1,5,12.37,0.23356,0.19588,0.509
198,1,6,12.22,0.23338,0.19495,-0.452
199,1,7,10.91,0.2489,0.19601,0.196
200,1,8,10.99,0.2506,0.2009,-0.15
201,1,9,10.55,0.24927,0.19574,0.464
202,1,10,11.09,0.23321,0.1948,-0.124
203,1,11,10.34,0.24322,0.20119,-0.5
204,1,12,8.98,0.23925,0.19713,0.42
205,1,13,7.43,0.24819,0.19736,0.242
206,1,14,6.42,0.24011,0.20164,0.679
207,1,15,7.54,0.25418,0.19798,0.16
208,1,16,7.88,0.24332,0.1943,0.06
209,1,17,7.88,0.24842,0.19616,-0.684
210,1,18,7.67,0.25703,0.19829,-0.074
211,1,19,7.03,0.23334,0.20136,-0.311
212,1,20,7.96,0.23961,0.19851,-0.391
213,1,21,9.11,0.23795,0.19421,0.189
214,1,22,8.76,0.24762,0.19939,0.393
215,1,23,7.14,0.24561,0.19449,-0.512
216,1,0,10.02,0.23492,0.1989,-0.29
217,1,1,9.41,0.23997,0.19694,-0.563
218,1,2,9.52,0.24678,0.19789,0.421
219,1,3,11.41,0.25085,0.19582,0.074
220,1,4,10.66,0.24506,0.19885,0.049
221,1,5,12.58,0.23551,0.19472,-0.281
222,1,6,11.47,0.24977,0.19757,0.708
223,1,7,12.14,0.25249,0.19962,-0.225
224,1,8,11.85,0.24174,0.19485,-0.628
225,1,9,10.84,0.23743,0.19841,0.248
226,1,10,10.88,0.25267,0.19934,0.244
227,1,11,10.85,0.23901,0.198,0.184
228,1,12,9.93,0.23732,0.19862,0.083
229,1,13,7.9,0.25556,0.20181,0.421
230,1,14,8.46,0.25403,0.20081,0.273
231,1,15,9.02,0.2338,0.19884,-0.206
232,1,16,7.33,0.23478,0.19964,-0.124
233,1,17,8.82,0.2345,0.19662,-0.358
234,1,18,8.95,0.24071,0.19908,0.079
235,1,19,7.84,0.2386,0.19431,0.356
236,1,20,7.85,0.25592,0.20045,0.426
237,1,21,7.57,0.24466,0.19909,0.564
238,1,22,8.05,0.24322,0.19996,0.581
239,1,23,8.56,0.24159,0.1964,-0.113
240,1,0,8.5,0.23393,0.19426,-0.307
241,1,1,9.98,0.24232,0.19951,0.094
242,1,2,11.48,0.25605,0.19782,-0.086
243,1,3,9.79,0.25719,0.19596,0.153
244,1,4,11.4,0.24779,0.19818,0.197
245,1,5,10.79,0.2383,0.1956,-0.212
246,1,6,10.86,0.23431,0.2018,0.476
247,1,7,12.85,0.24996,0.19534,-0.228
248,1,8,10.68,0.23838,0.19838,0.253
249,1,9,12.46,0.23514,0.20107,0.718
250,1,10,9.89,0.25468,0.20169,-0.155
251,1,11,10.3,0.24896,0.19849,0.134
252,1,12,9.32,0.24203,0.19618,-0.319
253,1,13,8.95,0.23488,0.19587,0.718
254,1,14,7.98,0.25376,0.19804,0.09
255,1,15,10.61,0.25311,0.19688,-0.212
256,1,16,8.45,0.23944,0.20108,0.739
257,1,17,8.16,0.25375,0.20099,0.443
258,1,18,8.32,0.24999,0.19951,0.203
259,1,19,8.95,0.23678,0.2011,0.259
260,1,20,7.6,0.24111,0.20001,0.059
261,1,21,8.45,0.25329,0.19814,-0.157
262,1,22,8.69,0.24838,0.19618,0.019
263,1,23,9.63,0.25201,0.19497,0.865
264,1,0,9.75,0.2565,0.19683,0.631
265,1,1,10.63,0.23541,0.20155,0.075
266,1,2,10.05,0.24027,0.19973,0.078
267,1,3,11.05,0.24137,0.19904,-0.28
268,1,4,10.67,0.25148,0.19432,0.151
269,1,5,13.0,0.24964,0.19765,-0.026
270,1,6,10.05,0.2369,0.20042,-0.88
271,1,7,10.41,0.23491,0.19951,0.283
272,1,8,9.95,0.2562,0.19532,0.349
273,1,9,11.56,0.24318,0.19918,-0.04
274,1,10,8.97,0.25702,0.19736,-0.277
275,1,11,9.78,0.23812,0.19437,0.141
276,1,12,8.25,0.25408,0.19787,0.578
277,1,13,9.33,0.25179,0.20081,0.183
278,1,14,9.14,0.23611,0.19438,0.532
279,1,15,8.28,0.25242,0.19794,0.284
280,1,16,7.09,0.23781,0.19802,0.72
281,1,17,7.7,0.23949,0.20044,-0.272
282,1,18,7.05,0.23318,0.19469,-0.756
283,1,19,7.12,0.2476,0.19643,-0.97
284,1,20,8.55,0.25201,0.19443,0.17
285,1,21,7.12,0.23883,0.20194,-0.019
286,1,22,8.5,0.24805,0.19969,-0.463
287,1,23,8.76,0.2409,0.19822,0.011
288,1,0,9.25,0.23371,0.19474,-0.273
289,1,1,9.02,0.24681,0.19958,-0.112
290,1,2,9.93,0.237,0.19495,0.229
291,1,3,12.31,0.23367,0.20154,0.37
292,1,4,11.29,0.25028,0.20102,-0.259
293,1,5,12.33,0.24122,0.20058,0.254
294,1,6,12.82,0.24398,0.19922,0.079
295,1,7,13.17,0.23489,0.1946,0.079
296,1,8,10.58,0.25427,0.19586,-0.194
297,1,9,11.44,0.24904,0.19807,-0.229
298,1,10,12.23,0.23849,0.20201,0.175
299,1,11,10.06,0.23779,0.19951,0.048
300,1,12,9.24,0.25418,0.19988,-0.667
301,1,13,8.5,0.24137,0.19706,0.63
302,1,14,8.72,0.24365,0.19987,0.419
303,1,15,9.16,0.25497,0.19746,-0.015
304,1,16,8.42,0.25526,0.19579,-0.631
305,1,17,9.04,0.25087,0.19516,0.552
306,1,18,7.99,0.2373,0.196,0.104
307,1,19,7.54,0.23895,0.20102,0.469
308,1,20,8.54,0.2417,0.19882,-1.139
309,1,21,7.72,0.25666,0.19617,-0.448
310,1,22,7.21,0.25186,0.19516,0.464
311,1,23,8.94,0.23868,0.1947,0.191
312,1,0,9.58,0.24116,0.20069,-0.513
313,1,1,8.46,0.24802,0.19972,-0.171
314,1,2,10.15,0.23379,0.19996,-0.14
315,1,3,10.59,0.25359,0.2005,0.831
316,1,4,12.26,0.23794,0.19501,0.096
317,1,5,11.36,0.24592,0.20154,-0.015
318,1,6,12.23,0.24064,0.19814,-0.032
319,1,7,12.35,0.24404,0.19821,0.139
320,1,8,13.32,0.23632,0.19436,-0.056
321,1,9,12.02,0.23784,0.19946,-0.416
322,1,10,9.88,0.25418,0.19552,0.766
323,1,11,10.89,0.25605,0.19953,0.198
324,1,12,11.9,0.25419,0.19864,-0.023
325,1,13,10.09,0.23818,0.19934,0.475
326,1,14,10.13,0.23551,0.19933,-0.459
327,1,15,8.02,0.25424,0.20032,0.132
328,1,16,9.38,0.25443,0.19732,0.181
329,1,17,8.76,0.2527,0.20016,-0.491
330,1,18,7.2,0.25294,0.19507,0.55
331,1,19,7.4,0.24085,0.19702,0.006
332,1,20,9.36,0.24242,0.19768,-0.339
333,1,21,7.45,0.23847,0.1947,-0.529
334,1,22,10.14,0.24808,0.19779,0.404
335,1,23,9.96,0.24562,0.19792,-0.13
336,1,0,8.11,0.24712,0.19835,-0.658
337,1,1,11.4,0.25282,0.19981,0.226
338,1,2,11.26,0.23886,0.20147,0.112
339,1,3,10.16,0.2448,0.19616,-0.112
340,1,4,10.24,0.25258,0.19839,-0.441
341,1,5,12.35,0.25045,0.19628,-0.628
342,1,6,10.52,0.23733,0.19952,-0.09
343,1,7,11.54,0.25028,0.19497,-0.534
344,1,8,9.64,0.2565,0.19795,0.176
345,1,9,11.14,0.23396,0.19914,0.546
346,1,10,10.62,0.25298,0.20113,0.217
347,1,11,9.32,0.24787,0.19738,-0.265
348,1,12,8.26,0.25203,0.1963,-0.277
349,1,13,8.69,0.24926,0.19488,0.499
350,1,14,7.66,0.24727,0.19545,0.858
351,1,15,8.72,0.23821,0.19488,0.166
352,1,16,7.81,0.24778,0.19845,-0.059
353,1,17,7.01,0.24747,0.19806,-0.548
354,1,18,6.7,0.24339,0.19981,0.656
355,1,19,8.14,0.23961,0.19475,0.651
356,1,20,7.19,0.23845,0.19693,-0.406
357,1,21,8.12,0.23455,0.20046,-0.308
358,1,22,8.73,0.25447,0.19928,-0.622
359,1,23,6.99,0.24106,0.19943,0.15
360,1,0,11.17,0.2443,0.1946,0.168
361,1,1,10.58,0.23719,0.19959,0.03
362,1,2,10.67,0.23526,0.19769,-0.565
363,1,3,10.18,0.24919,0.20042,0.494
364,1,4,10.14,0.25722,0.20147,-0.127
365,1,5,12.64,0.24567,0.19906,0.057
366,1,6,11.69,0.23602,0.20067,-0.124
367,1,7,12.14,0.23378,0.19652,0.383
368,1,8,10.45,0.23504,0.20154,-0.532
369,1,9,9.08,0.24263,0.19766,0.203
370,1,10,10.89,0.25543,0.19806,0.997
371,1,11,10.1,0.24222,0.20108,-0.04
372,1,12,9.77,0.25226,0.19653,0.129
373,1,13,8.81,0.23715,0.19963,-0.302
374,1,14,8.53,0.24861,0.20064,-0.004
375,1,15,8.06,0.24776,0.20018,0.327
376,1,16,7.78,0.24267,0.19528,-0.525
377,1,17,6.96,0.23353,0.19519,-0.075
378,1,18,7.56,0.25657,0.19755,0.212
379,1,19,7.63,0.24367,0.19496,-0.79
380,1,20,6.56,0.24808,0.19927,0.24
381,1,21,7.87,0.23432,0.202,0.596
382,1,22,8.65,0.25701,0.19602,-0.135
383,1,23,8.37,0.24986,0.19461,-0.121
384,1,0,9.66,0.25285,0.199,0.001
385,1,1,10.97,0.24581,0.1975,-0.594
386,1,2,9.13,0.24191,0.1974,-0.09
387,1,3,11.46,0.25175,0.19421,0.304
388,1,4,10.66,0.23336,0.19618,-1.036
389,1,5,10.89,0.24602,0.19583,0.157
390,1,6,11.48,0.23558,0.19846,0.232
391,1,7,12.63,0.2353,0.19799,-0.063
392,1,8,10.79,0.25097,0.19789,-0.354
393,1,9,9.54,0.24416,0.20034,-0.645
394,1,10,9.83,0.24976,0.19759,0.416
395,1,11,10.7,0.23384,0.20127,-0.195
396,1,12,11.66,0.24906,0.20121,-0.242
397,1,13,10.28,0.23453,0.19823,0.625
398,1,14,8.96,0.24545,0.19951,-0.271
399,1,15,7.72,0.23464,0.19422,0.074
400,1,16,6.42,0.24147,0.20026,-0.389
401,1,17,6.52,0.23716,0.1949,0.215
402,1,18,8.69,0.23939,0.19429,0.288
403,1,19,8.56,0.24821,0.19715,-0.303
404,1,20,7.45,0.24797,0.20026,-0.1
405,1,21,8.54,0.23392,0.20179,0.866
406,1,22,7.86,0.25692,0.19889,0.371
407,1,23,10.51,0.25279,0.19932,0.203
408,1,0,9.14,0.25565,0.1959,-0.336
409,1,1,8.97,0.24367,0.19898,-0.787
410,1,2,10.28,0.25464,0.19924,-0.111
411,1,3,11.77,0.25401,0.20083,-0.233
412,1,4,11.06,0.2514,0.19777,0.113
413,1,5,11.92,0.25193,0.19932,0.294
414,1,6,11.68,0.25703,0.20155,-0.519
415,1,7,11.83,0.25294,0.19581,-0.261
416,1,8,12.47,0.25086,0.19842,0.009
417,1,9,11.15,0.24019,0.1986,1.041
418,1,10,11.25,0.24849,0.20015,0.152
419,1,11,9.88,0.23312,0.19608,-0.49
420,1,12,9.29,0.25251,0.19574,-0.34
421,1,13,10.65,0.24799,0.19561,0.158
422,1,14,9.7,0.24648,0.19416,-0.244
423,1,15,7.3,0.25638,0.19704,0.259
424,1,16,6.88,0.24039,0.20107,-0.175
425,1,17,9.3,0.25462,0.19882,-0.16
426,1,18,6.08,0.24995,0.19415,-0.704
427,1,19,6.04,0.25236,0.19486,0.505
428,1,20,7.22,0.24864,0.19463,1.023
429,1,21,9.63,0.24664,0.1989,0.802
430,1,22,9.52,0.23951,0.20066,0.237
431,1,23,8.16,0.23433,0.19677,-0.001
432,1,0,10.2,0.25223,0.19822,0.382
433,1,1,8.88,0.24094,0.19756,-0.077
434,1,2,10.42,0.24756,0.19995,-0.049
435,1,3,9.89,0.24849,0.20035,0.742
436,1,4,11.01,0.25348,0.19716,-0.384
437,1,5,13.32,0.23742,0.19699,0.617
438,1,6,11.64,0.24022,0.20157,-0.707
439,1,7,10.97,0.25429,0.20079,-0.638
440,1,8,11.75,0.24413,0.19795,-0.213
441,1,9,10.89,0.2436,0.1999,0.709
442,1,10,9.9,0.24785,0.19519,0.188
443,1,11,10.78,0.25635,0.19467,0.491
444,1,12,9.4,0.23931,0.19608,-0.081
445,1,13,8.76,0.23956,0.20014,0.147
446,1,14,9.99,0.2345,0.19798,-0.108
447,1,15,5.66,0.24141,0.20125,0.354
448,1,16,7.83,0.25586,0.19453,0.206
449,1,17,6.01,0.25081,0.2019,-0.212
450,1,18,8.29,0.23775,0.1986,-0.502
451,1,19,8.03,0.24781,0.19689,-0.014
452,1,20,7.03,0.25375,0.19857,-0.324
453,1,21,7.07,0.25398,0.19985,0.025
454,1,22,8.68,0.24622,0.19477,-0.147
455,1,23,7.91,0.23696,0.20161,-1.169
456,1,0,9.94,0.24423,0.19738,0.362
457,1,1,10.64,0.23442,0.19818,0.823
458,1,2,10.32,0.23417,0.20035,0.55
459,1,3,10.27,0.23693,0.19674,-0.32
460,1,4,11.35,0.23792,0.20108,0.65
461,1,5,11.14,0.25704,0.20024,-0.625
462,1,6,12.38,0.2461,0.19806,-0.031
463,1,7,11.73,0.25305,0.19713,-0.301
464,1,8,11.35,0.23993,0.2004,-0.575
465,1,9,12.79,0.25245,0.19726,0.432
466,1,10,10.57,0.23677,0.19963,0.341
467,1,11,9.37,0.25391,0.2013,0.412
468,1,12,9.17,0.23741,0.2012,-0.161
469,1,13,8.03,0.24369,0.199,0.169
470,1,14,8.52,0.2566,0.19743,0.565
471,1,15,7.02,0.25451,0.19751,0.171
472,1,16,8.96,0.25053,0.20117,1.036
473,1,17,7.76,0.23749,0.20092,-0.141
474,1,18,7.67,0.25031,0.19661,0.527
475,1,19,8.89,0.24415,0.19696,-0.047
476,1,20,9.06,0.24111,0.1955,-0.009
477,1,21,8.93,0.23536,0.19602,0.219
478,1,22,8.11,0.24393,0.20005,-0.369
479,1,23,10.2,0.24153,0.20079,0.609
480,1,0,9.9,0.24844,0.19512,-0.01
481,1,1,8.84,0.24972,0.19467,0.475
482,1,2,10.78,0.23846,0.20075,-0.104
483,1,3,11.79,0.24991,0.19818,-0.538
484,1,4,10.23,0.23371,0.19653,-0.271
485,1,5,11.95,0.25425,0.20019,0.072
486,1,6,12.13,0.23927,0.20131,0.444
487,1,7,12.1,0.23561,0.19766,0.76
488,1,8,12.34,0.24629,0.19713,-0.048
489,1,9,10.38,0.25103,0.20139,-0.036
490,1,10,11.21,0.24006,0.20134,-0.174
491,1,11,10.76,0.23334,0.20175,0.246
492,1,12,8.56,0.25323,0.19635,0.434
493,1,13,9.35,0.23526,0.19604,0.735
494,1,14,8.48,0.24028,0.19886,-0.121
495,1,15,7.03,0.25111,0.1945,-0.427
496,1,16,8.72,0.25477,0.19559,0.684
497,1,17,7.46,0.25237,0.1944,-0.068
498,1,18,7.57,0.23445,0.20071,0.465
499,1,19,6.64,0.23519,0.20133,0.095
500,1,20,8.74,0.25444,0.19865,0.2
501,1,21,5.38,0.24066,0.19756,0.271
502,1,22,9.01,0.25477,0.19763,0.549
503,1,23,10.59,0.2474,0.19969,0.526
504,1,0,9.58,0.23545,0.19717,-0.641
505,1,1,12.19,0.2562,0.19888,-0.07
506,1,2,10.54,0.24844,0.19468,0.678
507,1,3,10.17,0.24448,0.19448,-0.528
508,1,4,10.8,0.25671,0.19675,-0.277
509,1,5,10.03,0.24787,0.19634,-0.033
510,1,6,11.58,0.23303,0.19418,-0.583
511,1,7,11.12,0.25257,0.19865,-0.301
512,1,8,9.36,0.25574,0.19727,0.046
513,1,9,11.13,0.23568,0.19686,-0.301
514,1,10,11.58,0.24499,0.19968,0.009
515,1,11,9.31,0.24323,0.19738,-0.605
516,1,12,9.77,0.2478,0.19657,0.203
517,1,13,8.5,0.23921,0.19459,0.059
518,1,14,10.11,0.2357,0.19716,0.359
519,1,15,5.93,0.23586,0.19744,-0.288
520,1,16,7.64,0.23486,0.19693,0.031
521,1,17,7.74,0.24953,0.19699,0.177
522,1,18,7.4,0.24849,0.20136,0.008
523,1,19,8.52,0.25064,0.19508,0.115
524,1,20,6.62,0.23318,0.19746,0.043
525,1,21,7.96,0.24704,0.19447,-0.753
526,1,22,8.66,0.24131,0.1999,-0.411
527,1,23,9.95,0.24987,0.19753,0.171
528,1,0,8.31,0.2404,0.20037,0.368
529,1,1,11.41,0.25306,0.20092,-0.1
530,1,2,10.37,0.24071,0.19873,0.324
531,1,3,12.22,0.25019,0.19957,-0.665
532,1,4,10.14,0.24345,0.19525,-0.164
533,1,5,11.12,0.23668,0.19432,0.312
534,1,6,12.81,0.24124,0.19469,0.558
535,1,7,9.75,0.24949,0.19892,-0.322
536,1,8,10.0,0.25712,0.19772,-0.237
537,1,9,10.1,0.2448,0.19434,0.17
538,1,10,11.05,0.24231,0.19443,0.003
539,1,11,9.93,0.23682,0.19431,-0.148
540,1,12,9.24,0.23998,0.20125,0.639
541,1,13,9.68,0.24767,0.20067,-0.134
542,1,14,8.39,0.24234,0.19682,0.179
543,1,15,6.89,0.24647,0.19841,0.057
544,1,16,8.41,0.24369,0.19652,0.2
545,1,17,6.78,0.23431,0.19683,-0.248
546,1,18,5.52,0.24712,0.19522,0.299
547,1,19,9.64,0.24488,0.1973,-0.368
548,1,20,8.87,0.24811,0.19572,0.783
549,1,21,7.62,0.24455,0.19842,-0.042
550,1,22,8.75,0.24597,0.20101,0.187
551,1,23,9.29,0.23595,0.20041,-0.157
552,1,0,10.12,0.25604,0.1953,-0.148
553,1,1,10.39,0.24474,0.20096,-0.012
554,1,2,8.73,0.2399,0.19573,0.505
555,1,3,10.32,0.24543,0.19802,0.55
556,1,4,12.29,0.25694,0.19735,0.089
557,1,5,11.95,0.24695,0.2017,0.258
558,1,6,11.3,0.25383,0.1976,-0.061
559,1,7,12.03,0.24825,0.20146,-1.176
560,1,8,11.21,0.24975,0.19985,-0.155
561,1,9,10.14,0.24023,0.19696,0.163
562,1,10,9.87,0.23806,0.20171,0.345
563,1,11,10.97,0.24012,0.19423,0.205
564,1,12,10.23,0.25105,0.19525,0.206
565,1,13,9.78,0.24904,0.20019,0.302
566,1,14,8.85,0.23507,0.19798,0.428
567,1,15,7.92,0.24287,0.19464,-0.298
