hour,month,hour_of_day,T_outdoor_C,kWh_m2_RB,kWh_m2_NA,PMV_NA
68,1,20,-1.49,0.4438,0.36689,-0.477
69,1,21,-0.49,0.43135,0.36927,0.577
70,1,22,-1.38,0.4615,0.36728,-0.339
71,1,23,1.18,0.42836,0.37044,-0.069
72,1,0,-1.21,0.46151,0.37558,0.715
73,1,1,-1.3,0.44687,0.37233,-0.734
74,1,2,0.37,0.4273,0.37567,0.273
75,1,3,2.69,0.46145,0.36609,-0.533
76,1,4,1.42,0.46778,0.36252,0.113
77,1,5,3.86,0.45976,0.36345,-0.957
78,1,6,0.71,0.43838,0.37316,-0.212
79,1,7,0.95,0.44353,0.37598,0.452
80,1,8,2.13,0.46658,0.37381,0.411
81,1,9,2.21,0.46276,0.37482,0.258
82,1,10,0.81,0.45982,0.37148,-0.767
83,1,11,0.79,0.44112,0.36213,0.355
84,1,12,2.25,0.4379,0.36849,-0.117
85,1,13,0.67,0.42715,0.37207,-0.284
86,1,14,-0.95,0.46257,0.36886,-0.047
87,1,15,0.61,0.45371,0.37245,0.26
88,1,16,-0.74,0.44078,0.36525,0.582
89,1,17,-2.25,0.43438,0.37156,-0.121
90,1,18,-1.0,0.46568,0.37589,-0.235
91,1,19,-1.78,0.44299,0.37199,0.08
92,1,20,-1.31,0.46769,0.376,-0.431
93,1,21,-1.64,0.46501,0.37251,-0.435
94,1,22,0.19,0.42661,0.37373,-0.301
95,1,23,0.49,0.46733,0.36241,0.045
96,1,0,0.44,0.46374,0.37368,-0.497
97,1,1,1.12,0.4359,0.36203,0.16
98,1,2,2.19,0.46583,0.3664,-0.439
99,1,3,1.65,0.43821,0.36917,0.384
100,1,4,3.07,0.44536,0.36575,-0.047
101,1,5,1.16,0.43511,0.36251,0.301
102,1,6,2.46,0.45563,0.37421,-0.369
103,1,7,2.2,0.43568,0.36544,-0.498
104,1,8,2.98,0.42518,0.36769,-0.672
105,1,9,2.95,0.43318,0.37362,0.093
106,1,10,0.27,0.45845,0.37291,-0.13
107,1,11,0.59,0.44462,0.36353,-0.344
108,1,12,0.64,0.46664,0.37036,0.589
109,1,13,-0.8,0.43111,0.3742,0.017
110,1,14,-0.52,0.46064,0.37092,0.05
111,1,15,-3.18,0.44864,0.36563,0.445
112,1,16,1.12,0.42807,0.37263,-0.017
113,1,17,-0.76,0.44347,0.36257,0.145
114,1,18,-2.62,0.45337,0.36236,-0.048
115,1,19,-2.14,0.42459,0.37584,-0.086
116,1,20,-1.22,0.43512,0.37511,0.031
117,1,21,-1.7,0.42839,0.3749,0.033
118,1,22,-0.68,0.4391,0.37117,0.41
119,1,23,0.6,0.45195,0.36508,0.327
120,1,0,1.4,0.4603,0.36337,-0.38
121,1,1,1.59,0.44182,0.36998,-0.395
122,1,2,2.82,0.46044,0.36579,0.22
123,1,3,0.87,0.46206,0.37414,0.046
124,1,4,1.39,0.42757,0.37015,-0.198
125,1,5,2.7,0.45474,0.37072,-0.246
126,1,6,2.2,0.46475,0.36221,0.368
127,1,7,2.22,0.45098,0.36214,-0.375
128,1,8,0.45,0.46408,0.36953,0.25
129,1,9,2.52,0.45858,0.36813,0.048
130,1,10,3.67,0.43339,0.36297,-0.136
131,1,11,2.06,0.43594,0.36359,-0.283
132,1,12,1.18,0.45187,0.37182,-0.43
133,1,13,0.64,0.44463,0.36924,-0.118
134,1,14,-0.06,0.44864,0.3662,0.064
135,1,15,-0.32,0.45147,0.36815,-0.741
136,1,16,-1.42,0.43666,0.36178,0.39
137,1,17,-0.31,0.46064,0.37542,0.158
138,1,18,-0.48,0.42885,0.37591,-0.845
139,1,19,-1.66,0.44389,0.36599,-1.232
140,1,20,-1.9,0.46876,0.36792,0.017
141,1,21,-0.74,0.4374,0.36494,0.133
142,1,22,-0.54,0.45558,0.36613,-0.009
143,1,23,0.71,0.45479,0.36877,-0.344
144,1,0,0.66,0.46436,0.36447,0.158
145,1,1,0.41,0.43805,0.37601,-0.125
146,1,2,3.01,0.44917,0.36171,0.045
147,1,3,4.46,0.43632,0.36466,0.016
148,1,4,3.01,0.43097,0.37229,-0.571
149,1,5,0.57,0.46051,0.36913,-0.392
150,1,6,3.41,0.44089,0.37434,-0.117
151,1,7,0.97,0.45182,0.36587,0.008
152,1,8,3.04,0.46188,0.37438,-0.352
153,1,9,2.79,0.43473,0.37085,-0.498
154,1,10,2.28,0.45886,0.37634,0.425
155,1,11,0.35,0.45187,0.36663,0.488
156,1,12,1.94,0.46509,0.36526,0.138
157,1,13,-0.62,0.45892,0.36726,1.05
158,1,14,-1.24,0.4294,0.36324,0.639
159,1,15,1.1,0.4301,0.37069,0.154
160,1,16,-2.31,0.4425,0.37281,0.119
161,1,17,0.78,0.46225,0.37409,-0.244
162,1,18,-1.6,0.45295,0.36272,-0.818
163,1,19,-1.53,0.44101,0.37505,0.254
164,1,20,-2.19,0.4586,0.36267,0.619
165,1,21,-2.27,0.45749,0.36501,-0.238
166,1,22,0.82,0.46534,0.37233,-0.069
167,1,23,1.79,0.45526,0.37458,-0.709
168,1,0,0.13,0.45785,0.37368,0.13
169,1,1,3.18,0.42487,0.37012,0.051
170,1,2,2.05,0.46473,0.37343,-0.013
171,1,3,1.78,0.45554,0.3621,-0.243
172,1,4,2.65,0.43024,0.36242,-0.114
173,1,5,3.05,0.46173,0.37605,0.044
174,1,6,2.11,0.46673,0.36796,0.626
175,1,7,1.73,0.46081,0.37521,-0.81
176,1,8,1.67,0.46458,0.36235,-0.855
177,1,9,1.68,0.44126,0.36826,0.587
178,1,10,3.0,0.4659,0.36891,-0.19
179,1,11,1.54,0.43922,0.37033,0.3
180,1,12,-0.91,0.43561,0.36475,0.468
181,1,13,-1.28,0.43048,0.36703,-0.162
182,1,14,-1.55,0.42642,0.36217,0.127
183,1,15,-1.72,0.44853,0.36839,-0.243
184,1,16,-0.29,0.447,0.36301,-0.198
185,1,17,-1.45,0.44595,0.36771,-0.51
186,1,18,-3.06,0.42958,0.37008,0.069
187,1,19,-1.97,0.43758,0.37425,0.705
188,1,20,1.06,0.44424,0.36286,-0.479
189,1,21,-2.45,0.42832,0.37046,0.716
190,1,22,-0.05,0.43209,0.36782,0.058
191,1,23,-1.45,0.45216,0.36763,0.875
192,1,0,-0.34,0.4623,0.37263,0.316
193,1,1,1.75,0.46062,0.36255,-0.645
194,1,2,0.82,0.43263,0.36971,-0.547
195,1,3,-0.07,0.44754,0.36691,-0.095
196,1,4,0.97,0.44859,0.36822,-0.336
197,1,5,0.97,0.44323,0.36652,-0.146
198,1,6,4.25,0.44586,0.36258,0.119
199,1,7,1.87,0.43908,0.37475,-0.037
200,1,8,2.45,0.46303,0.36284,0.095
201,1,9,1.59,0.46153,0.36538,-0.294
202,1,10,2.28,0.42877,0.36698,-0.455
203,1,11,1.82,0.44743,0.3712,-0.188
204,1,12,1.68,0.46709,0.36917,-0.406
205,1,13,-1.05,0.44188,0.37424,0.008
206,1,14,-1.35,0.44886,0.36388,0.721
207,1,15,-1.62,0.44164,0.37517,-0.375
208,1,16,-0.83,0.43168,0.37252,-0.902
209,1,17,-3.31,0.46676,0.37481,0.754
210,1,18,-0.9,0.44968,0.37387,0.091
211,1,19,-2.23,0.46886,0.36411,-0.07
212,1,20,-1.91,0.43952,0.36593,-0.2
213,1,21,-0.02,0.43232,0.3667,0.133
214,1,22,-0.91,0.46442,0.36982,-0.674
215,1,23,2.35,0.43473,0.37628,-0.441
216,1,0,1.4,0.43842,0.36628,-0.283
217,1,1,1.16,0.43538,0.36385,-0.372
218,1,2,0.76,0.44696,0.36736,-0.325
219,1,3,1.98,0.45964,0.37014,-0.319
220,1,4,2.26,0.44775,0.36932,0.532
221,1,5,1.24,0.45267,0.36232,-0.473
222,1,6,4.09,0.44036,0.36487,0.251
223,1,7,2.39,0.43109,0.3691,-0.596
224,1,8,0.58,0.46119,0.37388,-0.379
225,1,9,2.01,0.45087,0.37489,0.397
226,1,10,1.57,0.43998,0.36889,0.052
227,1,11,2.15,0.45384,0.36705,0.159
228,1,12,-0.09,0.46574,0.36296,-0.043
229,1,13,1.01,0.44325,0.37347,0.088
230,1,14,1.19,0.44331,0.36971,-0.311
231,1,15,-2.01,0.44285,0.36208,0.119
232,1,16,-1.19,0.45007,0.36382,-0.476
233,1,17,-2.1,0.46557,0.36738,0.536
234,1,18,-1.06,0.44981,0.36737,-0.24
235,1,19,-2.41,0.43967,0.36209,-0.162
236,1,20,-0.27,0.45998,0.36208,0.002
237,1,21,-1.04,0.43297,0.37277,0.407
238,1,22,-1.65,0.43165,0.36884,-0.329
239,1,23,0.07,0.44547,0.36826,-0.052
240,1,0,-2.39,0.45846,0.36259,-0.138
241,1,1,2.09,0.44502,0.36434,-0.756
242,1,2,0.44,0.46876,0.36648,-0.427
243,1,3,2.46,0.44326,0.36821,-0.198
244,1,4,4.44,0.45083,0.36217,0.451
245,1,5,1.94,0.4375,0.36422,0.204
246,1,6,2.96,0.45819,0.37131,0.582
247,1,7,2.12,0.44711,0.36616,-0.249
248,1,8,2.61,0.45785,0.36676,-0.12
249,1,9,2.55,0.42461,0.36727,0.525
250,1,10,0.55,0.43568,0.37557,-0.283
251,1,11,2.22,0.43401,0.36423,-0.019
252,1,12,0.49,0.46444,0.36259,0.401
253,1,13,-0.18,0.43138,0.37175,0.316
254,1,14,-1.38,0.44198,0.36492,-0.18
255,1,15,0.6,0.45394,0.3681,-0.013
256,1,16,-2.16,0.45328,0.37303,-0.385
257,1,17,-1.56,0.43189,0.37029,0.333
258,1,18,-3.9,0.44094,0.37393,-0.227
259,1,19,-0.97,0.44434,0.36568,0.074
260,1,20,-0.87,0.46205,0.36437,-0.315
261,1,21,-0.84,0.43088,0.37115,0.419
262,1,22,-0.98,0.44228,0.37325,0.008
263,1,23,-1.75,0.46593,0.36517,0.176
264,1,0,-0.26,0.46441,0.36915,-0.514
265,1,1,0.44,0.45966,0.37271,0.199
266,1,2,0.77,0.45617,0.36518,-0.448
267,1,3,2.58,0.46379,0.36277,-0.383
268,1,4,4.36,0.45466,0.37637,-0.431
269,1,5,3.43,0.46866,0.36256,0.608
270,1,6,2.61,0.44047,0.36309,-0.308
271,1,7,3.51,0.46379,0.36305,-0.48
272,1,8,0.39,0.45426,0.36977,0.145
273,1,9,0.53,0.44842,0.37426,-0.054
274,1,10,1.3,0.46071,0.3658,0.316
275,1,11,-0.24,0.42789,0.37368,-0.608
276,1,12,0.23,0.43626,0.36921,-1.025
277,1,13,0.26,0.4678,0.36796,0.074
278,1,14,-0.3,0.46215,0.37502,-0.117
279,1,15,0.92,0.4585,0.37183,0.157
280,1,16,-0.56,0.44585,0.37636,0.825
281,1,17,-2.08,0.45862,0.36482,-0.103
282,1,18,-2.41,0.45211,0.3756,0.03
283,1,19,-2.33,0.46783,0.36619,0.28
284,1,20,-1.32,0.46871,0.36268,-1.149
285,1,21,-1.9,0.42794,0.37546,0.56
286,1,22,0.98,0.43518,0.3729,0.21
287,1,23,-0.28,0.45,0.37601,0.494
288,1,0,0.31,0.45413,0.37324,0.47
289,1,1,1.08,0.46843,0.37564,-0.143
290,1,2,2.19,0.46271,0.36332,-0.441
291,1,3,1.02,0.44003,0.37286,-0.58
292,1,4,2.64,0.4689,0.36634,-0.05
293,1,5,5.33,0.45033,0.36718,0.177
294,1,6,2.11,0.4523,0.36277,-0.08
295,1,7,2.61,0.45086,0.36227,-0.258
296,1,8,-0.11,0.44887,0.37255,-0.577
297,1,9,1.39,0.45986,0.37528,-0.678
298,1,10,1.44,0.44771,0.36947,0.394
299,1,11,0.13,0.44137,0.36592,-0.198
300,1,12,0.29,0.44406,0.37045,-0.147
301,1,13,-0.06,0.43333,0.37014,-0.825
302,1,14,0.6,0.44302,0.36821,-0.116
303,1,15,-1.89,0.43145,0.37333,0.096
304,1,16,-0.31,0.42879,0.37379,-0.454
305,1,17,-4.36,0.46439,0.36181,0.113
306,1,18,-0.21,0.44153,0.3649,0.52
307,1,19,-0.71,0.4274,0.36998,-0.251
308,1,20,-2.32,0.44704,0.37491,-0.359
309,1,21,0.36,0.45128,0.37196,0.208
310,1,22,0.26,0.44687,0.36981,-0.048
311,1,23,-1.99,0.43477,0.36275,0.107
312,1,0,-0.48,0.44183,0.37524,0.407
313,1,1,0.13,0.46017,0.36544,0.059
314,1,2,2.06,0.43508,0.36337,1.174
315,1,3,1.76,0.43676,0.37638,-0.044
316,1,4,3.26,0.44898,0.3715,-0.111
317,1,5,1.95,0.44725,0.37467,-0.296
318,1,6,2.51,0.42672,0.3684,-0.239
319,1,7,3.79,0.43063,0.36412,0.287
320,1,8,2.32,0.44035,0.36797,-0.002
321,1,9,1.12,0.45903,0.3654,-0.051
322,1,10,1.27,0.45178,0.36246,0.749
323,1,11,0.73,0.45438,0.37344,0.176
324,1,12,-1.53,0.46813,0.36577,0.2
325,1,13,-1.03,0.42454,0.3655,-0.124
326,1,14,0.19,0.44225,0.37394,-0.448
327,1,15,1.26,0.45112,0.37108,0.027
328,1,16,-1.84,0.4267,0.37033,-0.521
329,1,17,0.15,0.43366,0.36811,-0.099
330,1,18,-1.08,0.46233,0.37296,-0.47
331,1,19,-2.18,0.43424,0.36827,0.383
332,1,20,0.31,0.45966,0.37411,-0.369
333,1,21,-0.53,0.45427,0.36762,0.149
334,1,22,0.46,0.44011,0.36604,0.19
335,1,23,0.64,0.42679,0.37316,-0.801
336,1,0,0.84,0.4372,0.36709,-0.532
337,1,1,1.26,0.46315,0.37315,0.447
338,1,2,1.67,0.44348,0.36923,0.273
339,1,3,2.82,0.43876,0.36855,0.32
340,1,4,2.47,0.45501,0.36262,0.131
341,1,5,3.5,0.46656,0.37192,0.959
342,1,6,1.68,0.4624,0.36845,-0.201
343,1,7,3.25,0.42924,0.3625,0.772
344,1,8,0.74,0.45455,0.37099,-0.529
345,1,9,1.95,0.45456,0.36334,-1.786
346,1,10,0.6,0.45006,0.37048,0.074
347,1,11,1.83,0.46873,0.36449,-0.026
348,1,12,0.01,0.46732,0.37193,0.303
349,1,13,-1.57,0.43495,0.37171,-0.286
350,1,14,-0.23,0.46174,0.37319,0.165
351,1,15,-0.29,0.43883,0.37636,-0.25
352,1,16,-2.7,0.43513,0.37138,-0.349
353,1,17,-2.47,0.4265,0.36529,-0.418
354,1,18,-3.35,0.43664,0.36226,-0.459
355,1,19,-0.43,0.44405,0.36595,-0.287
356,1,20,-0.72,0.43795,0.37097,-0.732
357,1,21,-1.31,0.44442,0.36227,-0.163
358,1,22,0.28,0.42496,0.36705,-0.016
359,1,23,-0.62,0.42791,0.37097,0.183
360,1,0,0.54,0.45751,0.36523,-0.301
361,1,1,1.46,0.43329,0.37223,0.308
362,1,2,2.5,0.44439,0.37491,-0.119
363,1,3,2.23,0.43809,0.37047,0.137
364,1,4,0.66,0.43087,0.37555,0.269
365,1,5,2.79,0.46439,0.36408,-0.31
366,1,6,2.86,0.44716,0.36935,-0.563
367,1,7,3.05,0.42685,0.37289,0.03
368,1,8,1.61,0.42843,0.36824,-0.524
369,1,9,1.11,0.42908,0.37291,-0.567
370,1,10,2.04,0.45053,0.36915,0.183
371,1,11,1.84,0.4443,0.37599,-0.504
372,1,12,-0.84,0.46254,0.37242,-0.569
373,1,13,-1.06,0.46167,0.37021,0.388
374,1,14,0.59,0.44205,0.37131,-0.063
375,1,15,1.48,0.42625,0.36847,-0.352
376,1,16,-1.61,0.4623,0.36625,1.169
377,1,17,-1.67,0.45547,0.36294,0.375
378,1,18,-0.87,0.42499,0.37596,-0.289
379,1,19,1.33,0.4282,0.36705,0.272
380,1,20,-1.14,0.44905,0.37214,-0.486
381,1,21,-1.0,0.43487,0.36658,0.418
382,1,22,-0.63,0.45247,0.36185,0.051
383,1,23,0.51,0.44483,0.36895,-0.591
384,1,0,-0.68,0.43699,0.37176,0.286
385,1,1,0.69,0.45439,0.37081,0.01
386,1,2,1.65,0.44777,0.36468,-0.104
387,1,3,3.99,0.46555,0.37262,0.516
388,1,4,1.54,0.46256,0.37415,-0.143
389,1,5,3.44,0.43236,0.37152,0.385
390,1,6,1.54,0.43894,0.36934,-0.355
391,1,7,2.43,0.43776,0.37471,0.563
392,1,8,1.53,0.4333,0.37457,0.322
393,1,9,1.33,0.46424,0.36681,0.031
394,1,10,2.74,0.45399,0.36688,-0.547
395,1,11,1.18,0.45237,0.37436,-0.453
396,1,12,2.7,0.42687,0.37486,-0.094
397,1,13,1.09,0.46537,0.37362,-0.58
398,1,14,0.9,0.46559,0.37365,0.378
399,1,15,0.69,0.43102,0.3686,0.444
400,1,16,-1.83,0.45403,0.36386,-0.704
401,1,17,-1.48,0.43884,0.36787,-0.089
402,1,18,-1.32,0.43907,0.36431,0.152
403,1,19,0.11,0.44605,0.3648,0.464
404,1,20,0.22,0.46259,0.36776,-0.087
405,1,21,0.07,0.46508,0.36665,0.374
406,1,22,0.99,0.46074,0.36753,-0.02
407,1,23,2.03,0.43428,0.3634,0.846
408,1,0,-0.53,0.4399,0.36441,0.047
409,1,1,1.72,0.45026,0.36771,0.156
410,1,2,0.41,0.44036,0.36506,-0.384
411,1,3,1.02,0.44704,0.36743,-0.349
412,1,4,2.46,0.43264,0.37362,0.898
413,1,5,1.23,0.4319,0.37342,-0.039
414,1,6,2.56,0.43812,0.36846,0.759
415,1,7,3.31,0.44928,0.36575,0.126
416,1,8,1.23,0.44596,0.37198,0.177
417,1,9,3.0,0.4504,0.36814,-0.491
418,1,10,1.81,0.44055,0.37353,0.255
419,1,11,1.84,0.45308,0.36726,0.269
420,1,12,1.81,0.43029,0.37376,-0.513
421,1,13,1.4,0.44674,0.36933,-0.564
422,1,14,0.24,0.43563,0.36276,0.555
423,1,15,-1.42,0.43706,0.3755,-0.354
424,1,16,-1.74,0.43257,0.37243,-0.18
425,1,17,-1.68,0.43052,0.37031,0.359
426,1,18,-1.52,0.43758,0.37302,0.175
427,1,19,-1.99,0.43587,0.37571,-0.278
428,1,20,-1.88,0.42859,0.3741,0.162
429,1,21,-0.32,0.4332,0.36875,0.42
430,1,22,0.17,0.43201,0.36927,0.064
431,1,23,-0.21,0.43338,0.374,-0.477
432,1,0,-0.02,0.44266,0.37445,-0.615
433,1,1,1.1,0.44355,0.36573,-0.294
434,1,2,1.13,0.46796,0.36202,0.117
435,1,3,1.56,0.44719,0.36485,-0.287
436,1,4,1.44,0.42616,0.37462,0.528
437,1,5,2.58,0.46048,0.36345,0.225
438,1,6,1.61,0.46737,0.36922,-0.471
439,1,7,0.49,0.4259,0.36338,-0.2
440,1,8,4.07,0.44252,0.37246,0.192
441,1,9,1.46,0.44375,0.37565,0.387
442,1,10,0.24,0.44546,0.36974,0.463
443,1,11,2.42,0.46602,0.36294,-0.187
444,1,12,0.17,0.42803,0.37577,0.108
445,1,13,-1.22,0.44991,0.36555,-0.015
446,1,14,1.73,0.46328,0.36171,-0.256
447,1,15,-1.08,0.42878,0.37562,-0.048
448,1,16,-0.25,0.42705,0.36342,0.162
449,1,17,-0.51,0.44554,0.36909,-0.202
450,1,18,-0.83,0.46411,0.36652,-0.487
451,1,19,-2.97,0.45986,0.36867,0.436
452,1,20,-2.13,0.42852,0.37445,-0.725
453,1,21,-0.94,0.43433,0.37147,0.235
454,1,22,-2.12,0.42616,0.37479,-0.125
455,1,23,0.5,0.44409,0.37278,0.186
456,1,0,-1.34,0.46209,0.3764,0.479
457,1,1,1.21,0.45784,0.37126,0.113
458,1,2,1.48,0.43256,0.373,0.471
459,1,3,1.68,0.45942,0.3657,0.247
460,1,4,2.39,0.44988,0.37317,0.153
461,1,5,2.5,0.46671,0.3662,-0.033
462,1,6,3.86,0.42657,0.3648,-0.245
463,1,7,1.74,0.45405,0.36275,0.514
464,1,8,1.64,0.46274,0.36998,-0.672
465,1,9,1.85,0.42767,0.36995,-0.593
466,1,10,-1.12,0.42603,0.37463,-0.032
467,1,11,1.54,0.45001,0.37192,0.471
468,1,12,1.43,0.45155,0.37106,-0.514
469,1,13,-0.38,0.4579,0.37049,0.273
470,1,14,-0.65,0.46188,0.36632,-0.298
471,1,15,-2.83,0.45205,0.37471,-1.199
472,1,16,-1.21,0.4434,0.36603,-0.522
473,1,17,-1.07,0.43621,0.37234,-0.234
474,1,18,-2.02,0.43302,0.36381,0.281
475,1,19,-2.08,0.46326,0.37303,-0.332
476,1,20,-1.0,0.43121,0.36258,-0.246
477,1,21,-1.12,0.45121,0.36794,0.638
478,1,22,-0.4,0.46109,0.36227,-0.072
479,1,23,0.94,0.45148,0.37019,-0.827
480,1,0,1.59,0.45568,0.37041,-0.841
481,1,1,2.56,0.45349,0.3703,-0.563
482,1,2,1.53,0.46395,0.37448,-0.581
483,1,3,2.74,0.43129,0.36844,0.422
484,1,4,3.21,0.46084,0.37483,-0.308
485,1,5,2.83,0.45117,0.36639,0.623
486,1,6,2.29,0.43257,0.37545,-0.072
487,1,7,2.95,0.43269,0.37606,-0.309
488,1,8,1.06,0.44251,0.37371,-0.714
489,1,9,2.48,0.4538,0.36491,-0.194
490,1,10,1.83,0.43024,0.37076,-0.095
491,1,11,2.08,0.43856,0.37458,0.517
492,1,12,0.56,0.4514,0.37002,0.628
493,1,13,-0.8,0.46829,0.36515,-0.348
494,1,14,-0.37,0.42668,0.36662,0.163
495,1,15,0.35,0.43912,0.36624,-0.036
496,1,16,-0.98,0.427,0.36296,1.201
497,1,17,-2.41,0.4458,0.37065,-0.126
498,1,18,-1.04,0.4414,0.36358,0.75
499,1,19,-1.92,0.46573,0.36465,-0.607
500,1,20,0.34,0.45595,0.37591,-0.234
501,1,21,-1.79,0.44895,0.37493,-0.178
502,1,22,-1.29,0.42963,0.37511,0.164
503,1,23,0.79,0.45733,0.37632,-0.01
504,1,0,0.27,0.45832,0.36862,0.406
505,1,1,0.26,0.44219,0.36331,-0.312
506,1,2,1.5,0.46706,0.37019,-0.53
507,1,3,0.45,0.43319,0.37138,-0.208
508,1,4,1.92,0.44904,0.37209,0.435
509,1,5,2.26,0.45705,0.37177,-0.201
510,1,6,1.34,0.46083,0.3621,0.364
511,1,7,1.82,0.46578,0.37342,-0.344
512,1,8,2.08,0.46119,0.37426,0.397
513,1,9,2.27,0.46661,0.36786,0.187
514,1,10,0.84,0.45718,0.37325,0.26
515,1,11,1.77,0.44291,0.3697,0.186
516,1,12,1.35,0.43326,0.36525,0.79
517,1,13,1.27,0.45168,0.36269,-0.371
518,1,14,-1.3,0.45445,0.36348,0.35
519,1,15,-0.63,0.42828,0.36206,0.666
520,1,16,-0.07,0.42628,0.37206,-0.212
521,1,17,-2.7,0.4279,0.37517,0.335
522,1,18,-2.15,0.45489,0.36486,-0.134
523,1,19,-2.08,0.46881,0.36827,-0.014
524,1,20,-0.57,0.43916,0.36804,-0.097
525,1,21,-0.81,0.44851,0.36257,-0.063
526,1,22,0.36,0.44404,0.36518,0.445
527,1,23,0.94,0.45689,0.36706,0.638
528,1,0,-0.85,0.45848,0.36834,0.459
529,1,1,0.55,0.43451,0.36869,-0.124
530,1,2,-0.26,0.45514,0.37353,0.204
531,1,3,0.66,0.42937,0.37435,0.192
532,1,4,1.24,0.46872,0.3745,0.163
533,1,5,3.56,0.44546,0.3733,0.147
534,1,6,2.28,0.46683,0.37437,0.027
535,1,7,1.09,0.43248,0.3638,-0.161
536,1,8,2.5,0.45499,0.3663,-0.592
537,1,9,-0.09,0.45556,0.37625,0.247
538,1,10,1.13,0.44576,0.37303,0.064
539,1,11,1.64,0.42689,0.36596,0.023
540,1,12,1.2,0.44784,0.3637,-0.293
541,1,13,0.18,0.46895,0.36704,-0.73
542,1,14,-0.51,0.4383,0.37001,-0.491
543,1,15,1.01,0.46529,0.36462,-0.135
544,1,16,-2.1,0.46116,0.37201,-0.113
545,1,17,-1.71,0.45027,0.36417,-0.575
546,1,18,-0.51,0.46408,0.37003,0.447
547,1,19,0.48,0.43667,0.37286,0.476
548,1,20,-0.27,0.45878,0.37109,0.184
549,1,21,-0.56,0.4424,0.36381,-0.041
550,1,22,-0.29,0.45957,0.36298,0.111
551,1,23,0.23,0.44546,0.37514,0.384
552,1,0,-0.35,0.44765,0.37106,0.153
553,1,1,0.72,0.45993,0.37347,0.214
554,1,2,2.87,0.44921,0.37367,0.154
555,1,3,3.43,0.4257,0.36297,0.483
556,1,4,3.15,0.44867,0.37037,0.316
557,1,5,1.58,0.45428,0.36872,0.098
