window_id,building,occupant_id,comfort_class_int,comfort_class_str,ashrae_raw
173,residential,12,2,Neutral,-0.47
174,mixed_use,2,2,Neutral,0.01
175,medium_office,10,2,Neutral,0.48
176,medium_office,19,3,Warm,0.95
177,medium_office,3,2,Neutral,0.37
178,residential,6,2,Neutral,-0.14
179,mixed_use,23,2,Neutral,-0.32
180,residential,37,1,Cool,-1.12
181,medium_office,14,3,Warm,0.29
182,medium_office,8,2,Neutral,-0.35
183,residential,15,2,Neutral,-0.16
184,medium_office,5,1,Cool,-0.56
185,residential,7,2,Neutral,-0.41
186,residential,31,3,Warm,1.05
187,medium_office,3,2,Neutral,0.11
188,mixed_use,3,2,Neutral,0.08
189,mixed_use,35,2,Neutral,0.21
190,mixed_use,26,2,Neutral,-0.25
191,medium_office,34,2,Neutral,-0.45
192,medium_office,25,2,Neutral,0.47
193,residential,18,2,Neutral,0.15
194,mixed_use,2,3,Warm,1.05
195,residential,12,1,Cool,-1.11
196,mixed_use,7,1,Cool,-1.18
197,mixed_use,23,4,Hot,1.85
198,residential,14,2,Neutral,0.04
199,medium_office,25,3,Warm,0.37
200,medium_office,27,2,Neutral,0.05
201,mixed_use,36,2,Neutral,0.3
202,medium_office,28,2,Neutral,0.11
203,mixed_use,21,1,Cool,-0.71
204,mixed_use,20,2,Neutral,0.29
205,mixed_use,10,2,Neutral,0.4
206,medium_office,21,4,Hot,1.33
207,mixed_use,24,2,Neutral,-0.37
208,residential,31,1,Cool,-0.67
209,mixed_use,18,2,Neutral,-0.05
210,medium_office,12,1,Cool,-0.6
211,medium_office,27,2,Neutral,0.19
212,mixed_use,13,2,Neutral,-0.06
213,mixed_use,34,2,Neutral,0.09
214,medium_office,13,4,Hot,1.28
215,medium_office,4,3,Warm,0.69
216,medium_office,25,4,Hot,1.2
217,medium_office,7,2,Neutral,-0.18
218,medium_office,21,2,Neutral,-0.3
219,residential,27,3,Warm,0.96
220,medium_office,10,2,Neutral,-0.08
221,mixed_use,3,2,Neutral,-0.45
222,residential,1,3,Warm,0.81
223,mixed_use,26,3,Warm,0.75
224,mixed_use,22,2,Neutral,0.41
225,medium_office,16,2,Neutral,-0.34
226,mixed_use,17,2,Neutral,-0.39
227,residential,1,2,Neutral,-0.19
228,medium_office,26,2,Neutral,-0.42
229,residential,9,2,Neutral,-0.26
230,residential,34,1,Cool,-0.37
231,residential,30,1,Cool,-1.06
232,residential,9,2,Neutral,0.48
233,medium_office,25,2,Neutral,0.46
234,medium_office,18,2,Neutral,0.03
235,mixed_use,23,2,Neutral,0.38
236,medium_office,34,2,Neutral,0.18
237,medium_office,2,2,Neutral,0.02
238,mixed_use,9,2,Neutral,0.43
239,residential,1,3,Warm,0.94
240,mixed_use,1,3,Warm,0.87
241,medium_office,17,2,Neutral,-0.28
242,mixed_use,16,3,Warm,0.73
243,residential,5,2,Neutral,0.4
244,mixed_use,18,2,Neutral,-0.02
245,residential,27,1,Cool,-0.78
246,mixed_use,21,2,Neutral,0.36
247,residential,18,2,Neutral,-0.04
248,residential,18,2,Neutral,-0.41
249,mixed_use,7,1,Cool,-0.86
250,medium_office,12,0,Cold,-1.3
251,medium_office,31,2,Neutral,-0.06
252,mixed_use,24,2,Neutral,-0.23
253,mixed_use,28,2,Neutral,-0.02
254,medium_office,13,2,Neutral,-0.34
255,medium_office,4,2,Neutral,-0.46
256,residential,23,1,Cool,-0.52
257,medium_office,36,2,Neutral,0.05
258,medium_office,37,2,Neutral,-0.3
259,residential,1,4,Hot,1.16
260,medium_office,25,2,Neutral,0.17
261,medium_office,10,3,Warm,1.03
262,medium_office,38,3,Warm,0.37
263,mixed_use,20,1,Cool,-0.63
264,mixed_use,11,3,Warm,1.18
265,mixed_use,21,2,Neutral,-0.42
266,medium_office,32,4,Hot,1.69
267,residential,37,2,Neutral,0.44
268,medium_office,20,2,Neutral,-0.15
269,mixed_use,16,4,Hot,1.17
270,medium_office,17,2,Neutral,-0.48
271,residential,4,3,Warm,0.45
272,residential,20,2,Neutral,-0.37
273,mixed_use,24,2,Neutral,0.06
274,residential,16,2,Neutral,0.48
275,residential,25,4,Hot,1.66
276,residential,2,2,Neutral,-0.06
277,medium_office,18,2,Neutral,-0.41
278,residential,7,2,Neutral,0.12
279,medium_office,8,4,Hot,1.47
280,mixed_use,8,2,Neutral,0.24
281,mixed_use,11,2,Neutral,0.25
282,residential,18,2,Neutral,0.13
283,residential,30,2,Neutral,0.08
284,residential,3,3,Warm,0.82
285,residential,21,1,Cool,-0.68
286,residential,7,2,Neutral,0.24
287,residential,34,2,Neutral,0.4
288,medium_office,35,2,Neutral,0.47
289,residential,14,2,Neutral,-0.08
290,residential,19,3,Warm,0.96
291,residential,36,2,Neutral,-0.37
292,residential,38,1,Cool,-0.26
293,mixed_use,5,0,Cold,-1.74
294,residential,25,3,Warm,0.76
295,residential,7,2,Neutral,-0.32
296,medium_office,36,3,Warm,0.79
297,residential,8,2,Neutral,0.41
298,mixed_use,21,2,Neutral,0.09
299,residential,26,2,Neutral,0.27
300,mixed_use,30,2,Neutral,0.18
301,residential,4,3,Warm,1.2
302,mixed_use,38,2,Neutral,0.35
303,residential,18,1,Cool,-0.91
304,medium_office,16,2,Neutral,0.1
305,residential,31,2,Neutral,-0.31
306,medium_office,37,2,Neutral,-0.5
307,residential,26,3,Warm,1.08
308,medium_office,29,2,Neutral,-0.32
309,medium_office,6,2,Neutral,-0.24
310,mixed_use,4,2,Neutral,0.31
311,mixed_use,10,3,Warm,0.39
312,residential,29,4,Hot,1.26
313,mixed_use,18,4,Hot,1.67
314,residential,37,2,Neutral,0.09
315,medium_office,2,2,Neutral,0.02
316,medium_office,4,2,Neutral,0.2
317,residential,5,2,Neutral,0.38
318,medium_office,22,0,Cold,-1.02
319,medium_office,33,2,Neutral,0.31
320,residential,23,2,Neutral,0.22
321,medium_office,33,2,Neutral,-0.45
322,mixed_use,12,2,Neutral,-0.25
323,medium_office,14,2,Neutral,0.28
324,mixed_use,20,2,Neutral,-0.24
325,medium_office,6,2,Neutral,-0.2
326,residential,30,2,Neutral,-0.26
327,residential,28,2,Neutral,0.21
328,residential,1,3,Warm,1.24
329,mixed_use,28,2,Neutral,-0.18
330,medium_office,30,1,Cool,-1.03
331,residential,7,2,Neutral,0.5
332,medium_office,34,3,Warm,1.02
333,medium_office,26,1,Cool,-0.95
334,mixed_use,12,1,Cool,-0.6
335,medium_office,33,3,Warm,1.23
336,mixed_use,15,1,Cool,-0.88
337,residential,26,2,Neutral,0.11
338,medium_office,2,3,Warm,0.98
339,mixed_use,37,3,Warm,1.0
340,residential,32,2,Neutral,0.26
341,medium_office,25,4,Hot,1.68
342,medium_office,23,2,Neutral,0.43
343,mixed_use,14,1,Cool,-0.42
344,mixed_use,37,2,Neutral,-0.29
345,residential,22,2,Neutral,0.21
346,mixed_use,36,2,Neutral,-0.02
347,mixed_use,23,4,Hot,1.3
348,residential,21,1,Cool,-0.75
349,residential,2,2,Neutral,-0.0
350,mixed_use,5,2,Neutral,-0.35
351,medium_office,22,2,Neutral,0.34
352,mixed_use,32,2,Neutral,0.01
353,mixed_use,17,2,Neutral,0.48
354,medium_office,30,3,Warm,0.82
355,medium_office,30,3,Warm,1.23
356,mixed_use,38,2,Neutral,-0.2
357,mixed_use,23,2,Neutral,-0.09
358,residential,5,2,Neutral,-0.12
359,mixed_use,22,2,Neutral,-0.01
360,medium_office,18,2,Neutral,-0.26
361,mixed_use,13,2,Neutral,0.24
362,mixed_use,3,2,Neutral,0.37
363,medium_office,30,2,Neutral,-0.27
364,medium_office,12,4,Hot,1.72
365,medium_office,13,2,Neutral,-0.22
366,residential,21,2,Neutral,0.49
367,medium_office,21,2,Neutral,0.4
368,residential,23,2,Neutral,-0.39
369,medium_office,8,0,Cold,-1.75
370,medium_office,38,2,Neutral,0.46
371,residential,32,2,Neutral,-0.35
372,residential,24,3,Warm,1.1
373,medium_office,27,3,Warm,0.42
374,residential,25,2,Neutral,-0.29
375,residential,27,1,Cool,-1.23
376,medium_office,28,2,Neutral,-0.47
377,medium_office,27,2,Neutral,0.46
378,medium_office,17,2,Neutral,-0.05
379,medium_office,24,2,Neutral,-0.09
380,residential,5,2,Neutral,0.4
381,medium_office,12,2,Neutral,-0.1
382,medium_office,11,2,Neutral,0.39
383,medium_office,11,2,Neutral,0.05
384,residential,14,3,Warm,0.93
385,medium_office,32,4,Hot,1.78
386,residential,8,2,Neutral,-0.02
387,medium_office,21,1,Cool,-0.78
388,medium_office,16,2,Neutral,-0.17
389,medium_office,5,1,Cool,-0.52
390,mixed_use,6,2,Neutral,0.09
391,mixed_use,13,2,Neutral,0.22
392,residential,35,2,Neutral,0.16
393,residential,6,2,Neutral,-0.34
394,mixed_use,16,2,Neutral,0.45
395,mixed_use,25,1,Cool,-0.43
396,mixed_use,7,2,Neutral,-0.02
397,mixed_use,3,2,Neutral,0.46
398,mixed_use,7,2,Neutral,0.12
399,mixed_use,23,2,Neutral,-0.12
400,medium_office,29,4,Hot,1.97
401,mixed_use,28,3,Warm,0.53
402,mixed_use,17,2,Neutral,0.26
403,mixed_use,9,2,Neutral,-0.49
404,mixed_use,6,2,Neutral,0.42
405,residential,24,4,Hot,1.34
406,residential,30,4,Hot,1.58
407,mixed_use,24,1,Cool,-1.22
408,residential,13,3,Warm,0.61
409,mixed_use,30,2,Neutral,0.11
410,mixed_use,31,2,Neutral,-0.18
411,mixed_use,24,2,Neutral,-0.41
412,mixed_use,5,2,Neutral,-0.01
413,residential,38,3,Warm,0.45
414,residential,3,2,Neutral,-0.23
415,residential,28,3,Warm,0.59
416,medium_office,1,4,Hot,1.27
417,medium_office,28,3,Warm,0.54
418,residential,6,2,Neutral,0.47
419,residential,22,2,Neutral,0.02
420,mixed_use,24,2,Neutral,-0.39
421,medium_office,7,3,Warm,0.68
422,mixed_use,3,1,Cool,-1.1
423,residential,9,2,Neutral,0.42
424,residential,20,2,Neutral,0.15
425,residential,3,2,Neutral,0.19
426,medium_office,15,4,Hot,1.17
427,residential,2,1,Cool,-0.55
428,mixed_use,30,2,Neutral,-0.12
429,medium_office,36,2,Neutral,0.36
430,medium_office,29,2,Neutral,-0.18
431,mixed_use,9,2,Neutral,0.4
432,residential,2,2,Neutral,0.34
433,mixed_use,24,3,Warm,0.98
434,mixed_use,10,3,Warm,1.23
435,mixed_use,23,1,Cool,-1.23
436,medium_office,27,1,Cool,-1.11
437,residential,7,2,Neutral,0.41
438,residential,34,2,Neutral,0.28
439,residential,22,3,Warm,0.96
440,residential,35,1,Cool,-0.73
441,medium_office,29,2,Neutral,0.36
442,mixed_use,29,1,Cool,-0.38
443,mixed_use,6,4,Hot,1.8
444,mixed_use,2,3,Warm,0.51
445,mixed_use,38,4,Hot,1.85
446,medium_office,2,1,Cool,-0.38
447,mixed_use,24,2,Neutral,0.13
448,medium_office,9,2,Neutral,-0.23
449,residential,4,2,Neutral,-0.24
450,medium_office,13,2,Neutral,-0.44
451,residential,36,2,Neutral,0.24
452,medium_office,21,2,Neutral,0.13
453,mixed_use,17,2,Neutral,-0.01
454,mixed_use,5,3,Warm,0.81
455,medium_office,12,2,Neutral,0.43
456,mixed_use,17,2,Neutral,0.45
457,mixed_use,33,2,Neutral,-0.37
458,residential,1,4,Hot,1.78
459,medium_office,3,2,Neutral,0.05
460,residential,11,2,Neutral,0.47
461,residential,16,3,Warm,1.17
462,residential,35,2,Neutral,-0.37
463,medium_office,25,4,Hot,1.46
464,medium_office,10,1,Cool,-1.16
465,mixed_use,27,2,Neutral,-0.04
466,residential,16,2,Neutral,-0.31
467,medium_office,31,2,Neutral,0.5
468,residential,32,2,Neutral,0.0
469,medium_office,19,2,Neutral,0.15
470,medium_office,8,2,Neutral,-0.24
471,medium_office,6,2,Neutral,0.2
472,mixed_use,11,1,Cool,-1.16
473,mixed_use,29,3,Warm,0.78
474,mixed_use,26,2,Neutral,-0.08
475,mixed_use,6,2,Neutral,-0.12
476,residential,27,0,Cold,-1.57
477,mixed_use,32,1,Cool,-0.59
478,residential,31,3,Warm,1.09
479,mixed_use,16,3,Warm,1.25
480,medium_office,28,3,Warm,0.32
481,residential,19,2,Neutral,0.49
482,residential,3,1,Cool,-1.23
483,mixed_use,19,1,Cool,-0.36
484,medium_office,13,2,Neutral,0.42
485,mixed_use,12,3,Warm,1.07
486,residential,24,3,Warm,1.21
487,medium_office,36,2,Neutral,-0.45
488,mixed_use,15,2,Neutral,0.12
489,mixed_use,10,1,Cool,-1.0
490,medium_office,29,3,Warm,0.91
491,residential,23,2,Neutral,-0.29
492,mixed_use,12,2,Neutral,-0.4
493,mixed_use,8,3,Warm,0.71
494,residential,2,2,Neutral,0.43
495,mixed_use,24,1,Cool,-1.23
496,residential,4,0,Cold,-1.99
497,medium_office,7,3,Warm,1.06
498,medium_office,19,2,Neutral,-0.21
499,medium_office,11,2,Neutral,0.14
500,mixed_use,9,1,Cool,-1.12
501,medium_office,35,3,Warm,1.22
502,mixed_use,1,2,Neutral,0.25
503,residential,34,3,Warm,0.5
504,mixed_use,11,2,Neutral,-0.47
505,medium_office,32,2,Neutral,-0.09
506,mixed_use,17,1,Cool,-0.89
507,residential,34,3,Warm,0.84
508,residential,10,2,Neutral,0.08
509,mixed_use,28,1,Cool,-0.78
510,residential,37,2,Neutral,0.47
511,mixed_use,2,2,Neutral,0.35
512,mixed_use,1,3,Warm,0.48
513,mixed_use,26,3,Warm,1.12
514,residential,10,2,Neutral,-0.05
515,medium_office,37,4,Hot,1.49
516,residential,10,1,Cool,-0.35
517,medium_office,2,3,Warm,0.4
518,medium_office,1,2,Neutral,-0.09
519,residential,4,2,Neutral,-0.24
520,medium_office,22,1,Cool,-1.08
521,residential,14,0,Cold,-1.78
522,residential,35,2,Neutral,-0.29
523,mixed_use,38,2,Neutral,0.42
524,mixed_use,16,2,Neutral,-0.33
525,residential,36,1,Cool,-1.03
526,mixed_use,13,1,Cool,-1.08
527,medium_office,8,3,Warm,0.34
528,mixed_use,3,3,Warm,0.26
529,medium_office,25,4,Hot,1.2
530,medium_office,1,2,Neutral,0.05
531,mixed_use,26,2,Neutral,0.48
532,medium_office,30,3,Warm,1.05
533,mixed_use,10,2,Neutral,0.2
534,medium_office,8,2,Neutral,-0.02
535,mixed_use,7,1,Cool,-0.58
536,mixed_use,29,2,Neutral,-0.37
537,mixed_use,5,3,Warm,1.16
538,medium_office,36,2,Neutral,0.11
539,mixed_use,14,2,Neutral,-0.42
540,residential,13,0,Cold,-1.09
541,residential,30,2,Neutral,0.27
542,residential,10,2,Neutral,-0.3
543,mixed_use,24,2,Neutral,0.03
544,mixed_use,7,2,Neutral,-0.04
545,mixed_use,33,2,Neutral,0.13
546,mixed_use,22,2,Neutral,0.33
547,medium_office,38,4,Hot,1.16
548,residential,37,3,Warm,0.58
549,residential,11,0,Cold,-1.75
550,mixed_use,8,2,Neutral,0.4
551,residential,5,2,Neutral,-0.31
552,residential,34,2,Neutral,-0.48
553,residential,34,2,Neutral,0.34
554,mixed_use,18,2,Neutral,0.23
555,medium_office,34,3,Warm,0.79
556,mixed_use,9,2,Neutral,-0.44
557,mixed_use,31,4,Hot,1.78
558,residential,2,0,Cold,-1.74
559,mixed_use,19,2,Neutral,-0.3
560,medium_office,21,2,Neutral,0.31
561,medium_office,22,2,Neutral,-0.28
562,mixed_use,18,2,Neutral,-0.31
563,residential,29,4,Hot,1.09
564,residential,32,2,Neutral,-0.38
565,mixed_use,26,2,Neutral,-0.35
566,medium_office,20,3,Warm,0.98
567,mixed_use,23,2,Neutral,0.19
568,medium_office,19,2,Neutral,0.07
569,residential,28,2,Neutral,-0.16
570,medium_office,35,2,Neutral,-0.29
571,medium_office,37,2,Neutral,0.45
572,medium_office,6,2,Neutral,0.12
573,residential,33,2,Neutral,0.23
574,residential,38,1,Cool,-0.81
575,residential,4,3,Warm,1.15
576,residential,12,2,Neutral,0.22
577,residential,32,2,Neutral,-0.05
578,medium_office,22,2,Neutral,0.11
579,medium_office,26,2,Neutral,-0.46
580,residential,23,2,Neutral,-0.24
581,residential,3,2,Neutral,-0.2
582,medium_office,14,3,Warm,0.93
583,medium_office,38,2,Neutral,0.44
584,medium_office,35,2,Neutral,0.29
585,medium_office,25,3,Warm,0.62
586,mixed_use,19,2,Neutral,-0.22
587,mixed_use,14,3,Warm,1.13
588,mixed_use,23,2,Neutral,0.26
589,mixed_use,16,3,Warm,0.63
590,mixed_use,10,2,Neutral,0.31
591,residential,2,3,Warm,0.46
592,mixed_use,24,2,Neutral,-0.16
593,mixed_use,24,2,Neutral,0.22
594,residential,29,2,Neutral,0.49
595,residential,14,4,Hot,1.79
596,medium_office,19,2,Neutral,0.34
597,residential,11,2,Neutral,-0.18
598,mixed_use,13,3,Warm,0.51
599,mixed_use,6,2,Neutral,0.11
600,medium_office,27,2,Neutral,-0.36
601,medium_office,18,3,Warm,0.73
602,residential,18,1,Cool,-0.95
603,residential,6,3,Warm,1.05
604,medium_office,3,2,Neutral,-0.48
605,residential,9,2,Neutral,-0.38
606,medium_office,22,2,Neutral,-0.43
607,residential,30,3,Warm,0.44
608,mixed_use,34,3,Warm,0.42
609,medium_office,30,2,Neutral,0.44
610,mixed_use,36,2,Neutral,0.25
611,mixed_use,29,2,Neutral,0.15
612,mixed_use,29,2,Neutral,-0.43
613,residential,2,2,Neutral,0.04
614,medium_office,35,2,Neutral,-0.27
615,residential,26,3,Warm,0.63
616,mixed_use,22,3,Warm,0.52
617,medium_office,27,1,Cool,-0.55
618,residential,1,2,Neutral,-0.45
619,medium_office,31,3,Warm,0.9
620,medium_office,29,4,Hot,1.78
621,medium_office,4,2,Neutral,-0.07
622,residential,14,2,Neutral,0.05
623,medium_office,19,4,Hot,1.89
624,residential,4,1,Cool,-0.35
625,residential,32,2,Neutral,-0.35
626,mixed_use,34,2,Neutral,-0.38
627,mixed_use,8,2,Neutral,0.34
628,residential,35,2,Neutral,-0.38
629,mixed_use,32,3,Warm,0.92
630,mixed_use,35,2,Neutral,0.11
631,medium_office,27,2,Neutral,0.19
632,medium_office,13,2,Neutral,-0.07
633,medium_office,34,2,Neutral,0.31
634,mixed_use,10,2,Neutral,-0.12
635,residential,26,4,Hot,1.44
636,mixed_use,4,2,Neutral,0.14
637,medium_office,11,2,Neutral,-0.44
638,medium_office,25,3,Warm,1.04
639,residential,18,1,Cool,-0.75
640,residential,13,2,Neutral,0.19
641,mixed_use,6,2,Neutral,-0.37
642,residential,10,2,Neutral,-0.13
643,mixed_use,22,1,Cool,-0.53
644,medium_office,1,3,Warm,0.93
645,medium_office,22,2,Neutral,-0.48
646,residential,3,2,Neutral,0.33
647,medium_office,11,2,Neutral,-0.17
648,medium_office,8,1,Cool,-0.41
649,mixed_use,8,3,Warm,0.76
650,residential,36,1,Cool,-1.19
651,medium_office,31,2,Neutral,0.29
652,mixed_use,34,2,Neutral,-0.22
653,residential,25,4,Hot,1.25
654,residential,7,2,Neutral,0.18
655,mixed_use,3,1,Cool,-0.61
656,residential,32,2,Neutral,0.25
657,mixed_use,28,4,Hot,1.1
658,mixed_use,19,2,Neutral,-0.3
659,mixed_use,33,2,Neutral,0.32
660,residential,7,2,Neutral,0.0
661,residential,27,1,Cool,-1.06
662,medium_office,36,2,Neutral,-0.34
663,mixed_use,6,2,Neutral,0.04
664,residential,24,2,Neutral,0.42
665,medium_office,35,3,Warm,1.08
666,medium_office,35,3,Warm,0.49
667,mixed_use,19,1,Cool,-0.53
668,medium_office,22,2,Neutral,0.38
669,medium_office,35,2,Neutral,-0.01
670,mixed_use,23,2,Neutral,-0.14
671,mixed_use,7,2,Neutral,0.46
672,medium_office,29,0,Cold,-1.71
673,residential,10,1,Cool,-1.16
674,residential,8,2,Neutral,0.22
675,residential,22,2,Neutral,0.38
676,medium_office,18,2,Neutral,-0.15
677,mixed_use,28,2,Neutral,-0.26
678,mixed_use,23,3,Warm,0.61
679,medium_office,29,4,Hot,1.16
680,medium_office,29,4,Hot,1.55
681,medium_office,20,3,Warm,1.13
682,medium_office,1,4,Hot,1.34
683,medium_office,13,2,Neutral,0.18
684,medium_office,20,4,Hot,1.25
685,medium_office,29,2,Neutral,0.36
686,medium_office,18,3,Warm,1.09
687,medium_office,6,1,Cool,-0.38
688,residential,26,2,Neutral,0.06
689,mixed_use,21,3,Warm,0.71
690,medium_office,27,2,Neutral,-0.48
691,residential,36,2,Neutral,0.45
692,medium_office,26,2,Neutral,-0.29
693,mixed_use,35,2,Neutral,-0.3
694,medium_office,12,2,Neutral,-0.42
695,mixed_use,27,2,Neutral,-0.42
696,residential,4,2,Neutral,0.07
697,medium_office,12,3,Warm,0.64
698,residential,7,2,Neutral,0.06
699,mixed_use,1,2,Neutral,0.47
700,medium_office,11,3,Warm,0.34
701,mixed_use,5,2,Neutral,-0.4
702,residential,4,2,Neutral,0.01
703,medium_office,38,3,Warm,0.31
704,mixed_use,16,3,Warm,1.12
