day_of_week,hour,zone,occupied,n_occupants,CO2_ppm
1,13,4,0,0,386.0
1,14,1,1,3,578.0
1,14,2,1,5,716.0
1,14,3,1,8,875.0
1,14,4,0,0,394.0
1,15,1,0,0,382.0
1,15,2,1,4,648.0
1,15,3,1,7,825.0
1,15,4,1,6,749.0
1,16,1,0,0,402.0
1,16,2,1,7,843.0
1,16,3,0,0,386.0
1,16,4,1,5,692.0
1,17,1,1,4,651.0
1,17,2,1,3,570.0
1,17,3,0,0,403.0
1,17,4,1,4,656.0
1,18,1,1,6,759.0
1,18,2,1,7,825.0
1,18,3,1,8,897.0
1,18,4,1,11,1069.0
1,19,1,0,0,398.0
1,19,2,0,0,382.0
1,19,3,0,0,423.0
1,19,4,1,0,390.0
1,20,1,0,0,382.0
1,20,2,0,0,403.0
1,20,3,0,0,398.0
1,20,4,0,0,415.0
1,21,1,1,0,410.0
1,21,2,0,0,390.0
1,21,3,0,0,393.0
1,21,4,0,0,395.0
1,22,1,0,0,396.0
1,22,2,0,0,391.0
1,22,3,0,0,410.0
1,22,4,0,0,380.0
1,23,1,0,0,407.0
1,23,2,0,0,393.0
1,23,3,0,0,408.0
1,23,4,0,0,401.0
2,0,1,0,0,392.0
2,0,2,0,0,405.0
2,0,3,1,0,388.0
2,0,4,0,0,390.0
2,1,1,0,0,375.0
2,1,2,0,0,402.0
2,1,3,1,0,397.0
2,1,4,0,0,416.0
2,2,1,1,0,402.0
2,2,2,0,0,390.0
2,2,3,0,0,397.0
2,2,4,0,0,385.0
2,3,1,0,0,381.0
2,3,2,0,0,402.0
2,3,3,0,0,400.0
2,3,4,0,0,395.0
2,4,1,0,0,401.0
2,4,2,0,0,405.0
2,4,3,0,0,405.0
2,4,4,0,0,387.0
2,5,1,0,0,409.0
2,5,2,0,0,412.0
2,5,3,0,0,418.0
2,5,4,0,0,376.0
2,6,1,0,0,412.0
2,6,2,0,0,403.0
2,6,3,0,0,386.0
2,6,4,0,0,391.0
2,7,1,0,0,394.0
2,7,2,0,0,390.0
2,7,3,0,0,408.0
2,7,4,0,0,402.0
2,8,1,1,7,841.0
2,8,2,0,0,409.0
2,8,3,1,0,384.0
2,8,4,1,6,763.0
2,9,1,1,4,640.0
2,9,2,1,3,564.0
2,9,3,1,3,572.0
2,9,4,1,5,696.0
2,10,1,1,6,759.0
2,10,2,0,0,400.0
2,10,3,0,0,405.0
2,10,4,1,5,704.0
2,11,1,0,0,402.0
2,11,2,1,4,635.0
2,11,3,0,0,402.0
2,11,4,1,4,644.0
2,12,1,0,0,403.0
2,12,2,1,9,953.0
2,12,3,1,3,587.0
2,12,4,1,6,748.0
2,13,1,1,6,756.0
2,13,2,1,4,631.0
2,13,3,1,9,945.0
2,13,4,1,6,770.0
2,14,1,1,7,798.0
2,14,2,1,4,636.0
2,14,3,1,8,892.0
2,14,4,0,0,402.0
2,15,1,0,0,410.0
2,15,2,1,4,642.0
2,15,3,1,7,831.0
2,15,4,1,4,639.0
2,16,1,1,3,601.0
2,16,2,1,6,754.0
2,16,3,1,5,698.0
2,16,4,1,5,699.0
2,17,1,0,0,400.0
2,17,2,1,1,482.0
2,17,3,1,5,697.0
2,17,4,0,0,392.0
2,18,1,1,9,962.0
2,18,2,1,5,687.0
2,18,3,1,5,679.0
2,18,4,0,0,402.0
2,19,1,0,0,396.0
2,19,2,0,0,409.0
2,19,3,0,0,401.0
2,19,4,0,0,396.0
2,20,1,0,0,416.0
2,20,2,0,0,406.0
2,20,3,0,0,403.0
2,20,4,0,0,407.0
2,21,1,0,0,399.0
2,21,2,0,0,408.0
2,21,3,0,0,405.0
2,21,4,0,0,398.0
2,22,1,0,0,382.0
2,22,2,0,0,400.0
2,22,3,0,0,395.0
2,22,4,0,0,399.0
2,23,1,0,0,411.0
2,23,2,0,0,402.0
2,23,3,0,0,402.0
2,23,4,0,0,407.0
3,0,1,0,0,394.0
3,0,2,1,0,393.0
3,0,3,0,0,407.0
3,0,4,0,0,408.0
3,1,1,0,0,404.0
3,1,2,0,0,404.0
3,1,3,0,0,417.0
3,1,4,0,0,405.0
3,2,1,0,0,384.0
3,2,2,0,0,394.0
3,2,3,0,0,394.0
3,2,4,0,0,388.0
3,3,1,0,0,398.0
3,3,2,0,0,404.0
3,3,3,1,0,410.0
3,3,4,0,0,401.0
3,4,1,0,0,395.0
3,4,2,0,0,394.0
3,4,3,0,0,407.0
3,4,4,0,0,404.0
3,5,1,0,0,400.0
3,5,2,0,0,385.0
3,5,3,0,0,391.0
3,5,4,0,0,387.0
3,6,1,0,0,397.0
3,6,2,1,0,392.0
3,6,3,0,0,407.0
3,6,4,0,0,393.0
3,7,1,0,0,407.0
3,7,2,0,0,393.0
3,7,3,0,0,392.0
3,7,4,0,0,421.0
3,8,1,1,6,756.0
3,8,2,0,0,404.0
3,8,3,1,9,970.0
3,8,4,1,7,820.0
3,9,1,1,3,570.0
3,9,2,1,3,577.0
3,9,3,1,5,666.0
3,9,4,1,6,760.0
3,10,1,1,5,698.0
3,10,2,0,0,410.0
3,10,3,0,0,397.0
3,10,4,1,1,449.0
3,11,1,0,0,385.0
3,11,2,1,3,579.0
3,11,3,1,6,777.0
3,11,4,1,4,631.0
3,12,1,1,5,703.0
3,12,2,1,4,630.0
3,12,3,1,7,825.0
3,12,4,1,5,706.0
3,13,1,1,8,879.0
3,13,2,1,5,716.0
3,13,3,1,5,703.0
3,13,4,0,0,408.0
3,14,1,1,6,765.0
3,14,2,1,4,629.0
3,14,3,1,2,531.0
3,14,4,1,7,824.0
3,15,1,1,6,766.0
3,15,2,1,8,878.0
3,15,3,0,0,408.0
3,15,4,1,7,810.0
3,16,1,1,4,623.0
3,16,2,1,6,753.0
3,16,3,0,0,390.0
3,16,4,1,3,598.0
3,17,1,1,9,946.0
3,17,2,1,1,447.0
3,17,3,1,5,703.0
3,17,4,0,0,389.0
3,18,1,1,6,743.0
3,18,2,0,0,391.0
3,18,3,1,6,764.0
3,18,4,1,8,899.0
3,19,1,0,0,409.0
3,19,2,0,0,405.0
3,19,3,0,0,388.0
3,19,4,0,0,399.0
3,20,1,0,0,400.0
3,20,2,0,0,416.0
3,20,3,0,0,406.0
3,20,4,0,0,421.0
3,21,1,0,0,414.0
3,21,2,0,0,391.0
3,21,3,0,0,394.0
3,21,4,0,0,402.0
3,22,1,0,0,416.0
3,22,2,0,0,407.0
3,22,3,1,0,408.0
3,22,4,0,0,396.0
3,23,1,0,0,387.0
3,23,2,0,0,397.0
3,23,3,0,0,389.0
3,23,4,0,0,408.0
4,0,1,0,0,406.0
4,0,2,1,0,384.0
4,0,3,0,0,395.0
4,0,4,0,0,403.0
4,1,1,0,0,395.0
4,1,2,0,0,392.0
4,1,3,1,0,399.0
4,1,4,0,0,408.0
4,2,1,0,0,395.0
4,2,2,0,0,395.0
4,2,3,0,0,391.0
4,2,4,0,0,397.0
4,3,1,0,0,403.0
4,3,2,0,0,410.0
4,3,3,0,0,399.0
4,3,4,0,0,381.0
4,4,1,0,0,386.0
4,4,2,0,0,410.0
4,4,3,0,0,392.0
4,4,4,0,0,395.0
4,5,1,0,0,402.0
4,5,2,0,0,413.0
4,5,3,0,0,399.0
4,5,4,0,0,390.0
4,6,1,0,0,396.0
4,6,2,0,0,388.0
4,6,3,0,0,395.0
4,6,4,0,0,394.0
4,7,1,0,0,390.0
4,7,2,0,0,403.0
4,7,3,0,0,385.0
4,7,4,0,0,401.0
4,8,1,1,4,626.0
4,8,2,1,3,589.0
4,8,3,0,0,414.0
4,8,4,1,6,765.0
4,9,1,0,0,395.0
4,9,2,1,7,818.0
4,9,3,1,7,804.0
4,9,4,1,1,470.0
4,10,1,1,3,567.0
4,10,2,1,5,702.0
4,10,3,1,1,454.0
4,10,4,1,2,542.0
4,11,1,1,7,810.0
4,11,2,1,6,748.0
4,11,3,0,0,391.0
4,11,4,1,0,393.0
4,12,1,0,0,406.0
4,12,2,1,4,641.0
4,12,3,1,10,973.0
4,12,4,1,3,577.0
4,13,1,1,6,760.0
4,13,2,1,3,573.0
4,13,3,1,2,504.0
4,13,4,1,3,578.0
4,14,1,1,6,759.0
4,14,2,0,0,395.0
4,14,3,0,0,407.0
4,14,4,1,5,701.0
4,15,1,1,4,642.0
4,15,2,1,5,705.0
4,15,3,0,0,388.0
4,15,4,1,9,925.0
4,16,1,0,0,397.0
4,16,2,1,6,759.0
4,16,3,1,4,633.0
4,16,4,1,4,659.0
4,17,1,1,6,751.0
4,17,2,1,7,820.0
4,17,3,1,9,942.0
4,17,4,1,4,631.0
4,18,1,1,1,466.0
4,18,2,1,5,689.0
4,18,3,1,5,672.0
4,18,4,1,3,576.0
4,19,1,0,0,418.0
4,19,2,0,0,396.0
4,19,3,0,0,410.0
4,19,4,0,0,396.0
4,20,1,0,0,416.0
4,20,2,0,0,374.0
4,20,3,0,0,397.0
4,20,4,0,0,395.0
4,21,1,0,0,396.0
4,21,2,0,0,401.0
4,21,3,0,0,424.0
4,21,4,0,0,407.0
4,22,1,0,0,399.0
4,22,2,0,0,401.0
4,22,3,0,0,398.0
4,22,4,0,0,414.0
4,23,1,0,0,387.0
4,23,2,0,0,399.0
4,23,3,0,0,404.0
4,23,4,0,0,386.0
5,0,1,0,0,399.0
5,0,2,0,0,396.0
5,0,3,0,0,401.0
5,0,4,0,0,413.0
5,1,1,0,0,407.0
5,1,2,0,0,399.0
5,1,3,0,0,400.0
5,1,4,0,0,400.0
5,2,1,0,0,414.0
5,2,2,0,0,419.0
5,2,3,0,0,404.0
5,2,4,0,0,400.0
5,3,1,0,0,388.0
5,3,2,0,0,402.0
5,3,3,0,0,394.0
5,3,4,0,0,381.0
5,4,1,0,0,409.0
5,4,2,0,0,402.0
5,4,3,0,0,403.0
5,4,4,0,0,398.0
5,5,1,1,0,409.0
5,5,2,0,0,401.0
5,5,3,0,0,391.0
5,5,4,0,0,425.0
5,6,1,0,0,400.0
5,6,2,0,0,413.0
5,6,3,0,0,389.0
5,6,4,1,0,399.0
5,7,1,0,0,407.0
5,7,2,0,0,395.0
5,7,3,0,0,404.0
5,7,4,0,0,404.0
5,8,1,0,0,406.0
5,8,2,0,0,418.0
5,8,3,0,0,403.0
5,8,4,0,0,402.0
5,9,1,0,0,409.0
5,9,2,0,0,409.0
5,9,3,0,0,401.0
5,9,4,0,0,399.0
5,10,1,0,0,414.0
5,10,2,0,0,388.0
5,10,3,0,0,411.0
5,10,4,1,0,403.0
5,11,1,0,0,400.0
5,11,2,0,0,418.0
5,11,3,0,0,395.0
5,11,4,1,0,410.0
5,12,1,0,0,401.0
5,12,2,0,0,396.0
5,12,3,0,0,411.0
5,12,4,0,0,405.0
5,13,1,0,0,385.0
5,13,2,0,0,398.0
5,13,3,0,0,391.0
5,13,4,0,0,399.0
5,14,1,0,0,396.0
5,14,2,0,0,385.0
5,14,3,0,0,397.0
5,14,4,0,0,395.0
5,15,1,0,0,407.0
5,15,2,0,0,394.0
5,15,3,0,0,391.0
5,15,4,0,0,403.0
5,16,1,0,0,398.0
5,16,2,0,0,409.0
5,16,3,0,0,411.0
5,16,4,0,0,404.0
5,17,1,0,0,394.0
5,17,2,0,0,374.0
5,17,3,0,0,412.0
5,17,4,0,0,390.0
5,18,1,0,0,418.0
5,18,2,0,0,407.0
5,18,3,0,0,379.0
5,18,4,0,0,410.0
5,19,1,0,0,398.0
5,19,2,0,0,409.0
5,19,3,0,0,406.0
5,19,4,0,0,407.0
5,20,1,0,0,412.0
5,20,2,0,0,397.0
5,20,3,0,0,389.0
5,20,4,1,0,392.0
5,21,1,0,0,411.0
5,21,2,0,0,394.0
5,21,3,0,0,406.0
5,21,4,0,0,395.0
5,22,1,0,0,394.0
5,22,2,0,0,392.0
5,22,3,0,0,403.0
5,22,4,0,0,403.0
5,23,1,0,0,390.0
5,23,2,0,0,395.0
5,23,3,0,0,391.0
5,23,4,0,0,401.0
6,0,1,0,0,402.0
6,0,2,0,0,398.0
6,0,3,0,0,398.0
6,0,4,0,0,406.0
6,1,1,0,0,389.0
6,1,2,0,0,400.0
6,1,3,0,0,423.0
6,1,4,0,0,392.0
6,2,1,0,0,401.0
6,2,2,0,0,397.0
6,2,3,0,0,395.0
6,2,4,0,0,406.0
6,3,1,0,0,401.0
6,3,2,1,0,411.0
6,3,3,0,0,414.0
6,3,4,0,0,392.0
6,4,1,0,0,402.0
6,4,2,0,0,414.0
6,4,3,0,0,419.0
6,4,4,0,0,402.0
6,5,1,0,0,407.0
6,5,2,0,0,393.0
6,5,3,0,0,395.0
6,5,4,0,0,408.0
6,6,1,0,0,404.0
6,6,2,0,0,404.0
6,6,3,0,0,392.0
6,6,4,0,0,411.0
6,7,1,0,0,394.0
6,7,2,0,0,390.0
6,7,3,0,0,402.0
6,7,4,0,0,394.0
6,8,1,0,0,389.0
6,8,2,0,0,401.0
6,8,3,0,0,404.0
6,8,4,1,0,389.0
6,9,1,0,0,415.0
6,9,2,0,0,406.0
6,9,3,0,0,401.0
6,9,4,1,0,391.0
6,10,1,0,0,401.0
6,10,2,0,0,407.0
6,10,3,0,0,418.0
6,10,4,0,0,417.0
6,11,1,0,0,399.0
6,11,2,0,0,409.0
6,11,3,0,0,415.0
6,11,4,0,0,407.0
6,12,1,0,0,401.0
6,12,2,0,0,400.0
6,12,3,0,0,390.0
6,12,4,0,0,400.0
6,13,1,0,0,393.0
6,13,2,0,0,430.0
6,13,3,0,0,404.0
6,13,4,0,0,403.0
6,14,1,0,0,392.0
6,14,2,0,0,393.0
6,14,3,0,0,394.0
6,14,4,0,0,404.0
6,15,1,0,0,408.0
6,15,2,0,0,402.0
6,15,3,0,0,393.0
6,15,4,0,0,408.0
6,16,1,0,0,413.0
6,16,2,0,0,420.0
6,16,3,0,0,401.0
6,16,4,0,0,403.0
6,17,1,0,0,392.0
6,17,2,0,0,403.0
6,17,3,0,0,390.0
6,17,4,0,0,404.0
6,18,1,0,0,397.0
6,18,2,0,0,399.0
6,18,3,0,0,410.0
6,18,4,0,0,386.0
6,19,1,0,0,393.0
6,19,2,0,0,379.0
6,19,3,0,0,379.0
6,19,4,0,0,395.0
6,20,1,0,0,415.0
6,20,2,0,0,403.0
6,20,3,0,0,382.0
6,20,4,0,0,399.0
6,21,1,0,0,394.0
6,21,2,0,0,410.0
6,21,3,0,0,407.0
6,21,4,0,0,390.0
6,22,1,0,0,403.0
6,22,2,0,0,403.0
6,22,3,1,0,373.0
6,22,4,0,0,395.0
6,23,1,0,0,412.0
6,23,2,0,0,409.0
6,23,3,0,0,396.0
6,23,4,0,0,398.0
