hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
67,2,19,24.4,24.7,24.2,0.64,0.76,454.0,0.092,2,0.835
68,2,20,24.3,23.7,23.8,0.64,0.2,647.0,0.1337,2,0.953
69,2,21,24.6,24.8,24.8,0.69,0.81,327.0,0.0747,1,0.901
70,2,22,24.6,24.9,24.7,0.81,0.5,605.0,0.1208,3,0.82
71,2,23,24.1,24.4,24.0,0.1,0.49,345.0,0.0752,2,0.93
72,3,0,23.8,24.0,23.8,0.29,0.44,656.0,0.0558,3,0.695
73,3,1,24.0,24.4,24.4,0.44,0.92,401.0,0.1246,2,0.721
74,3,2,24.2,24.3,24.6,0.35,0.25,419.0,0.1194,2,0.768
75,3,3,24.5,23.6,24.7,0.08,0.26,596.0,0.0791,2,0.779
76,3,4,24.3,24.4,24.7,0.11,0.74,544.0,0.0957,2,0.656
77,3,5,24.5,24.2,24.7,0.5,0.31,327.0,0.0529,2,0.885
78,3,6,24.6,23.8,24.6,0.25,0.52,372.0,0.1274,2,0.766
79,3,7,24.6,24.2,24.0,0.11,0.64,595.0,0.1092,1,0.8
80,3,8,24.9,24.5,24.8,0.31,0.87,337.0,0.1425,2,0.819
81,3,9,25.0,24.3,24.5,0.69,0.98,635.0,0.1494,2,0.857
82,3,10,24.5,24.5,24.2,0.7,0.53,354.0,0.1452,2,0.96
83,3,11,23.8,24.6,23.9,0.6,0.07,746.0,0.1188,3,0.964
84,3,12,24.0,23.9,24.4,0.79,0.36,547.0,0.1291,2,0.913
85,3,13,24.1,25.0,23.8,0.81,1.0,721.0,0.0907,3,0.73
86,3,14,23.4,23.9,23.1,0.22,0.88,435.0,0.1253,2,0.709
87,3,15,23.9,23.7,24.6,0.37,0.98,318.0,0.1451,2,0.839
88,3,16,23.7,23.6,23.9,0.01,0.77,518.0,0.0634,1,0.658
89,3,17,24.5,25.1,24.2,0.68,0.04,394.0,0.0933,2,0.951
90,3,18,23.8,23.8,24.3,0.16,0.58,573.0,0.0531,2,0.936
91,3,19,24.0,23.6,23.3,0.02,0.25,537.0,0.1247,4,0.837
92,3,20,23.6,23.1,23.7,0.28,0.61,676.0,0.1059,3,0.794
93,3,21,23.9,24.8,23.6,0.72,0.47,571.0,0.0857,3,0.744
94,3,22,24.0,24.3,24.5,0.68,0.13,714.0,0.0858,2,0.772
95,3,23,23.8,23.5,23.5,0.8,0.83,445.0,0.1238,2,0.689
96,4,0,23.4,22.9,22.9,0.52,0.06,362.0,0.1411,2,0.931
97,4,1,23.8,23.6,23.8,0.28,0.12,449.0,0.0798,2,0.964
98,4,2,23.8,23.9,24.3,0.0,0.13,509.0,0.1319,2,0.964
99,4,3,24.1,24.1,24.5,0.87,0.11,553.0,0.1123,2,0.723
100,4,4,23.4,23.5,23.8,0.76,0.75,399.0,0.0768,2,0.938
101,4,5,23.1,22.3,23.3,0.48,0.61,612.0,0.1466,2,0.739
102,4,6,23.5,23.0,23.1,0.71,0.06,673.0,0.0591,2,0.716
103,4,7,23.6,23.7,22.7,0.94,0.51,452.0,0.15,3,0.695
104,4,8,23.9,23.9,24.3,0.18,0.65,371.0,0.1314,3,0.711
105,4,9,24.0,24.0,23.6,0.87,0.26,392.0,0.0871,2,0.809
106,4,10,24.1,24.0,23.9,0.67,0.45,569.0,0.0595,3,0.74
107,4,11,24.0,24.4,23.9,0.36,0.39,386.0,0.1113,2,0.749
108,4,12,24.0,24.3,23.8,0.17,0.78,572.0,0.1122,1,0.657
109,4,13,24.5,24.2,24.7,0.32,0.78,646.0,0.0523,2,0.817
110,4,14,23.8,23.5,23.4,0.96,0.88,441.0,0.0912,2,0.703
111,4,15,24.2,23.9,24.3,0.06,0.06,465.0,0.1243,2,0.942
112,4,16,24.1,23.6,24.3,0.35,0.0,531.0,0.062,2,0.977
113,4,17,23.7,23.8,23.2,0.63,0.06,564.0,0.1,2,0.814
114,4,18,24.2,24.8,24.1,0.08,0.74,386.0,0.0897,3,0.697
115,4,19,24.5,24.3,24.2,0.58,0.67,699.0,0.1356,2,0.652
116,4,20,24.4,24.9,24.2,0.15,0.69,375.0,0.1002,2,0.652
117,4,21,24.5,24.3,24.8,0.73,0.25,433.0,0.0567,1,0.701
118,4,22,24.8,24.7,25.1,0.32,0.15,735.0,0.1017,2,0.84
119,4,23,24.4,24.8,25.0,0.66,0.22,586.0,0.1082,2,0.811
120,5,0,24.3,24.5,24.6,0.46,0.65,380.0,0.0545,3,0.743
121,5,1,23.9,24.9,23.8,0.15,0.99,564.0,0.0774,2,0.924
122,5,2,23.8,23.9,23.4,0.1,0.83,698.0,0.1372,2,0.758
123,5,3,23.9,23.1,23.7,0.64,0.49,376.0,0.0764,2,0.663
124,5,4,23.8,23.6,23.9,0.92,0.74,563.0,0.1143,2,0.723
125,5,5,23.7,23.6,24.1,0.01,0.67,525.0,0.0731,3,0.807
126,5,6,23.7,23.4,23.3,0.41,0.75,554.0,0.0685,2,0.66
127,5,7,23.7,23.4,23.3,0.28,0.26,352.0,0.0663,2,0.687
128,5,8,23.5,23.4,24.1,0.01,0.96,337.0,0.1416,2,0.855
129,5,9,23.3,22.7,24.1,0.99,0.73,643.0,0.085,3,0.784
130,5,10,23.0,23.0,23.6,0.78,0.77,357.0,0.1024,2,0.767
131,5,11,23.1,23.2,23.4,0.45,0.45,548.0,0.1126,2,0.926
132,5,12,23.0,23.1,24.1,0.78,0.42,711.0,0.1073,2,0.686
133,5,13,22.9,22.8,22.2,0.51,0.6,406.0,0.1387,2,0.915
134,5,14,22.5,22.5,23.0,0.39,0.39,540.0,0.0802,2,0.741
135,5,15,22.0,22.4,22.4,0.45,0.69,574.0,0.0716,0,0.789
136,5,16,21.9,21.6,21.5,0.9,0.73,614.0,0.0691,2,0.965
137,5,17,21.9,21.9,21.2,0.52,0.82,653.0,0.0923,2,0.8
138,5,18,21.7,21.3,22.4,0.2,0.44,571.0,0.1163,2,0.75
139,5,19,21.4,21.8,20.4,0.38,0.05,583.0,0.0637,2,0.842
140,5,20,21.6,22.2,21.4,0.16,0.36,397.0,0.1026,2,0.859
141,5,21,21.8,22.1,21.2,0.9,0.7,727.0,0.1307,2,0.689
142,5,22,21.5,21.6,21.8,0.61,0.95,582.0,0.0657,4,0.656
143,5,23,21.3,20.9,21.1,0.9,0.28,701.0,0.077,2,0.978
144,6,0,21.3,21.4,20.9,0.04,0.93,495.0,0.0761,1,0.887
145,6,1,21.4,20.5,21.0,0.01,0.86,517.0,0.0981,3,0.887
146,6,2,21.7,21.9,21.5,0.24,0.42,342.0,0.0903,2,0.764
147,6,3,22.1,21.5,22.6,0.69,0.02,341.0,0.0696,3,0.666
148,6,4,21.7,22.2,21.4,0.89,0.94,360.0,0.083,3,0.791
149,6,5,21.9,21.8,22.0,0.17,0.2,735.0,0.0917,2,0.755
150,6,6,22.2,21.7,22.2,0.27,0.08,642.0,0.129,2,0.975
151,6,7,22.7,22.2,22.8,0.16,0.39,729.0,0.0578,3,0.96
152,6,8,23.1,22.9,22.5,0.76,0.9,506.0,0.0711,2,0.725
153,6,9,22.6,22.7,22.6,0.9,0.7,564.0,0.1074,2,0.683
154,6,10,22.6,22.8,23.1,0.96,0.73,349.0,0.0559,2,0.861
155,6,11,22.5,22.0,22.1,0.61,0.85,335.0,0.1211,2,0.959
156,6,12,22.2,22.0,22.3,0.57,0.06,627.0,0.091,2,0.701
157,6,13,22.0,22.4,22.3,0.53,0.15,389.0,0.0781,2,0.784
158,6,14,21.9,21.9,22.3,0.82,0.5,323.0,0.1423,2,0.908
159,6,15,22.5,21.8,22.3,0.23,0.62,584.0,0.119,2,0.717
160,6,16,21.9,21.5,21.5,0.48,0.94,580.0,0.1355,3,0.937
161,6,17,21.7,21.9,22.5,0.85,0.07,652.0,0.1066,3,0.954
162,6,18,21.7,21.3,21.1,1.0,0.67,468.0,0.0782,2,0.669
163,6,19,21.9,21.9,22.0,0.62,0.16,744.0,0.1354,0,0.869
164,6,20,21.9,21.7,21.7,0.94,0.28,349.0,0.1325,2,0.673
165,6,21,21.8,21.6,21.8,0.7,0.26,539.0,0.1071,4,0.743
166,6,22,21.8,21.6,21.5,0.34,0.54,606.0,0.0808,2,0.665
167,6,23,21.5,21.4,21.9,0.12,0.14,610.0,0.0957,3,0.953
