timestamp_s,T_drybulb_C,RH_pct,CO2_ppm,illuminance_lux,occupancy,window_open,blind_angle_east,blind_angle_west,hvac_valve_pos,air_velocity_ms,globe_T_C,mean_rad_T_C,operative_T_C,comfort_class_int,comfort_class_str
17,18.05,41.9,400.0,20,0,1,0.2,0.44,0.5,0.054,17.2,17.53,18.3,1,Cool
18,23.01,69.5,400.0,20,0,0,0.39,1.0,0.05,0.392,22.89,22.3,23.09,3,Warm
19,23.34,58.5,400.0,20,0,0,0.35,0.61,0.13,0.414,23.33,23.67,22.89,2,Neutral
20,26.76,47.1,701.0,112.0,1,0,0.59,0.98,0.02,0.366,26.3,26.51,26.96,1,Cool
21,18.61,33.0,400.0,20,0,0,0.32,0.09,0.88,0.375,18.36,18.73,18.81,1,Cool
22,25.37,62.5,603.0,418.0,1,1,0.54,0.97,0.26,0.073,25.89,24.18,25.18,2,Neutral
23,23.82,45.3,708.0,440.0,1,0,0.46,0.05,0.33,0.352,23.93,24.5,24.49,2,Neutral
24,18.79,62.5,400.0,20,0,0,0.24,0.94,0.87,0.357,18.47,18.79,18.5,0,Cold
25,23.82,63.8,607.0,141.0,1,1,0.15,0.21,0.38,0.098,23.6,25.51,23.56,3,Warm
26,26.55,34.2,400.0,20,0,0,0.65,0.69,0.64,0.222,27.18,26.52,26.25,2,Neutral
27,24.62,39.0,400.0,20,0,0,0.08,0.94,0.17,0.189,25.58,25.08,24.72,2,Neutral
28,24.46,66.6,760.0,187.0,1,1,0.43,0.01,0.0,0.42,24.24,25.33,24.34,3,Warm
29,20.95,48.3,746.0,648.0,1,1,0.98,0.93,0.62,0.262,21.14,21.68,20.97,1,Cool
30,26.73,33.5,414.0,654.0,1,1,0.1,0.74,0.28,0.435,26.66,26.82,26.88,2,Neutral
31,27.03,63.9,400.0,20,0,1,0.49,0.83,0.95,0.262,26.39,28.96,27.23,3,Warm
32,23.6,51.1,513.0,302.0,1,1,0.76,0.53,0.25,0.08,24.31,24.76,23.31,2,Neutral
33,19.59,49.2,400.0,20,0,0,0.82,0.37,0.64,0.106,19.79,19.98,19.21,1,Cool
34,24.91,61.3,400.0,20,0,0,0.27,0.33,0.32,0.112,24.67,23.77,24.85,3,Warm
35,25.34,42.1,400.0,20,0,0,0.19,0.78,0.22,0.175,26.31,26.2,25.27,2,Neutral
36,26.64,52.3,527.0,595.0,1,0,0.86,0.3,0.52,0.348,25.4,26.99,26.89,2,Neutral
37,21.41,37.0,445.0,601.0,1,1,0.59,0.23,0.58,0.396,22.19,21.07,21.27,2,Neutral
38,22.91,45.8,400.0,20,0,0,0.07,0.31,0.12,0.394,23.31,22.2,23.2,1,Cool
39,20.98,42.2,400.0,20,0,0,0.88,0.73,0.77,0.102,21.14,21.21,20.9,2,Neutral
40,21.0,35.2,757.0,626.0,1,0,0.73,0.69,0.44,0.159,21.16,20.7,21.21,2,Neutral
41,18.25,43.4,400.0,20,0,1,0.83,0.24,0.78,0.272,18.41,19.55,18.75,2,Neutral
42,18.48,58.2,400.0,20,0,0,0.47,0.88,0.31,0.227,18.53,18.1,18.92,3,Warm
43,23.72,59.0,482.0,182.0,1,0,0.44,0.39,0.95,0.094,22.99,23.98,23.39,1,Cool
44,20.43,70.0,400.0,20,0,0,0.73,0.67,0.08,0.18,20.61,19.76,20.53,2,Neutral
45,27.9,33.5,793.0,175.0,1,1,0.77,0.03,0.56,0.435,27.0,28.67,27.88,3,Warm
46,20.13,58.1,400.0,20,0,1,0.7,0.12,0.64,0.405,19.49,19.43,20.4,2,Neutral
47,18.74,65.1,722.0,585.0,1,1,0.27,0.12,0.63,0.377,18.78,20.49,18.67,1,Cool
48,23.62,58.7,650.0,532.0,1,0,0.22,0.92,0.42,0.072,23.82,23.4,23.9,2,Neutral
49,23.36,30.1,400.0,20,0,1,0.27,0.15,0.45,0.171,23.43,23.89,22.95,1,Cool
50,27.46,68.4,733.0,385.0,1,1,0.81,0.39,0.57,0.445,27.22,26.74,26.74,1,Cool
51,27.29,47.5,427.0,527.0,1,0,0.91,0.75,0.63,0.067,27.22,26.92,26.79,2,Neutral
52,25.77,35.6,764.0,190.0,1,0,0.66,0.27,0.47,0.313,25.67,26.03,25.46,2,Neutral
53,19.92,34.1,779.0,683.0,1,1,0.04,0.56,0.21,0.129,19.73,18.99,20.21,2,Neutral
54,24.86,34.1,400.0,20,0,1,0.22,0.14,0.81,0.118,24.57,24.8,24.77,3,Warm
55,24.92,60.8,639.0,379.0,1,0,0.9,0.42,0.01,0.251,24.79,26.38,25.48,2,Neutral
56,27.35,47.1,454.0,327.0,1,1,0.7,0.59,0.51,0.194,26.65,27.93,28.28,4,Hot
57,28.0,53.2,400.0,20,0,0,0.59,0.93,0.04,0.36,27.91,26.99,28.56,2,Neutral
58,25.47,52.6,792.0,546.0,1,1,0.72,0.95,0.75,0.224,24.95,25.7,24.71,2,Neutral
59,24.89,69.1,578.0,570.0,1,0,0.78,0.15,0.34,0.378,24.0,25.48,24.94,2,Neutral
60,24.28,42.7,631.0,228.0,1,0,0.21,0.52,0.1,0.34,23.68,23.68,24.15,3,Warm
61,19.85,50.1,400.0,20,0,1,0.05,0.84,0.76,0.239,20.62,19.5,19.91,2,Neutral
62,25.09,38.5,530.0,123.0,1,1,0.05,0.12,0.23,0.292,25.84,24.43,24.91,2,Neutral
63,20.52,47.7,400.0,20,0,0,0.47,0.81,0.01,0.226,20.46,20.66,20.69,2,Neutral
64,27.9,46.0,424.0,102.0,1,0,0.25,0.75,0.84,0.399,28.0,28.23,27.37,2,Neutral
65,19.04,66.0,431.0,455.0,1,1,0.65,0.12,0.39,0.196,18.82,18.12,20.01,2,Neutral
66,19.26,49.9,582.0,304.0,1,0,0.0,1.0,0.53,0.247,19.78,18.45,19.72,3,Warm
67,27.2,51.3,661.0,313.0,1,0,0.9,0.64,0.56,0.075,27.45,25.42,26.58,2,Neutral
68,26.8,55.0,419.0,267.0,1,1,0.49,0.59,0.02,0.056,26.53,24.13,27.04,3,Warm
69,24.5,61.8,400.0,20,0,1,0.02,0.88,0.63,0.063,24.31,25.03,24.97,2,Neutral
70,27.55,40.5,546.0,583.0,1,0,0.32,0.27,0.61,0.355,28.07,26.74,28.11,2,Neutral
71,23.99,62.0,400.0,20,0,1,0.69,0.4,0.01,0.282,23.33,25.5,24.12,2,Neutral
72,18.77,47.1,782.0,654.0,1,0,0.83,0.43,0.73,0.262,18.05,18.77,18.93,4,Hot
73,21.84,41.2,400.0,20,0,1,0.4,0.35,0.03,0.237,22.41,21.76,21.47,2,Neutral
74,22.09,54.1,530.0,493.0,1,0,0.37,0.57,0.4,0.182,22.0,21.88,22.42,2,Neutral
75,18.39,43.4,636.0,639.0,1,0,0.35,0.9,0.08,0.212,18.51,17.6,17.9,2,Neutral
76,25.39,57.0,653.0,442.0,1,1,0.53,0.55,0.71,0.244,24.75,25.87,25.11,2,Neutral
77,23.43,59.5,400.0,20,0,1,0.33,0.32,0.86,0.208,23.48,23.33,23.27,2,Neutral
78,18.61,31.5,673.0,390.0,1,0,0.96,0.05,0.32,0.165,18.77,18.33,19.22,2,Neutral
79,20.9,57.5,400.0,20,0,0,0.8,0.97,0.38,0.232,19.77,19.73,20.88,3,Warm
80,25.31,59.3,738.0,143.0,1,0,0.58,0.61,0.76,0.395,24.51,25.79,25.39,2,Neutral
81,20.41,52.0,551.0,548.0,1,1,0.81,0.71,0.93,0.229,20.58,20.66,19.7,1,Cool
82,21.97,59.0,400.0,20,0,1,0.44,0.63,0.86,0.24,22.09,22.8,22.2,2,Neutral
83,19.94,41.6,757.0,527.0,1,1,0.14,0.2,0.92,0.106,20.36,19.99,20.4,2,Neutral
84,19.69,45.1,400.0,20,0,1,0.17,0.45,0.72,0.326,20.39,19.76,19.75,2,Neutral
85,21.32,69.4,400.0,20,0,1,0.26,0.12,0.09,0.215,21.53,20.32,21.5,1,Cool
86,23.54,48.8,400.0,20,0,1,0.06,0.63,1.0,0.079,24.46,23.97,23.86,2,Neutral
87,20.33,36.2,400.0,20,0,1,0.69,0.81,0.36,0.267,19.75,20.6,20.48,3,Warm
88,23.25,54.7,454.0,284.0,1,0,0.22,0.86,0.54,0.082,22.8,21.67,23.17,2,Neutral
89,20.23,39.1,583.0,472.0,1,0,0.84,0.9,0.27,0.336,19.6,20.11,20.08,2,Neutral
90,20.31,65.2,400.0,20,0,1,0.85,0.58,0.12,0.081,20.58,20.23,20.18,1,Cool
91,27.89,54.9,463.0,478.0,1,0,0.61,0.11,0.93,0.069,26.04,27.66,27.79,2,Neutral
92,26.18,54.7,474.0,678.0,1,0,0.04,0.19,0.64,0.353,25.03,27.35,25.82,4,Hot
93,27.07,47.0,438.0,633.0,1,1,0.05,0.82,0.17,0.374,26.27,26.59,27.37,2,Neutral
94,27.95,50.5,400.0,20,0,1,0.14,0.82,0.79,0.063,28.61,28.57,28.65,2,Neutral
95,18.15,59.5,400.0,20,0,0,0.67,0.63,0.71,0.191,16.6,18.2,17.7,2,Neutral
96,20.11,41.0,684.0,381.0,1,0,0.38,0.7,0.56,0.165,20.55,20.16,20.05,3,Warm
97,26.77,32.6,400.0,20,0,0,0.96,0.68,0.13,0.156,26.27,26.66,27.02,2,Neutral
98,26.0,38.6,564.0,583.0,1,0,0.89,0.15,0.28,0.445,26.55,27.52,26.22,2,Neutral
99,24.66,58.4,400.0,20,0,1,0.28,0.25,0.4,0.168,23.2,25.73,24.17,2,Neutral
100,24.45,50.8,400.0,20,0,0,0.59,0.48,0.21,0.424,23.9,24.01,24.41,3,Warm
101,24.89,41.8,400.0,20,0,1,0.49,0.24,0.91,0.171,25.97,24.99,25.3,2,Neutral
102,21.35,53.0,400.0,20,0,1,0.05,0.58,0.73,0.083,22.94,21.97,21.51,2,Neutral
103,24.11,59.8,733.0,453.0,1,1,0.29,0.86,0.25,0.373,24.14,23.96,24.32,2,Neutral
104,27.29,42.4,646.0,309.0,1,1,0.87,0.09,0.06,0.388,27.18,26.12,27.53,2,Neutral
105,18.66,58.8,680.0,475.0,1,0,0.76,0.21,0.71,0.32,19.49,20.09,18.99,2,Neutral
106,21.74,39.4,400.0,20,0,1,0.54,0.78,0.76,0.338,20.67,21.18,22.03,2,Neutral
107,18.36,41.7,400.0,20,0,1,0.0,0.75,0.57,0.394,18.11,17.68,18.17,3,Warm
108,22.64,48.0,400.0,20,0,1,0.79,0.25,0.53,0.382,22.86,22.75,22.56,1,Cool
109,23.38,65.6,400.0,20,0,0,0.49,0.49,0.83,0.215,23.94,23.65,22.98,2,Neutral
110,18.96,64.8,506.0,303.0,1,1,0.03,0.55,0.65,0.202,18.79,18.17,19.14,3,Warm
111,19.37,32.6,596.0,498.0,1,0,0.45,0.21,0.82,0.057,19.25,18.19,18.82,2,Neutral
112,25.37,59.1,400.0,20,0,0,0.55,0.42,0.77,0.244,24.78,26.39,25.41,4,Hot
113,19.99,58.5,755.0,275.0,1,0,0.1,0.06,0.89,0.13,21.02,19.76,20.41,2,Neutral
114,23.13,37.2,400.0,20,0,1,0.22,0.23,0.76,0.174,22.56,24.1,23.51,2,Neutral
115,20.01,56.5,400.0,20,0,0,0.68,0.15,0.24,0.411,19.17,20.69,19.53,2,Neutral
116,19.25,64.3,400.0,20,0,0,0.34,0.94,0.55,0.298,19.44,18.92,19.0,2,Neutral
117,21.45,48.6,546.0,605.0,1,1,0.38,0.25,0.65,0.395,20.45,21.93,21.7,1,Cool
118,27.69,41.7,400.0,20,0,0,0.34,0.24,0.83,0.101,27.46,27.39,27.92,3,Warm
119,18.57,49.2,400.0,20,0,0,0.36,0.85,0.47,0.078,18.73,18.47,18.44,2,Neutral
120,20.58,33.5,400.0,20,0,0,0.42,0.59,0.73,0.302,21.41,20.48,20.53,0,Cold
121,19.06,58.8,400.0,20,0,1,0.0,0.99,0.3,0.081,18.3,19.48,18.84,3,Warm
122,26.53,56.8,552.0,587.0,1,1,0.46,0.72,0.28,0.123,26.71,27.47,26.54,2,Neutral
123,26.33,41.4,400.0,20,0,0,0.25,0.02,0.2,0.349,26.15,26.12,26.05,2,Neutral
124,19.23,43.2,400.0,20,0,0,0.4,0.17,0.68,0.266,18.61,17.95,19.72,4,Hot
125,24.54,66.0,400.0,20,0,1,0.07,0.02,0.58,0.107,24.76,25.06,24.96,3,Warm
126,22.5,48.6,642.0,112.0,1,1,0.55,0.16,0.46,0.339,20.86,23.24,22.48,3,Warm
127,23.96,43.5,711.0,424.0,1,0,0.01,0.46,0.09,0.259,23.25,22.67,24.35,3,Warm
128,27.19,49.3,537.0,625.0,1,1,0.76,0.05,0.76,0.121,27.21,27.29,26.95,2,Neutral
129,21.23,32.2,675.0,453.0,1,0,0.25,0.29,0.98,0.278,21.17,22.06,21.06,2,Neutral
130,19.73,32.9,400.0,20,0,0,0.65,0.47,0.36,0.135,20.05,20.33,19.81,2,Neutral
131,19.82,50.0,443.0,120.0,1,1,0.12,0.31,0.37,0.26,20.38,21.08,19.56,2,Neutral
132,19.88,48.9,656.0,277.0,1,1,0.45,0.38,0.55,0.354,19.38,19.73,19.83,3,Warm
133,24.64,46.3,722.0,127.0,1,1,0.14,0.96,0.25,0.187,24.02,25.53,24.59,2,Neutral
134,21.32,63.9,400.0,20,0,0,0.19,0.49,0.18,0.169,21.33,20.69,21.01,2,Neutral
135,26.55,47.3,540.0,354.0,1,1,0.64,0.56,0.71,0.241,26.31,25.71,26.38,2,Neutral
136,18.51,41.2,400.0,20,0,0,0.89,0.94,1.0,0.333,18.48,18.51,18.61,2,Neutral
137,26.44,48.8,550.0,319.0,1,0,0.39,0.06,0.2,0.378,26.54,27.55,26.44,1,Cool
138,23.55,35.3,654.0,388.0,1,1,0.04,0.72,0.39,0.418,23.21,22.88,23.23,3,Warm
139,20.61,46.8,400.0,20,0,1,0.35,0.68,0.4,0.406,19.47,21.99,20.58,3,Warm
140,21.71,53.0,526.0,232.0,1,0,0.02,0.84,0.37,0.107,21.66,22.59,22.02,2,Neutral
141,24.79,53.5,400.0,20,0,0,0.23,0.92,0.38,0.322,25.37,25.33,25.25,2,Neutral
142,24.83,55.5,400.0,20,0,1,0.98,0.2,0.89,0.4,25.11,25.3,25.19,3,Warm
143,19.38,59.5,400.0,20,0,1,0.03,0.7,0.33,0.117,18.32,19.46,19.39,2,Neutral
144,27.36,57.4,436.0,588.0,1,1,0.88,0.0,0.7,0.191,26.28,26.91,27.37,2,Neutral
145,25.36,57.4,400.0,20,0,1,0.14,0.15,0.89,0.288,25.84,24.43,25.12,1,Cool
146,20.57,31.1,753.0,522.0,1,1,0.22,0.21,0.0,0.327,20.02,19.45,20.83,2,Neutral
147,24.2,33.6,566.0,138.0,1,0,0.42,0.32,0.8,0.114,24.42,24.44,24.32,1,Cool
148,24.14,53.1,531.0,676.0,1,0,0.97,0.04,0.3,0.274,25.37,23.87,24.19,2,Neutral
149,24.52,33.7,400.0,20,0,1,0.25,0.26,0.95,0.372,23.98,24.12,24.44,2,Neutral
150,24.3,44.5,644.0,217.0,1,1,0.38,0.84,0.38,0.318,24.0,23.23,24.36,2,Neutral
151,27.33,60.8,565.0,267.0,1,1,0.71,0.84,0.72,0.251,27.81,28.06,27.21,2,Neutral
152,22.58,39.2,711.0,384.0,1,0,0.57,0.52,0.52,0.131,21.62,23.08,22.23,2,Neutral
153,22.4,53.1,400.0,20,0,1,0.21,0.4,0.11,0.158,22.04,23.18,22.73,2,Neutral
154,26.63,33.3,775.0,534.0,1,1,0.81,0.01,0.21,0.405,26.3,26.69,27.32,1,Cool
155,23.88,62.4,400.0,20,0,1,0.73,0.17,0.92,0.071,23.9,24.33,23.53,3,Warm
156,19.64,37.9,461.0,611.0,1,1,0.97,0.55,0.59,0.293,19.7,19.15,19.89,2,Neutral
157,24.4,38.5,400.0,20,0,0,0.77,0.58,0.41,0.425,23.76,24.01,24.28,2,Neutral
158,23.88,68.6,400.0,20,0,0,0.17,0.94,0.02,0.051,23.82,24.15,24.24,2,Neutral
159,25.88,49.7,400.0,20,0,1,0.61,0.0,0.65,0.207,25.52,26.46,26.17,2,Neutral
160,24.47,65.2,400.0,20,0,0,0.24,0.07,0.28,0.445,25.19,24.11,24.23,1,Cool
161,22.86,40.9,694.0,138.0,1,1,0.98,0.19,0.86,0.255,23.7,24.62,22.32,2,Neutral
162,23.76,45.3,632.0,573.0,1,0,0.32,0.15,0.28,0.19,24.31,22.35,23.84,3,Warm
163,27.69,33.2,435.0,681.0,1,0,0.49,0.15,0.67,0.438,27.77,27.81,27.49,1,Cool
164,19.34,63.6,400.0,20,0,1,0.52,0.93,0.75,0.424,19.63,21.19,19.36,2,Neutral
165,18.1,56.3,462.0,103.0,1,0,0.51,0.02,0.29,0.366,17.81,17.0,17.4,1,Cool
166,21.2,59.8,489.0,583.0,1,1,0.64,0.55,0.76,0.218,20.71,21.3,21.27,2,Neutral
167,27.12,64.9,694.0,154.0,1,1,0.85,0.57,0.33,0.359,27.2,26.99,26.66,1,Cool
168,19.4,49.3,400.0,20,0,1,0.81,0.18,0.22,0.154,19.27,18.01,18.95,1,Cool
169,26.2,58.0,606.0,388.0,1,0,0.48,0.8,0.61,0.399,24.8,25.49,25.92,0,Cold
170,24.21,47.6,748.0,352.0,1,1,0.24,0.96,0.02,0.364,24.27,23.24,23.81,2,Neutral
171,26.37,35.5,400.0,20,0,1,0.82,0.94,0.14,0.292,25.14,26.72,26.43,4,Hot
172,23.76,51.9,610.0,620.0,1,0,0.57,0.73,0.41,0.41,24.97,25.11,23.57,2,Neutral
173,18.3,59.9,400.0,20,0,0,0.43,1.0,0.11,0.29,18.64,16.59,18.23,4,Hot
174,21.32,42.1,448.0,166.0,1,0,0.51,0.4,0.72,0.422,22.46,22.43,21.17,1,Cool
175,19.92,40.0,509.0,685.0,1,0,0.98,0.65,0.81,0.234,20.0,20.81,19.28,2,Neutral
176,27.02,61.6,400.0,20,0,0,0.15,0.64,0.12,0.06,26.68,27.68,26.65,2,Neutral
177,24.78,41.9,400.0,20,0,1,0.17,0.99,0.78,0.385,24.76,25.18,24.17,2,Neutral
178,24.77,42.0,587.0,101.0,1,1,0.08,0.75,0.4,0.376,24.53,25.23,24.61,4,Hot
179,27.15,31.2,558.0,542.0,1,1,0.54,0.96,0.39,0.142,27.57,26.33,27.23,2,Neutral
180,27.72,63.1,400.0,20,0,0,0.31,0.24,0.7,0.224,26.76,28.6,27.9,1,Cool
181,18.05,60.9,400.0,20,0,1,0.94,0.28,0.8,0.216,18.72,18.8,17.94,1,Cool
182,24.12,53.5,400.0,20,0,0,0.82,0.36,0.81,0.112,25.1,25.91,23.91,2,Neutral
183,26.12,68.0,723.0,167.0,1,0,0.63,0.43,0.69,0.294,27.03,26.36,26.09,1,Cool
184,18.97,56.1,400.0,20,0,0,0.28,0.14,0.27,0.238,18.02,18.33,19.04,2,Neutral
185,27.04,54.3,733.0,616.0,1,1,0.53,0.16,0.74,0.157,26.83,26.47,26.87,2,Neutral
186,22.23,47.7,400.0,20,0,1,0.46,0.34,0.61,0.349,21.67,21.1,22.14,2,Neutral
187,19.79,38.4,400.0,20,0,1,0.19,0.69,0.76,0.31,20.21,21.04,19.75,2,Neutral
188,23.61,44.0,580.0,634.0,1,1,0.07,0.12,0.97,0.38,23.35,23.91,23.61,3,Warm
189,27.56,65.4,495.0,590.0,1,1,0.85,0.32,0.0,0.282,27.46,28.83,27.64,2,Neutral
190,26.94,67.5,552.0,322.0,1,0,0.01,0.42,0.93,0.126,27.12,26.95,27.16,2,Neutral
191,22.72,33.4,412.0,579.0,1,0,0.06,0.93,0.25,0.428,22.44,22.08,22.6,2,Neutral
192,23.83,61.9,575.0,347.0,1,0,0.08,0.75,0.26,0.426,23.12,23.99,23.76,2,Neutral
193,21.66,45.9,400.0,20,0,1,0.82,0.41,0.26,0.407,22.02,22.63,21.48,2,Neutral
194,23.04,32.0,400.0,20,0,0,0.93,0.7,0.75,0.337,23.98,21.21,23.22,3,Warm
195,27.1,65.5,400.0,20,0,0,0.15,0.15,0.51,0.118,28.0,26.89,27.02,2,Neutral
196,22.55,60.8,400.0,20,0,0,0.38,0.87,0.89,0.446,23.16,23.42,22.22,3,Warm
197,23.33,36.0,400.0,20,0,0,0.17,0.66,0.55,0.406,23.28,22.58,23.67,2,Neutral
198,24.72,38.6,400.0,20,0,1,0.09,0.01,0.57,0.203,24.57,24.57,24.42,4,Hot
199,18.31,47.0,400.0,20,0,1,0.16,0.55,0.7,0.281,18.3,18.75,17.9,3,Warm
200,27.83,67.4,400.0,20,0,0,0.55,0.65,0.07,0.302,27.77,28.19,27.76,2,Neutral
201,19.87,48.1,400.0,20,0,0,0.45,0.23,0.52,0.443,20.5,20.41,20.0,2,Neutral
202,21.81,68.6,612.0,160.0,1,1,0.48,0.57,0.83,0.153,21.33,22.73,21.74,2,Neutral
203,27.27,49.7,544.0,106.0,1,1,0.95,0.2,0.42,0.163,27.49,25.94,27.25,2,Neutral
204,20.63,42.0,400.0,20,0,1,0.58,0.41,0.44,0.274,19.61,19.33,20.3,2,Neutral
205,19.28,33.2,400.0,20,0,1,0.78,0.81,0.97,0.367,19.24,19.58,19.51,2,Neutral
206,20.54,44.4,400.0,20,0,0,0.96,0.95,0.73,0.108,20.08,21.33,20.77,2,Neutral
207,21.47,42.0,400.0,20,0,0,0.31,0.92,0.08,0.247,20.99,20.08,20.94,1,Cool
208,22.38,36.1,633.0,464.0,1,1,0.79,0.0,0.65,0.441,21.77,22.34,21.86,1,Cool
209,20.44,65.6,400.0,20,0,1,0.87,0.88,0.62,0.346,20.08,19.94,20.61,2,Neutral
210,23.0,56.1,400.0,20,0,1,0.92,0.15,0.82,0.239,23.86,22.92,23.4,2,Neutral
211,19.0,55.4,421.0,384.0,1,0,0.47,0.73,0.01,0.401,19.53,18.94,18.58,1,Cool
212,24.91,31.0,400.0,20,0,1,0.81,0.66,0.71,0.367,25.03,25.18,24.95,3,Warm
213,18.7,49.4,738.0,362.0,1,0,0.77,0.63,0.3,0.207,19.35,18.71,18.8,2,Neutral
214,18.6,58.9,400.0,20,0,1,0.24,0.09,0.56,0.406,20.41,17.7,18.59,4,Hot
215,22.34,60.4,400.0,20,0,1,0.83,0.34,0.0,0.186,22.54,23.6,22.72,2,Neutral
216,19.63,65.6,400.0,20,0,1,0.56,0.46,0.9,0.14,19.04,18.99,19.4,2,Neutral
217,24.64,32.8,400.0,20,0,0,0.44,0.32,0.49,0.111,24.14,24.75,23.92,3,Warm
218,25.67,54.0,533.0,562.0,1,0,0.1,0.3,0.96,0.092,26.76,26.02,25.55,2,Neutral
219,24.08,66.5,415.0,407.0,1,0,0.42,0.02,0.5,0.413,24.55,22.87,23.84,2,Neutral
220,26.18,31.0,400.0,20,0,0,0.17,0.79,0.19,0.222,26.22,25.8,26.12,3,Warm
221,21.72,59.6,686.0,537.0,1,0,0.75,0.26,0.76,0.249,21.97,21.59,21.22,2,Neutral
222,20.28,32.4,400.0,20,0,1,0.25,0.81,0.56,0.166,20.46,22.06,19.81,2,Neutral
223,24.24,41.6,400.0,20,0,1,0.74,0.02,0.0,0.14,24.46,24.04,24.15,3,Warm
224,26.3,44.6,400.0,20,0,1,0.95,0.62,0.6,0.44,26.1,26.76,26.55,2,Neutral
225,20.62,68.4,697.0,542.0,1,0,0.4,0.33,0.75,0.23,19.96,19.98,20.23,1,Cool
226,26.51,30.8,400.0,20,0,0,0.28,0.46,0.78,0.193,26.1,26.07,26.82,2,Neutral
227,23.13,30.8,729.0,391.0,1,0,0.41,0.82,0.9,0.228,22.1,23.64,23.54,2,Neutral
228,22.76,61.9,469.0,538.0,1,0,0.42,0.24,0.98,0.318,23.32,24.49,22.23,2,Neutral
229,27.34,51.5,400.0,20,0,0,0.87,0.07,0.84,0.298,27.49,25.99,27.28,4,Hot
230,25.37,37.8,512.0,223.0,1,0,0.59,0.06,0.31,0.16,25.3,26.92,25.79,2,Neutral
231,18.09,52.0,400.0,20,0,1,0.97,1.0,0.71,0.051,18.77,18.33,18.3,2,Neutral
232,27.62,47.3,400.0,20,0,0,0.14,0.68,0.5,0.432,27.7,28.72,27.72,1,Cool
233,24.43,62.0,400.0,20,0,0,0.31,0.66,0.98,0.149,24.27,25.36,24.07,2,Neutral
234,21.05,61.6,400.0,20,0,1,0.62,0.13,0.91,0.403,21.03,22.51,20.71,2,Neutral
235,18.32,33.9,454.0,230.0,1,0,0.93,0.1,0.13,0.14,18.66,17.71,18.15,2,Neutral
236,19.1,46.4,777.0,186.0,1,0,0.78,0.51,0.08,0.347,19.6,17.07,19.17,2,Neutral
237,23.24,45.5,526.0,137.0,1,0,0.01,0.79,0.4,0.134,22.54,23.85,23.13,2,Neutral
238,24.83,54.8,400.0,20,0,1,0.6,0.65,0.31,0.299,24.49,24.1,25.45,3,Warm
239,26.01,45.9,400.0,20,0,1,0.48,0.81,0.17,0.328,26.46,25.28,25.6,1,Cool
240,26.23,62.2,400.0,20,0,0,0.72,0.84,0.38,0.143,26.86,25.17,26.5,2,Neutral
241,22.91,30.9,489.0,293.0,1,0,0.9,0.4,0.24,0.324,22.46,22.31,22.45,2,Neutral
242,23.11,62.1,400.0,20,0,0,0.79,0.97,0.39,0.405,22.43,23.26,23.25,2,Neutral
243,25.9,42.8,400.0,20,0,0,0.12,0.38,0.77,0.239,25.68,26.15,25.34,2,Neutral
244,18.4,38.1,400.0,20,0,0,0.82,0.37,0.01,0.319,17.23,19.9,18.9,2,Neutral
245,21.75,30.9,400.0,20,0,1,0.73,0.98,0.23,0.312,22.11,22.46,21.32,3,Warm
246,21.39,68.0,400.0,20,0,0,0.96,0.37,0.74,0.182,22.46,21.1,21.59,1,Cool
