hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
33,1,9,20.8,20.7,21.2,0.02,0.01,344.0,0.0582,2,0.829
34,1,10,20.4,20.0,19.8,0.98,0.29,674.0,0.1349,2,0.698
35,1,11,20.6,20.1,20.7,0.34,0.95,444.0,0.1445,2,0.726
36,1,12,20.9,21.1,21.1,0.93,0.79,496.0,0.1113,3,0.672
37,1,13,20.2,20.0,20.4,0.3,0.75,409.0,0.0945,2,0.784
38,1,14,20.2,19.8,21.1,0.05,0.75,710.0,0.073,2,0.891
39,1,15,19.6,19.7,19.8,0.67,0.64,664.0,0.0902,3,0.742
40,1,16,19.8,18.9,19.8,0.98,0.58,685.0,0.1231,2,0.771
41,1,17,19.7,19.3,19.1,0.95,0.98,579.0,0.1328,2,0.744
42,1,18,19.7,19.7,19.9,0.49,0.98,624.0,0.1041,3,0.863
43,1,19,19.8,20.2,20.3,0.68,0.36,531.0,0.121,2,0.662
44,1,20,20.1,20.4,19.8,0.77,0.04,402.0,0.1109,0,0.671
45,1,21,19.2,18.5,18.7,0.93,0.53,416.0,0.0985,3,0.75
46,1,22,18.9,18.6,18.7,0.81,0.81,546.0,0.145,2,0.702
47,1,23,18.7,18.5,18.6,0.97,0.78,350.0,0.1051,3,0.725
48,2,0,18.8,19.0,19.5,0.33,0.19,536.0,0.0609,2,0.657
49,2,1,19.0,19.5,19.0,0.36,0.14,422.0,0.0638,1,0.813
50,2,2,19.6,20.1,20.1,0.04,0.45,395.0,0.1114,0,0.782
51,2,3,20.1,20.5,20.7,0.64,0.8,679.0,0.0636,2,0.802
52,2,4,19.6,19.4,19.8,0.09,0.03,567.0,0.1256,2,0.978
53,2,5,19.7,20.0,19.4,0.7,0.3,369.0,0.0751,2,0.721
54,2,6,19.8,19.7,19.7,0.34,0.84,521.0,0.1358,0,0.978
55,2,7,19.8,19.6,19.8,0.94,0.05,361.0,0.0792,2,0.782
56,2,8,19.2,19.8,19.9,0.09,0.9,338.0,0.1215,3,0.903
57,2,9,18.6,18.9,18.3,0.36,0.23,403.0,0.0821,1,0.751
58,2,10,19.6,19.3,19.3,0.98,0.42,472.0,0.0846,3,0.813
59,2,11,19.6,20.0,20.0,0.05,0.27,564.0,0.0837,2,0.723
60,2,12,19.9,19.7,19.8,0.52,0.74,313.0,0.0523,1,0.739
61,2,13,20.1,20.8,19.8,0.13,0.22,343.0,0.0921,2,0.724
62,2,14,19.9,20.2,19.8,0.99,0.74,310.0,0.1042,1,0.849
63,2,15,19.8,19.5,19.5,0.77,0.24,543.0,0.1191,3,0.817
64,2,16,19.6,20.3,19.5,0.15,0.78,336.0,0.1037,0,0.837
65,2,17,19.6,19.5,19.6,0.52,0.78,568.0,0.1106,2,0.817
66,2,18,18.8,19.1,18.3,0.94,0.26,588.0,0.1495,0,0.906
67,2,19,18.6,18.6,18.4,0.74,0.65,367.0,0.1025,2,0.822
68,2,20,18.5,18.7,17.7,0.97,0.6,486.0,0.1066,2,0.709
69,2,21,18.8,19.0,18.9,0.06,0.9,656.0,0.0953,2,0.742
70,2,22,19.1,19.1,19.3,0.57,0.52,335.0,0.0782,2,0.91
71,2,23,19.3,19.1,18.8,0.06,0.96,458.0,0.0878,3,0.9
72,3,0,19.6,19.5,19.8,0.57,0.14,568.0,0.1367,2,0.945
73,3,1,19.9,20.4,20.5,0.05,0.33,640.0,0.0524,2,0.886
74,3,2,19.9,20.1,20.2,0.32,0.24,384.0,0.1319,3,0.889
75,3,3,19.8,19.3,20.2,0.19,0.31,424.0,0.0813,2,0.85
76,3,4,20.2,20.1,20.0,1.0,0.64,377.0,0.1446,3,0.675
77,3,5,20.6,20.7,20.4,0.86,0.87,747.0,0.1218,2,0.791
78,3,6,20.2,19.9,20.0,0.23,0.0,364.0,0.1323,1,0.927
79,3,7,20.3,20.6,20.6,0.45,0.02,444.0,0.1435,2,0.684
80,3,8,20.9,20.4,21.0,0.56,0.19,521.0,0.1286,2,0.78
81,3,9,21.0,21.0,21.0,0.59,0.35,732.0,0.0782,3,0.859
82,3,10,20.6,20.7,20.9,0.1,0.85,686.0,0.141,2,0.97
83,3,11,20.7,20.6,20.4,0.91,0.62,525.0,0.1141,2,0.738
84,3,12,21.2,21.0,20.7,0.43,0.56,580.0,0.0501,2,0.714
85,3,13,21.4,20.5,21.2,0.91,0.2,578.0,0.1126,3,0.794
86,3,14,21.9,22.8,21.4,0.91,0.8,602.0,0.1336,2,0.698
87,3,15,22.2,22.3,22.3,0.55,0.9,604.0,0.0827,1,0.658
88,3,16,22.1,21.8,21.5,0.65,0.77,382.0,0.1314,2,0.935
89,3,17,22.3,22.5,22.9,0.77,0.45,700.0,0.0553,2,0.909
90,3,18,22.8,23.3,23.1,0.68,0.67,531.0,0.1439,4,0.89
91,3,19,22.4,23.2,22.0,0.02,0.86,331.0,0.0798,2,0.957
92,3,20,22.8,23.1,22.4,0.32,0.57,314.0,0.1261,3,0.735
93,3,21,22.3,22.9,21.9,0.02,0.5,389.0,0.1498,2,0.695
94,3,22,22.3,22.2,23.1,0.36,0.94,692.0,0.0807,3,0.89
95,3,23,22.2,22.0,22.1,0.74,0.42,401.0,0.141,1,0.966
96,4,0,22.5,22.5,22.4,0.06,0.33,445.0,0.1056,3,0.921
97,4,1,22.5,23.0,21.9,0.52,0.48,612.0,0.056,2,0.747
98,4,2,22.4,21.8,22.3,0.93,0.14,716.0,0.0631,2,0.8
99,4,3,22.3,22.6,22.5,0.84,0.5,634.0,0.1456,2,0.719
100,4,4,21.6,21.9,21.3,0.3,0.36,518.0,0.0873,3,0.815
101,4,5,21.7,21.4,22.2,0.19,0.22,573.0,0.1335,1,0.908
102,4,6,22.1,22.3,22.3,0.95,0.65,658.0,0.0539,4,0.709
103,4,7,22.0,22.1,21.7,0.4,0.47,530.0,0.0986,2,0.78
104,4,8,22.3,22.3,22.1,0.89,0.0,330.0,0.0992,4,0.703
105,4,9,22.3,22.5,21.7,0.16,0.22,598.0,0.1347,3,0.737
106,4,10,22.4,23.3,23.3,0.59,0.73,543.0,0.0609,2,0.874
107,4,11,22.7,22.2,22.5,0.42,0.96,413.0,0.0747,2,0.846
108,4,12,22.9,22.8,22.8,0.82,0.47,736.0,0.0526,2,0.712
109,4,13,23.1,22.5,23.2,0.66,0.35,711.0,0.0906,0,0.84
110,4,14,22.9,22.3,22.2,0.18,0.89,313.0,0.1397,4,0.946
111,4,15,23.2,23.1,24.0,0.8,0.66,480.0,0.0821,3,0.68
112,4,16,23.2,23.2,23.2,0.06,0.39,638.0,0.1165,2,0.955
113,4,17,23.4,23.5,23.7,0.03,0.67,471.0,0.1156,2,0.901
114,4,18,23.0,23.7,22.6,0.15,0.85,329.0,0.1181,2,0.916
115,4,19,22.6,22.9,22.7,0.06,0.29,713.0,0.058,2,0.886
116,4,20,22.6,22.8,22.8,0.93,0.62,661.0,0.0944,2,0.872
117,4,21,22.9,22.8,22.6,0.04,0.13,332.0,0.1165,0,0.703
118,4,22,22.8,22.5,22.5,0.32,0.83,403.0,0.1042,1,0.801
119,4,23,23.0,22.7,23.7,0.33,0.76,668.0,0.0614,3,0.725
120,5,0,22.8,22.9,22.7,0.78,0.32,461.0,0.1442,2,0.683
121,5,1,22.8,23.0,22.8,0.52,0.22,308.0,0.113,0,0.669
122,5,2,22.6,22.7,22.9,0.55,0.87,419.0,0.147,2,0.782
123,5,3,22.4,22.5,21.8,0.81,0.36,495.0,0.1477,2,0.76
124,5,4,22.6,22.7,21.9,0.99,0.5,303.0,0.1174,3,0.865
125,5,5,22.4,23.0,22.5,0.75,0.96,510.0,0.1415,2,0.714
126,5,6,22.3,21.6,22.6,0.87,0.71,545.0,0.1442,4,0.977
127,5,7,22.5,22.0,22.9,0.84,0.99,458.0,0.1041,2,0.972
128,5,8,23.0,22.5,22.9,0.67,0.06,575.0,0.1212,3,0.822
129,5,9,23.2,23.2,23.7,0.52,0.85,517.0,0.1368,3,0.846
130,5,10,22.7,22.7,23.0,0.43,0.99,426.0,0.1415,2,0.872
131,5,11,22.6,22.8,22.6,0.73,0.87,459.0,0.0856,3,0.91
132,5,12,22.8,23.5,22.2,0.09,0.76,619.0,0.0676,3,0.814
133,5,13,22.9,23.0,22.5,0.74,0.53,496.0,0.0881,3,0.683
134,5,14,22.6,23.7,21.9,0.76,0.36,425.0,0.1034,1,0.837
135,5,15,22.8,22.8,23.1,0.44,0.26,423.0,0.1099,3,0.86
136,5,16,22.9,22.8,22.5,0.53,0.6,607.0,0.1401,0,0.851
137,5,17,23.2,23.2,22.6,0.86,0.32,441.0,0.0768,2,0.652
138,5,18,22.8,22.9,22.7,0.69,0.38,695.0,0.069,2,0.889
139,5,19,23.2,23.3,23.6,0.49,0.08,668.0,0.1274,3,0.948
140,5,20,22.7,22.9,22.9,0.13,0.8,440.0,0.113,2,0.934
141,5,21,22.9,23.5,23.4,0.3,0.63,675.0,0.0559,2,0.661
142,5,22,22.9,22.9,22.7,0.31,0.06,701.0,0.1312,2,0.877
143,5,23,22.8,23.1,22.2,0.69,0.16,617.0,0.1429,4,0.749
144,6,0,23.0,22.9,23.3,0.54,0.36,533.0,0.0593,1,0.958
145,6,1,23.1,23.1,22.7,0.32,0.19,452.0,0.1339,4,0.902
146,6,2,23.4,23.9,23.2,0.49,0.49,456.0,0.1459,2,0.917
147,6,3,23.4,23.3,23.5,0.23,0.18,638.0,0.1313,2,0.777
148,6,4,23.9,23.9,23.2,0.94,0.85,639.0,0.0504,2,0.696
149,6,5,24.3,24.9,24.1,0.78,0.36,441.0,0.0548,3,0.976
150,6,6,24.3,24.5,23.6,0.38,0.44,476.0,0.1322,3,0.834
151,6,7,24.2,24.5,24.0,0.44,0.78,692.0,0.109,4,0.716
152,6,8,24.0,23.1,23.8,0.73,0.08,618.0,0.1462,2,0.815
153,6,9,24.1,23.3,24.3,0.69,0.16,324.0,0.1104,2,0.72
154,6,10,23.9,23.8,23.6,0.98,0.66,667.0,0.0842,2,0.712
155,6,11,24.0,23.2,24.2,0.37,0.95,323.0,0.0767,2,0.895
156,6,12,23.9,23.8,24.2,0.5,0.16,521.0,0.0518,2,0.686
157,6,13,23.9,23.6,23.7,0.07,0.48,432.0,0.1023,2,0.675
158,6,14,24.0,24.5,23.7,0.8,0.79,551.0,0.0542,4,0.841
159,6,15,23.8,23.3,23.4,0.03,0.95,538.0,0.0514,2,0.953
160,6,16,24.4,24.6,24.1,0.62,0.1,661.0,0.1386,2,0.865
161,6,17,24.3,24.4,24.6,0.37,0.92,338.0,0.1393,2,0.792
162,6,18,24.5,24.7,24.2,0.03,0.69,302.0,0.0773,2,0.843
163,6,19,24.5,24.1,24.5,0.07,0.31,434.0,0.0541,3,0.673
164,6,20,24.6,23.6,25.0,0.44,0.9,730.0,0.0937,2,0.855
165,6,21,24.5,24.8,24.7,0.59,0.76,707.0,0.0577,2,0.801
166,6,22,24.7,24.5,24.0,0.53,0.12,529.0,0.1189,2,0.95
167,6,23,24.9,25.3,24.8,0.44,0.03,316.0,0.111,2,0.892
