hour,month,hour_of_day,occupied,T_outdoor_C,T_zone1_RB_C,PMV_zone1_RB,T_zone1_NA_C,PMV_zone1_NA,kWh_m2_RB,kWh_m2_NA
53,1,5,0,23.9,23.93,0.177,24.13,0.235,0.0119,0.0106
54,1,6,0,24.0,21.34,-0.09,21.27,-0.071,0.0119,0.0106
55,1,7,0,23.9,25.97,0.432,25.41,0.293,0.0119,0.0106
56,1,8,1,23.6,21.79,-0.018,22.12,-0.02,0.0119,0.0106
57,1,9,1,23.12,21.43,-0.094,21.63,-0.03,0.0119,0.0106
58,1,10,1,22.5,22.57,0.164,22.37,0.056,0.0119,0.0106
59,1,11,1,21.78,19.46,-0.287,19.52,-0.223,0.0119,0.0106
60,1,12,1,21.0,21.31,-0.044,21.28,-0.046,0.0119,0.0106
61,1,13,1,20.22,20.7,-0.154,20.6,-0.16,0.0119,0.0106
62,1,14,1,19.5,25.15,0.252,25.27,0.355,0.0119,0.0106
63,1,15,1,18.88,25.68,0.292,25.99,0.385,0.0119,0.0106
64,1,16,1,18.4,24.4,0.262,24.19,0.242,0.0119,0.0106
65,1,17,1,18.1,21.11,-0.251,21.09,-0.122,0.0119,0.0106
66,1,18,1,18.0,22.12,0.094,21.75,-0.068,0.0119,0.0106
67,1,19,0,18.1,21.84,0.056,21.88,-0.055,0.0119,0.0106
68,1,20,0,18.4,24.24,0.175,24.25,0.239,0.0119,0.0106
69,1,21,0,18.88,22.8,0.083,22.62,0.05,0.0119,0.0106
70,1,22,0,19.5,22.67,0.146,22.87,0.05,0.0119,0.0106
71,1,23,0,20.22,25.7,0.362,25.11,0.329,0.0119,0.0106
72,1,0,0,21.0,22.92,0.082,22.73,0.059,0.0119,0.0106
73,1,1,0,21.78,21.62,-0.021,21.87,-0.034,0.0119,0.0106
74,1,2,0,22.5,23.85,0.226,23.94,0.213,0.0119,0.0106
75,1,3,0,23.12,21.26,-0.037,21.09,-0.073,0.0119,0.0106
76,1,4,0,23.6,22.47,0.111,22.5,0.033,0.0119,0.0106
77,1,5,0,23.9,23.32,0.121,23.26,0.159,0.0119,0.0106
78,1,6,0,24.0,23.74,0.239,23.98,0.199,0.0119,0.0106
79,1,7,0,23.9,23.52,0.169,23.43,0.139,0.0119,0.0106
80,1,8,1,23.6,22.65,0.024,22.82,0.145,0.0119,0.0106
81,1,9,1,23.12,20.99,-0.043,20.63,-0.114,0.0119,0.0106
82,1,10,1,22.5,23.44,0.143,23.62,0.136,0.0119,0.0106
83,1,11,1,21.78,22.61,0.11,22.41,0.037,0.0119,0.0106
84,1,12,1,21.0,21.26,-0.053,21.17,-0.1,0.0119,0.0106
85,1,13,1,20.22,21.27,-0.061,21.34,-0.081,0.0119,0.0106
86,1,14,1,19.5,21.79,-0.093,21.86,-0.056,0.0119,0.0106
87,1,15,1,18.88,21.42,-0.042,21.36,-0.02,0.0119,0.0106
88,1,16,1,18.4,23.79,0.178,23.74,0.144,0.0119,0.0106
89,1,17,1,18.1,22.47,0.063,22.39,0.014,0.0119,0.0106
90,1,18,1,18.0,23.28,0.122,23.74,0.186,0.0119,0.0106
91,1,19,0,18.1,23.54,0.165,23.41,0.142,0.0119,0.0106
92,1,20,0,18.4,22.65,0.066,22.41,0.056,0.0119,0.0106
93,1,21,0,18.88,24.68,0.375,24.96,0.273,0.0119,0.0106
94,1,22,0,19.5,23.81,0.29,23.86,0.162,0.0119,0.0106
95,1,23,0,20.22,21.24,-0.182,21.06,-0.11,0.0119,0.0106
96,1,0,0,21.0,21.36,-0.047,21.41,-0.003,0.0119,0.0106
97,1,1,0,21.78,23.93,0.148,23.75,0.19,0.0119,0.0106
98,1,2,0,22.5,20.52,-0.089,21.07,-0.107,0.0119,0.0106
99,1,3,0,23.12,19.93,-0.213,20.34,-0.129,0.0119,0.0106
100,1,4,0,23.6,20.11,-0.189,19.93,-0.206,0.0119,0.0106
101,1,5,0,23.9,21.82,-0.071,22.01,-0.003,0.0119,0.0106
102,1,6,0,24.0,22.68,0.104,22.83,0.05,0.0119,0.0106
103,1,7,0,23.9,20.2,-0.164,20.58,-0.164,0.0119,0.0106
104,1,8,1,23.6,24.83,0.342,24.86,0.288,0.0119,0.0106
105,1,9,1,23.12,25.59,0.347,26.12,0.441,0.0119,0.0106
106,1,10,1,22.5,23.47,0.099,23.88,0.208,0.0119,0.0106
107,1,11,1,21.78,24.09,0.15,23.56,0.095,0.0119,0.0106
108,1,12,1,21.0,22.1,0.085,22.31,0.033,0.0119,0.0106
109,1,13,1,20.22,24.94,0.209,24.53,0.251,0.0119,0.0106
110,1,14,1,19.5,23.08,0.004,23.07,0.104,0.0119,0.0106
111,1,15,1,18.88,20.54,-0.127,20.74,-0.154,0.0119,0.0106
112,1,16,1,18.4,21.73,-0.03,21.41,-0.03,0.0119,0.0106
113,1,17,1,18.1,21.02,-0.124,21.17,-0.107,0.0119,0.0106
114,1,18,1,18.0,22.34,0.006,22.03,-0.033,0.0119,0.0106
115,1,19,0,18.1,25.45,0.31,25.46,0.352,0.0119,0.0106
116,1,20,0,18.4,22.33,0.064,22.27,0.049,0.0119,0.0106
117,1,21,0,18.88,21.7,-0.043,21.53,-0.116,0.0119,0.0106
118,1,22,0,19.5,20.23,-0.095,20.64,-0.144,0.0119,0.0106
119,1,23,0,20.22,23.36,0.29,23.46,0.179,0.0119,0.0106
120,1,0,0,21.0,22.31,-0.05,22.02,0.008,0.0119,0.0106
121,1,1,0,21.78,21.37,-0.096,20.94,-0.139,0.0119,0.0106
122,1,2,0,22.5,25.03,0.303,25.3,0.374,0.0119,0.0106
123,1,3,0,23.12,22.62,0.138,22.36,0.052,0.0119,0.0106
124,1,4,0,23.6,20.94,-0.149,20.89,-0.153,0.0119,0.0106
125,1,5,0,23.9,23.89,0.119,24.46,0.263,0.0119,0.0106
126,1,6,0,24.0,21.52,-0.077,21.38,-0.088,0.0119,0.0106
127,1,7,0,23.9,22.57,0.071,22.32,0.031,0.0119,0.0106
128,1,8,0,23.6,22.14,-0.015,21.87,0.01,0.0119,0.0106
129,1,9,0,23.12,23.25,0.13,22.96,0.118,0.0119,0.0106
130,1,10,0,22.5,20.0,-0.234,20.16,-0.167,0.0119,0.0106
131,1,11,0,21.78,21.36,-0.146,20.81,-0.117,0.0119,0.0106
132,1,12,0,21.0,22.89,0.121,22.62,0.012,0.0119,0.0106
133,1,13,0,20.22,22.4,0.007,22.04,0.005,0.0119,0.0106
134,1,14,0,19.5,21.21,-0.029,21.09,-0.108,0.0119,0.0106
135,1,15,0,18.88,23.75,0.202,23.41,0.185,0.0119,0.0106
136,1,16,0,18.4,18.79,-0.292,18.55,-0.351,0.0119,0.0106
137,1,17,0,18.1,23.06,0.11,22.88,0.083,0.0119,0.0106
138,1,18,0,18.0,24.25,0.242,24.33,0.22,0.0119,0.0106
139,1,19,0,18.1,21.77,-0.003,21.64,-0.049,0.0119,0.0106
140,1,20,0,18.4,22.93,0.137,23.56,0.146,0.0119,0.0106
141,1,21,0,18.88,24.3,0.128,24.18,0.188,0.0119,0.0106
142,1,22,0,19.5,19.69,-0.23,19.59,-0.191,0.0119,0.0106
143,1,23,0,20.22,22.99,0.141,22.92,0.026,0.0119,0.0106
144,1,0,0,21.0,22.85,0.011,23.08,0.143,0.0119,0.0106
145,1,1,0,21.78,23.01,0.132,22.88,0.156,0.0119,0.0106
146,1,2,0,22.5,22.77,0.054,22.85,0.059,0.0119,0.0106
147,1,3,0,23.12,23.75,0.178,23.49,0.135,0.0119,0.0106
148,1,4,0,23.6,23.22,0.174,23.32,0.117,0.0119,0.0106
149,1,5,0,23.9,22.1,-0.013,21.8,-0.009,0.0119,0.0106
150,1,6,0,24.0,23.64,0.207,23.36,0.177,0.0119,0.0106
151,1,7,0,23.9,23.12,0.073,23.68,0.131,0.0119,0.0106
152,1,8,0,23.6,19.83,-0.184,20.28,-0.174,0.0119,0.0106
153,1,9,0,23.12,22.92,0.214,22.58,0.062,0.0119,0.0106
154,1,10,0,22.5,22.66,0.09,22.88,0.095,0.0119,0.0106
155,1,11,0,21.78,21.31,0.026,21.46,-0.014,0.0119,0.0106
156,1,12,0,21.0,24.89,0.239,24.74,0.27,0.0119,0.0106
157,1,13,0,20.22,22.58,-0.026,22.91,0.137,0.0119,0.0106
158,1,14,0,19.5,22.26,-0.024,22.13,-0.036,0.0119,0.0106
159,1,15,0,18.88,23.73,0.109,23.76,0.137,0.0119,0.0106
160,1,16,0,18.4,22.0,-0.013,22.5,0.005,0.0119,0.0106
161,1,17,0,18.1,22.13,-0.122,22.05,0.003,0.0119,0.0106
162,1,18,0,18.0,22.15,0.108,22.36,0.07,0.0119,0.0106
163,1,19,0,18.1,22.1,0.138,21.76,-0.022,0.0119,0.0106
164,1,20,0,18.4,22.52,0.062,22.51,0.047,0.0119,0.0106
165,1,21,0,18.88,21.64,-0.038,21.48,-0.069,0.0119,0.0106
166,1,22,0,19.5,21.43,-0.07,21.46,-0.009,0.0119,0.0106
167,1,23,0,20.22,18.52,-0.285,18.85,-0.377,0.0119,0.0106
168,1,0,0,21.0,21.99,-0.072,21.87,-0.036,0.0119,0.0106
169,1,1,0,21.78,20.83,-0.07,21.36,-0.026,0.0119,0.0106
170,1,2,0,22.5,23.58,0.132,23.24,0.139,0.0119,0.0106
171,1,3,0,23.12,20.67,-0.145,20.88,-0.123,0.0119,0.0106
172,1,4,0,23.6,23.57,0.139,23.7,0.205,0.0119,0.0106
173,1,5,0,23.9,20.88,-0.083,21.06,-0.103,0.0119,0.0106
174,1,6,0,24.0,22.99,0.145,22.61,0.056,0.0119,0.0106
175,1,7,0,23.9,21.72,-0.064,22.03,-0.039,0.0119,0.0106
176,1,8,1,23.6,20.17,-0.248,20.35,-0.113,0.0119,0.0106
177,1,9,1,23.12,19.38,-0.252,19.89,-0.214,0.0119,0.0106
178,1,10,1,22.5,21.68,-0.034,21.8,0.013,0.0119,0.0106
179,1,11,1,21.78,22.67,0.049,22.72,0.07,0.0119,0.0106
180,1,12,1,21.0,22.96,0.029,22.45,0.067,0.0119,0.0106
181,1,13,1,20.22,22.76,0.077,22.7,0.081,0.0119,0.0106
182,1,14,1,19.5,21.69,-0.021,21.46,-0.084,0.0119,0.0106
183,1,15,1,18.88,23.11,0.163,22.6,0.074,0.0119,0.0106
184,1,16,1,18.4,22.88,0.172,23.18,0.148,0.0119,0.0106
185,1,17,1,18.1,19.74,-0.257,19.35,-0.264,0.0119,0.0106
186,1,18,1,18.0,23.28,0.137,23.06,0.083,0.0119,0.0106
187,1,19,0,18.1,21.58,-0.088,21.16,-0.124,0.0119,0.0106
188,1,20,0,18.4,21.04,-0.144,21.35,0.014,0.0119,0.0106
189,1,21,0,18.88,23.24,0.081,23.3,0.151,0.0119,0.0106
190,1,22,0,19.5,21.64,0.092,21.67,-0.036,0.0119,0.0106
191,1,23,0,20.22,24.22,0.221,24.01,0.254,0.0119,0.0106
192,1,0,0,21.0,21.56,-0.009,22.1,-0.007,0.0119,0.0106
193,1,1,0,21.78,23.45,0.176,23.74,0.127,0.0119,0.0106
194,1,2,0,22.5,21.41,-0.063,21.34,-0.048,0.0119,0.0106
195,1,3,0,23.12,22.77,0.096,22.37,0.055,0.0119,0.0106
196,1,4,0,23.6,23.34,0.176,23.66,0.18,0.0119,0.0106
197,1,5,0,23.9,22.39,0.061,21.9,-0.004,0.0119,0.0106
198,1,6,0,24.0,22.91,0.037,22.52,0.084,0.0119,0.0106
199,1,7,0,23.9,22.44,0.045,22.65,0.065,0.0119,0.0106
200,1,8,1,23.6,23.91,0.196,23.75,0.161,0.0119,0.0106
201,1,9,1,23.12,21.85,-0.004,21.76,-0.039,0.0119,0.0106
202,1,10,1,22.5,24.38,0.229,24.12,0.198,0.0119,0.0106
203,1,11,1,21.78,24.67,0.319,24.73,0.228,0.0119,0.0106
204,1,12,1,21.0,22.9,0.094,23.17,0.149,0.0119,0.0106
205,1,13,1,20.22,21.72,0.087,22.15,0.004,0.0119,0.0106
206,1,14,1,19.5,21.83,0.062,22.27,0.011,0.0119,0.0106
207,1,15,1,18.88,21.87,-0.08,21.79,-0.049,0.0119,0.0106
208,1,16,1,18.4,20.99,-0.102,20.76,-0.117,0.0119,0.0106
209,1,17,1,18.1,24.83,0.332,24.53,0.246,0.0119,0.0106
210,1,18,1,18.0,22.43,-0.014,22.63,0.074,0.0119,0.0106
211,1,19,0,18.1,22.75,0.089,22.9,0.163,0.0119,0.0106
212,1,20,0,18.4,21.54,-0.077,21.38,-0.078,0.0119,0.0106
213,1,21,0,18.88,21.54,0.025,21.9,-0.027,0.0119,0.0106
214,1,22,0,19.5,21.25,-0.102,21.39,-0.042,0.0119,0.0106
215,1,23,0,20.22,22.8,0.158,22.35,0.089,0.0119,0.0106
216,1,0,0,21.0,21.58,-0.028,21.46,-0.044,0.0119,0.0106
217,1,1,0,21.78,23.49,0.14,24.09,0.185,0.0119,0.0106
218,1,2,0,22.5,20.43,-0.159,20.21,-0.125,0.0119,0.0106
219,1,3,0,23.12,21.72,-0.028,21.79,0.015,0.0119,0.0106
220,1,4,0,23.6,26.29,0.405,26.13,0.444,0.0119,0.0106
221,1,5,0,23.9,23.52,0.181,24.08,0.197,0.0119,0.0106
222,1,6,0,24.0,23.39,0.18,23.72,0.187,0.0119,0.0106
223,1,7,0,23.9,24.1,0.279,24.45,0.265,0.0119,0.0106
224,1,8,1,23.6,22.25,0.085,22.29,0.005,0.0119,0.0106
225,1,9,1,23.12,23.05,0.107,22.94,0.132,0.0119,0.0106
226,1,10,1,22.5,22.79,0.011,22.8,0.102,0.0119,0.0106
227,1,11,1,21.78,23.47,0.131,24.12,0.218,0.0119,0.0106
228,1,12,1,21.0,22.87,0.083,23.35,0.143,0.0119,0.0106
229,1,13,1,20.22,23.41,0.119,23.47,0.153,0.0119,0.0106
230,1,14,1,19.5,24.11,0.218,23.8,0.159,0.0119,0.0106
231,1,15,1,18.88,24.29,0.201,23.84,0.195,0.0119,0.0106
232,1,16,1,18.4,24.85,0.257,24.83,0.339,0.0119,0.0106
233,1,17,1,18.1,20.33,-0.145,19.67,-0.248,0.0119,0.0106
234,1,18,1,18.0,20.97,-0.091,21.18,-0.099,0.0119,0.0106
235,1,19,0,18.1,20.58,-0.11,20.84,-0.119,0.0119,0.0106
236,1,20,0,18.4,25.27,0.251,24.95,0.274,0.0119,0.0106
237,1,21,0,18.88,22.43,0.031,22.5,0.061,0.0119,0.0106
238,1,22,0,19.5,20.62,-0.142,21.06,-0.061,0.0119,0.0106
239,1,23,0,20.22,23.01,0.13,23.15,0.129,0.0119,0.0106
240,1,0,0,21.0,23.46,0.156,23.86,0.208,0.0119,0.0106
241,1,1,0,21.78,22.37,0.003,22.8,0.134,0.0119,0.0106
242,1,2,0,22.5,22.44,0.05,22.01,-0.019,0.0119,0.0106
243,1,3,0,23.12,23.76,0.154,23.57,0.1,0.0119,0.0106
244,1,4,0,23.6,21.82,-0.097,21.09,-0.068,0.0119,0.0106
245,1,5,0,23.9,23.68,0.12,23.81,0.179,0.0119,0.0106
246,1,6,0,24.0,22.49,0.125,22.15,0.041,0.0119,0.0106
247,1,7,0,23.9,22.17,0.027,22.18,-0.044,0.0119,0.0106
248,1,8,1,23.6,22.13,-0.037,21.92,-0.016,0.0119,0.0106
249,1,9,1,23.12,25.2,0.291,25.39,0.356,0.0119,0.0106
250,1,10,1,22.5,24.6,0.263,24.88,0.268,0.0119,0.0106
251,1,11,1,21.78,23.55,0.199,23.67,0.186,0.0119,0.0106
252,1,12,1,21.0,24.07,0.273,23.91,0.197,0.0119,0.0106
253,1,13,1,20.22,25.61,0.448,25.41,0.347,0.0119,0.0106
254,1,14,1,19.5,21.52,-0.064,21.38,-0.05,0.0119,0.0106
255,1,15,1,18.88,23.28,0.127,23.11,0.175,0.0119,0.0106
256,1,16,1,18.4,25.09,0.311,25.22,0.326,0.0119,0.0106
257,1,17,1,18.1,23.42,0.129,23.11,0.061,0.0119,0.0106
258,1,18,1,18.0,23.1,0.086,23.29,0.177,0.0119,0.0106
259,1,19,0,18.1,20.66,-0.123,20.22,-0.146,0.0119,0.0106
260,1,20,0,18.4,25.03,0.357,24.89,0.288,0.0119,0.0106
261,1,21,0,18.88,22.24,0.057,22.51,0.003,0.0119,0.0106
262,1,22,0,19.5,24.71,0.24,25.13,0.325,0.0119,0.0106
263,1,23,0,20.22,23.24,0.097,23.32,0.112,0.0119,0.0106
264,1,0,0,21.0,22.46,0.073,22.81,0.07,0.0119,0.0106
265,1,1,0,21.78,23.66,0.223,22.8,0.028,0.0119,0.0106
266,1,2,0,22.5,21.96,-0.069,21.62,-0.003,0.0119,0.0106
267,1,3,0,23.12,21.8,-0.023,21.9,0.005,0.0119,0.0106
268,1,4,0,23.6,22.62,0.111,22.23,0.008,0.0119,0.0106
269,1,5,0,23.9,20.17,-0.108,20.04,-0.171,0.0119,0.0106
270,1,6,0,24.0,21.98,-0.018,21.87,0.05,0.0119,0.0106
271,1,7,0,23.9,23.07,0.159,23.2,0.127,0.0119,0.0106
272,1,8,1,23.6,22.11,0.008,22.05,0.004,0.0119,0.0106
273,1,9,1,23.12,23.59,0.196,23.61,0.158,0.0119,0.0106
274,1,10,1,22.5,22.62,0.108,22.02,0.012,0.0119,0.0106
275,1,11,1,21.78,24.0,0.304,23.13,0.109,0.0119,0.0106
276,1,12,1,21.0,24.16,0.247,23.85,0.153,0.0119,0.0106
277,1,13,1,20.22,21.56,-0.053,22.14,0.02,0.0119,0.0106
278,1,14,1,19.5,23.81,0.188,23.95,0.206,0.0119,0.0106
279,1,15,1,18.88,26.11,0.421,26.09,0.44,0.0119,0.0106
280,1,16,1,18.4,24.16,0.248,24.51,0.217,0.0119,0.0106
281,1,17,1,18.1,24.95,0.31,24.61,0.238,0.0119,0.0106
282,1,18,1,18.0,22.4,0.056,22.5,0.063,0.0119,0.0106
283,1,19,0,18.1,24.92,0.28,25.06,0.335,0.0119,0.0106
284,1,20,0,18.4,24.28,0.258,23.92,0.213,0.0119,0.0106
285,1,21,0,18.88,22.05,-0.002,22.47,0.05,0.0119,0.0106
286,1,22,0,19.5,22.24,-0.031,22.25,-0.019,0.0119,0.0106
287,1,23,0,20.22,24.89,0.24,24.64,0.199,0.0119,0.0106
288,1,0,0,21.0,21.54,0.036,21.14,-0.055,0.0119,0.0106
289,1,1,0,21.78,21.47,-0.004,22.14,0.005,0.0119,0.0106
290,1,2,0,22.5,18.75,-0.394,19.44,-0.306,0.0119,0.0106
291,1,3,0,23.12,24.03,0.273,24.77,0.293,0.0119,0.0106
292,1,4,0,23.6,23.39,0.177,23.65,0.173,0.0119,0.0106
293,1,5,0,23.9,22.66,0.028,22.64,0.055,0.0119,0.0106
294,1,6,0,24.0,19.96,-0.253,19.93,-0.24,0.0119,0.0106
295,1,7,0,23.9,22.77,0.123,23.19,0.072,0.0119,0.0106
296,1,8,0,23.6,21.02,-0.148,21.3,-0.077,0.0119,0.0106
297,1,9,0,23.12,23.33,0.138,23.03,0.063,0.0119,0.0106
298,1,10,0,22.5,21.6,-0.12,21.69,-0.017,0.0119,0.0106
299,1,11,0,21.78,22.47,0.058,22.64,0.105,0.0119,0.0106
300,1,12,0,21.0,22.69,0.075,22.56,0.072,0.0119,0.0106
301,1,13,0,20.22,22.57,0.022,22.59,0.039,0.0119,0.0106
302,1,14,0,19.5,20.4,-0.223,20.92,-0.129,0.0119,0.0106
303,1,15,0,18.88,21.42,-0.073,21.69,0.007,0.0119,0.0106
304,1,16,0,18.4,21.49,-0.093,21.57,0.022,0.0119,0.0106
305,1,17,0,18.1,20.72,-0.096,20.81,-0.106,0.0119,0.0106
306,1,18,0,18.0,22.22,0.024,22.18,0.014,0.0119,0.0106
307,1,19,0,18.1,23.95,0.167,24.61,0.22,0.0119,0.0106
308,1,20,0,18.4,22.37,-0.003,23.14,0.163,0.0119,0.0106
309,1,21,0,18.88,25.02,0.33,24.85,0.334,0.0119,0.0106
310,1,22,0,19.5,21.93,-0.036,21.87,-0.043,0.0119,0.0106
311,1,23,0,20.22,21.53,-0.046,21.16,-0.107,0.0119,0.0106
312,1,0,0,21.0,22.85,0.102,22.38,0.063,0.0119,0.0106
313,1,1,0,21.78,19.51,-0.188,19.62,-0.274,0.0119,0.0106
314,1,2,0,22.5,25.01,0.266,25.13,0.312,0.0119,0.0106
315,1,3,0,23.12,23.34,0.161,23.36,0.108,0.0119,0.0106
316,1,4,0,23.6,22.75,0.07,22.33,0.006,0.0119,0.0106
317,1,5,0,23.9,21.4,-0.006,21.77,-0.005,0.0119,0.0106
318,1,6,0,24.0,20.86,-0.053,20.77,-0.119,0.0119,0.0106
319,1,7,0,23.9,25.98,0.408,26.1,0.4,0.0119,0.0106
320,1,8,0,23.6,22.7,0.105,22.65,0.094,0.0119,0.0106
321,1,9,0,23.12,21.32,-0.16,20.92,-0.093,0.0119,0.0106
322,1,10,0,22.5,20.84,-0.096,20.2,-0.105,0.0119,0.0106
323,1,11,0,21.78,22.49,0.053,22.74,0.071,0.0119,0.0106
324,1,12,0,21.0,23.88,0.201,23.79,0.189,0.0119,0.0106
325,1,13,0,20.22,21.5,-0.059,21.8,-0.043,0.0119,0.0106
326,1,14,0,19.5,23.3,0.132,23.04,0.103,0.0119,0.0106
327,1,15,0,18.88,24.13,0.212,24.27,0.252,0.0119,0.0106
328,1,16,0,18.4,24.59,0.259,24.75,0.236,0.0119,0.0106
329,1,17,0,18.1,20.9,-0.14,20.81,-0.125,0.0119,0.0106
330,1,18,0,18.0,22.58,0.055,22.74,0.089,0.0119,0.0106
331,1,19,0,18.1,22.6,0.013,22.0,-0.004,0.0119,0.0106
332,1,20,0,18.4,20.69,-0.055,20.87,-0.077,0.0119,0.0106
333,1,21,0,18.88,22.18,0.025,22.63,0.053,0.0119,0.0106
334,1,22,0,19.5,21.58,-0.061,21.49,-0.046,0.0119,0.0106
335,1,23,0,20.22,22.74,0.096,22.74,0.11,0.0119,0.0106
336,1,0,0,21.0,23.92,0.065,23.48,0.176,0.0119,0.0106
337,1,1,0,21.78,20.45,-0.214,20.38,-0.216,0.0119,0.0106
338,1,2,0,22.5,23.31,0.102,23.54,0.076,0.0119,0.0106
339,1,3,0,23.12,21.68,-0.106,21.8,-0.015,0.0119,0.0106
340,1,4,0,23.6,22.48,0.054,22.65,0.036,0.0119,0.0106
341,1,5,0,23.9,24.29,0.228,24.25,0.197,0.0119,0.0106
342,1,6,0,24.0,21.84,-0.025,21.57,0.008,0.0119,0.0106
343,1,7,0,23.9,20.44,-0.082,19.96,-0.21,0.0119,0.0106
344,1,8,1,23.6,21.5,-0.081,21.81,0.036,0.0119,0.0106
345,1,9,1,23.12,23.52,0.26,23.37,0.119,0.0119,0.0106
346,1,10,1,22.5,23.61,0.226,23.7,0.217,0.0119,0.0106
347,1,11,1,21.78,22.55,0.078,22.32,0.012,0.0119,0.0106
348,1,12,1,21.0,25.52,0.334,25.56,0.362,0.0119,0.0106
349,1,13,1,20.22,20.48,-0.092,20.19,-0.201,0.0119,0.0106
350,1,14,1,19.5,20.93,-0.048,21.09,-0.069,0.0119,0.0106
351,1,15,1,18.88,23.99,0.128,23.77,0.222,0.0119,0.0106
352,1,16,1,18.4,22.02,0.068,21.94,0.011,0.0119,0.0106
353,1,17,1,18.1,23.18,0.086,23.83,0.211,0.0119,0.0106
354,1,18,1,18.0,22.59,0.135,22.67,0.082,0.0119,0.0106
355,1,19,0,18.1,23.31,0.112,23.63,0.138,0.0119,0.0106
