hour,dry_bulb_C,rh_pct,solar_rad_Wm2
104,12.4,79.0,600.0
105,8.5,76.0,400.0
106,8.1,74.0,200.0
107,4.0,79.0,54.0
108,4.7,75.0,0.0
109,1.6,79.0,54.0
110,-0.3,79.0,200.0
111,0.9,75.0,400.0
112,0.3,82.0,600.0
113,0.2,75.0,746.0
114,2.9,76.0,800.0
115,2.6,71.0,746.0
116,2.9,75.0,600.0
117,6.0,87.0,400.0
118,7.2,72.0,200.0
119,10.9,78.0,54.0
120,11.8,74.0,0.0
121,13.6,65.0,54.0
122,13.1,79.0,200.0
123,15.4,74.0,400.0
124,15.6,78.0,600.0
125,14.4,81.0,746.0
126,14.5,78.0,800.0
127,13.9,78.0,746.0
128,11.8,72.0,600.0
129,8.5,80.0,400.0
130,7.6,75.0,200.0
131,5.3,66.0,54.0
132,4.0,81.0,0.0
133,2.2,82.0,54.0
134,0.4,84.0,200.0
135,-0.5,87.0,400.0
136,-0.3,80.0,600.0
137,0.8,79.0,746.0
138,0.8,82.0,800.0
139,3.2,72.0,746.0
140,4.5,68.0,600.0
141,6.8,74.0,400.0
142,8.7,83.0,200.0
143,11.0,73.0,54.0
144,10.2,79.0,0.0
145,13.7,79.0,54.0
146,15.6,78.0,200.0
147,16.6,70.0,400.0
148,14.7,78.0,600.0
149,15.9,74.0,746.0
150,14.6,85.0,800.0
151,15.1,82.0,746.0
152,10.3,75.0,600.0
153,9.0,85.0,400.0
154,5.9,78.0,200.0
155,5.7,68.0,54.0
156,5.9,76.0,0.0
157,1.9,85.0,54.0
158,0.7,73.0,200.0
159,0.3,76.0,400.0
160,-0.7,70.0,600.0
161,0.0,71.0,746.0
162,0.8,73.0,800.0
163,0.8,71.0,746.0
164,3.2,74.0,600.0
165,5.9,85.0,400.0
166,8.1,77.0,200.0
167,10.6,81.0,54.0
168,11.6,82.0,0.0
169,13.3,71.0,54.0
170,15.0,73.0,200.0
171,14.5,81.0,400.0
172,14.7,74.0,600.0
173,15.0,80.0,746.0
174,13.1,85.0,800.0
175,13.5,70.0,746.0
176,12.6,75.0,600.0
177,8.9,76.0,400.0
178,8.0,74.0,200.0
179,4.8,74.0,54.0
180,2.5,74.0,0.0
181,3.8,77.0,54.0
182,-0.5,78.0,200.0
183,-1.7,82.0,400.0
184,-0.5,77.0,600.0
185,-0.2,83.0,746.0
186,0.9,74.0,800.0
187,3.5,71.0,746.0
188,2.3,75.0,600.0
189,4.4,79.0,400.0
190,8.7,81.0,200.0
191,10.1,84.0,54.0
192,11.9,79.0,0.0
193,12.2,81.0,54.0
194,15.2,84.0,200.0
195,15.7,73.0,400.0
196,15.4,76.0,600.0
197,14.4,91.0,746.0
198,14.3,81.0,800.0
199,14.6,80.0,746.0
200,10.3,82.0,600.0
201,8.6,70.0,400.0
202,6.7,74.0,200.0
203,4.9,72.0,54.0
204,3.3,79.0,0.0
205,2.6,75.0,54.0
206,0.8,78.0,200.0
207,-0.5,76.0,400.0
208,-0.6,69.0,600.0
209,-0.0,82.0,746.0
210,-1.6,68.0,800.0
211,2.4,74.0,746.0
212,2.1,71.0,600.0
213,4.4,73.0,400.0
214,7.3,78.0,200.0
215,8.9,83.0,54.0
216,11.4,70.0,0.0
217,12.7,75.0,54.0
218,13.6,69.0,200.0
219,16.3,74.0,400.0
220,15.8,78.0,600.0
221,15.1,81.0,746.0
222,14.8,67.0,800.0
223,12.1,80.0,746.0
224,13.4,73.0,600.0
225,8.2,71.0,400.0
226,7.3,78.0,200.0
227,4.8,81.0,54.0
228,2.9,77.0,0.0
229,1.0,72.0,54.0
230,-0.6,77.0,200.0
231,0.5,74.0,400.0
232,-2.2,81.0,600.0
233,0.2,83.0,746.0
234,0.6,83.0,800.0
235,0.8,77.0,746.0
236,3.3,83.0,600.0
237,4.5,72.0,400.0
238,5.7,86.0,200.0
239,7.7,72.0,54.0
240,11.4,67.0,0.0
241,13.1,84.0,54.0
242,14.0,74.0,200.0
243,14.2,78.0,400.0
244,14.7,72.0,600.0
245,14.4,89.0,746.0
246,12.2,87.0,800.0
247,12.7,85.0,746.0
248,11.6,78.0,600.0
249,9.2,83.0,400.0
250,8.8,77.0,200.0
251,4.0,83.0,54.0
252,2.4,76.0,0.0
253,1.5,86.0,54.0
254,0.3,75.0,200.0
255,-2.7,76.0,400.0
256,-0.6,75.0,600.0
257,-0.7,79.0,746.0
258,-2.3,76.0,800.0
259,0.9,80.0,746.0
260,1.8,75.0,600.0
261,4.1,82.0,400.0
262,5.3,85.0,200.0
263,9.1,78.0,54.0
264,12.4,89.0,0.0
265,12.6,83.0,54.0
266,11.5,89.0,200.0
267,14.7,78.0,400.0
268,14.6,70.0,600.0
269,13.4,74.0,746.0
270,14.1,75.0,800.0
271,13.4,73.0,746.0
272,10.2,67.0,600.0
273,7.3,83.0,400.0
274,4.9,69.0,200.0
275,4.2,83.0,54.0
276,2.7,89.0,0.0
277,0.7,74.0,54.0
278,-0.8,80.0,200.0
279,-0.4,76.0,400.0
280,-0.8,82.0,600.0
281,-0.9,72.0,746.0
282,0.5,77.0,800.0
283,0.2,84.0,746.0
284,1.4,78.0,600.0
285,3.9,70.0,400.0
286,5.9,84.0,200.0
287,6.5,72.0,54.0
288,9.9,78.0,0.0
289,13.3,81.0,54.0
290,14.3,79.0,200.0
291,14.8,91.0,400.0
292,14.8,82.0,600.0
293,15.8,77.0,746.0
294,12.6,81.0,800.0
295,11.4,79.0,746.0
296,11.9,78.0,600.0
297,8.9,79.0,400.0
298,6.1,76.0,200.0
299,5.2,79.0,54.0
300,2.3,76.0,0.0
301,0.2,69.0,54.0
302,-1.1,84.0,200.0
303,-0.8,75.0,400.0
304,-1.2,79.0,600.0
305,0.3,74.0,746.0
306,-0.8,75.0,800.0
307,0.4,73.0,746.0
308,3.8,83.0,600.0
309,5.3,84.0,400.0
310,6.5,78.0,200.0
311,6.8,76.0,54.0
312,9.5,70.0,0.0
313,11.0,82.0,54.0
314,13.4,75.0,200.0
315,13.7,73.0,400.0
316,16.1,79.0,600.0
317,12.7,77.0,746.0
318,12.3,71.0,800.0
319,12.5,71.0,746.0
320,11.1,80.0,600.0
321,6.1,75.0,400.0
322,4.9,81.0,200.0
323,4.3,79.0,54.0
324,4.0,84.0,0.0
325,2.8,74.0,54.0
326,-0.8,80.0,200.0
327,-1.4,82.0,400.0
328,-2.4,75.0,600.0
329,-0.7,84.0,746.0
330,0.9,70.0,800.0
331,1.9,74.0,746.0
332,2.2,70.0,600.0
333,3.3,75.0,400.0
334,6.2,78.0,200.0
335,9.6,83.0,54.0
336,9.8,78.0,0.0
337,10.1,76.0,54.0
338,12.8,71.0,200.0
339,13.7,73.0,400.0
340,12.5,80.0,600.0
341,14.3,83.0,746.0
342,13.8,77.0,800.0
343,14.0,85.0,746.0
344,9.1,74.0,600.0
345,9.3,77.0,400.0
346,7.5,77.0,200.0
347,4.9,86.0,54.0
348,1.4,79.0,0.0
349,-0.3,70.0,54.0
350,-0.5,83.0,200.0
351,-1.3,88.0,400.0
352,-2.3,77.0,600.0
353,-0.2,74.0,746.0
354,-1.2,83.0,800.0
355,-1.4,89.0,746.0
356,1.9,83.0,600.0
357,4.5,71.0,400.0
358,6.4,83.0,200.0
359,8.4,81.0,54.0
360,11.5,74.0,0.0
361,10.6,85.0,54.0
362,12.6,81.0,200.0
363,15.4,85.0,400.0
364,12.2,74.0,600.0
365,13.9,81.0,746.0
366,14.4,74.0,800.0
367,13.2,80.0,746.0
368,11.0,86.0,600.0
369,9.1,72.0,400.0
370,5.3,72.0,200.0
371,5.6,84.0,54.0
372,1.1,79.0,0.0
373,-0.5,85.0,54.0
374,-0.3,75.0,200.0
375,-2.0,79.0,400.0
376,-1.7,82.0,600.0
377,-1.2,80.0,746.0
378,0.9,70.0,800.0
379,0.8,93.0,746.0
380,1.3,80.0,600.0
381,4.5,72.0,400.0
382,5.1,81.0,200.0
383,8.9,81.0,54.0
384,10.0,84.0,0.0
385,12.0,84.0,54.0
386,11.1,78.0,200.0
387,11.5,71.0,400.0
388,12.6,81.0,600.0
389,15.6,71.0,746.0
390,11.9,85.0,800.0
391,12.6,75.0,746.0
392,9.6,82.0,600.0
393,8.0,76.0,400.0
394,6.2,77.0,200.0
395,5.8,75.0,54.0
396,2.8,83.0,0.0
397,0.9,76.0,54.0
398,0.5,83.0,200.0
399,-2.3,76.0,400.0
400,-0.9,78.0,600.0
401,-0.9,79.0,746.0
402,-0.2,80.0,800.0
403,0.0,75.0,746.0
404,1.4,83.0,600.0
405,2.8,78.0,400.0
406,5.0,82.0,200.0
407,6.9,79.0,54.0
408,10.1,82.0,0.0
409,11.2,77.0,54.0
410,13.2,75.0,200.0
411,14.1,81.0,400.0
412,12.9,77.0,600.0
413,12.6,87.0,746.0
414,12.7,80.0,800.0
415,10.9,73.0,746.0
416,9.2,76.0,600.0
417,9.8,74.0,400.0
418,4.5,85.0,200.0
419,6.0,83.0,54.0
420,2.3,79.0,0.0
421,1.3,81.0,54.0
422,-0.1,79.0,200.0
423,-1.2,84.0,400.0
424,-0.5,82.0,600.0
425,-3.0,83.0,746.0
426,-1.3,79.0,800.0
427,-0.8,76.0,746.0
428,-0.0,83.0,600.0
429,2.9,87.0,400.0
430,7.5,85.0,200.0
431,7.5,87.0,54.0
432,11.6,80.0,0.0
433,13.4,75.0,54.0
434,15.6,75.0,200.0
435,15.4,87.0,400.0
436,16.1,70.0,600.0
437,13.9,87.0,746.0
438,13.0,76.0,800.0
439,11.8,89.0,746.0
440,9.9,79.0,600.0
441,8.2,83.0,400.0
442,6.7,92.0,200.0
443,3.4,78.0,54.0
444,0.5,78.0,0.0
445,0.6,76.0,54.0
446,-1.8,75.0,200.0
447,-2.5,78.0,400.0
448,-2.4,77.0,600.0
449,-2.4,73.0,746.0
450,-0.2,79.0,800.0
451,-0.3,82.0,746.0
452,2.7,75.0,600.0
453,3.6,79.0,400.0
454,5.4,87.0,200.0
455,7.7,73.0,54.0
456,8.2,89.0,0.0
457,11.5,76.0,54.0
458,13.3,81.0,200.0
459,14.3,86.0,400.0
460,12.3,88.0,600.0
461,11.9,82.0,746.0
462,12.1,76.0,800.0
463,12.8,76.0,746.0
464,10.0,77.0,600.0
465,7.1,89.0,400.0
466,4.4,78.0,200.0
467,3.0,82.0,54.0
468,1.0,75.0,0.0
469,1.0,74.0,54.0
470,-0.2,80.0,200.0
471,-3.1,78.0,400.0
472,-1.7,79.0,600.0
473,-1.5,73.0,746.0
474,-2.6,80.0,800.0
475,-0.3,88.0,746.0
476,1.7,76.0,600.0
477,3.5,85.0,400.0
478,3.6,63.0,200.0
479,7.6,76.0,54.0
480,10.0,71.0,0.0
481,12.6,86.0,54.0
482,11.7,84.0,200.0
483,12.7,75.0,400.0
484,13.3,82.0,600.0
485,13.6,86.0,746.0
486,12.6,87.0,800.0
487,11.9,78.0,746.0
488,8.5,69.0,600.0
489,8.1,76.0,400.0
490,4.9,84.0,200.0
491,3.4,91.0,54.0
492,3.3,80.0,0.0
493,-1.5,77.0,54.0
494,-1.7,92.0,200.0
495,-3.5,82.0,400.0
496,-2.4,74.0,600.0
497,-1.3,80.0,746.0
498,-1.4,85.0,800.0
499,-0.5,80.0,746.0
500,2.6,84.0,600.0
501,3.5,72.0,400.0
502,6.0,73.0,200.0
503,8.0,77.0,54.0
504,6.4,79.0,0.0
505,10.8,82.0,54.0
506,11.1,84.0,200.0
507,12.2,93.0,400.0
508,14.9,77.0,600.0
509,12.8,79.0,746.0
510,14.3,77.0,800.0
511,9.8,86.0,746.0
512,8.4,86.0,600.0
513,8.4,78.0,400.0
514,5.2,91.0,200.0
515,3.8,77.0,54.0
516,1.4,86.0,0.0
517,-0.3,88.0,54.0
518,-1.8,74.0,200.0
519,-2.2,83.0,400.0
520,-2.0,67.0,600.0
521,-0.8,85.0,746.0
522,-1.9,75.0,800.0
523,-0.9,83.0,746.0
524,0.6,84.0,600.0
525,4.5,86.0,400.0
526,5.8,85.0,200.0
527,5.3,81.0,54.0
528,7.2,79.0,0.0
529,10.0,80.0,54.0
530,12.3,75.0,200.0
531,12.9,80.0,400.0
532,13.8,79.0,600.0
533,12.9,77.0,746.0
534,13.7,72.0,800.0
535,11.8,74.0,746.0
536,9.5,65.0,600.0
537,8.6,79.0,400.0
538,3.8,82.0,200.0
539,3.2,67.0,54.0
540,1.5,82.0,0.0
541,0.3,80.0,54.0
542,-3.3,75.0,200.0
543,-2.7,79.0,400.0
544,-2.4,86.0,600.0
545,-2.1,76.0,746.0
546,-0.7,81.0,800.0
547,0.2,82.0,746.0
548,0.9,77.0,600.0
549,3.6,86.0,400.0
550,4.8,83.0,200.0
551,7.2,80.0,54.0
552,9.8,93.0,0.0
553,10.6,86.0,54.0
554,12.3,72.0,200.0
555,13.8,79.0,400.0
556,13.8,93.0,600.0
557,14.1,76.0,746.0
558,14.5,81.0,800.0
559,11.6,87.0,746.0
560,8.8,84.0,600.0
561,7.9,85.0,400.0
562,5.8,85.0,200.0
563,3.8,81.0,54.0
564,2.7,77.0,0.0
565,-2.1,83.0,54.0
566,-0.2,79.0,200.0
567,-0.8,79.0,400.0
568,-2.4,88.0,600.0
569,-2.1,79.0,746.0
570,-2.2,89.0,800.0
571,-0.7,82.0,746.0
572,1.6,80.0,600.0
573,3.4,72.0,400.0
574,5.6,92.0,200.0
575,7.5,81.0,54.0
576,9.8,70.0,0.0
577,11.3,86.0,54.0
578,10.8,81.0,200.0
579,13.5,76.0,400.0
580,14.9,86.0,600.0
581,12.7,68.0,746.0
582,13.5,78.0,800.0
583,9.9,80.0,746.0
584,9.1,85.0,600.0
585,6.6,92.0,400.0
586,6.5,80.0,200.0
587,4.7,83.0,54.0
588,1.0,95.0,0.0
589,0.6,81.0,54.0
590,-0.2,84.0,200.0
591,-2.8,75.0,400.0
592,-2.9,91.0,600.0
593,-2.1,78.0,746.0
594,-2.9,83.0,800.0
595,-0.7,82.0,746.0
596,2.9,82.0,600.0
597,2.2,79.0,400.0
598,5.6,82.0,200.0
599,7.3,90.0,54.0
600,8.6,93.0,0.0
601,10.6,80.0,54.0
602,13.5,79.0,200.0
603,13.1,77.0,400.0
604,13.6,95.0,600.0
605,14.3,82.0,746.0
606,11.6,87.0,800.0
607,9.6,85.0,746.0
608,10.8,92.0,600.0
609,7.2,80.0,400.0
610,5.9,76.0,200.0
611,2.2,91.0,54.0
612,1.4,86.0,0.0
613,-1.8,84.0,54.0
614,-1.9,89.0,200.0
615,-3.5,84.0,400.0
616,-4.1,89.0,600.0
617,-3.3,83.0,746.0
618,-4.5,86.0,800.0
619,-2.1,84.0,746.0
620,1.4,80.0,600.0
621,2.9,80.0,400.0
622,3.5,80.0,200.0
623,7.2,83.0,54.0
624,7.7,79.0,0.0
625,11.0,84.0,54.0
626,11.5,84.0,200.0
627,12.1,83.0,400.0
628,12.7,83.0,600.0
629,15.1,79.0,746.0
630,11.0,80.0,800.0
631,10.8,73.0,746.0
632,9.7,81.0,600.0
633,6.0,77.0,400.0
634,3.3,82.0,200.0
635,2.2,78.0,54.0
636,1.6,71.0,0.0
637,-1.1,93.0,54.0
638,-2.3,80.0,200.0
639,-2.1,89.0,400.0
640,-4.1,79.0,600.0
641,-3.2,90.0,746.0
642,-3.8,76.0,800.0
643,-0.8,83.0,746.0
644,0.8,76.0,600.0
645,3.2,95.0,400.0
646,3.3,80.0,200.0
647,6.4,86.0,54.0
648,7.2,84.0,0.0
649,9.9,82.0,54.0
650,13.0,84.0,200.0
651,12.0,89.0,400.0
652,11.3,85.0,600.0
653,11.7,83.0,746.0
654,10.0,84.0,800.0
655,9.1,91.0,746.0
656,9.5,80.0,600.0
657,5.4,73.0,400.0
658,5.1,76.0,200.0
659,2.8,77.0,54.0
660,0.2,77.0,0.0
661,-0.7,78.0,54.0
662,-3.2,82.0,200.0
663,-2.2,83.0,400.0
664,-4.1,83.0,600.0
665,-3.6,78.0,746.0
666,-2.9,87.0,800.0
667,-0.5,85.0,746.0
668,1.0,90.0,600.0
669,-0.3,86.0,400.0
670,4.6,80.0,200.0
671,4.7,88.0,54.0
672,8.0,83.0,0.0
673,10.0,86.0,54.0
674,11.0,86.0,200.0
675,12.7,81.0,400.0
676,13.2,83.0,600.0
677,11.5,81.0,746.0
678,10.7,78.0,800.0
679,10.3,71.0,746.0
680,7.1,79.0,600.0
681,6.3,83.0,400.0
682,6.0,87.0,200.0
683,1.1,86.0,54.0
684,0.3,81.0,0.0
685,-1.6,79.0,54.0
686,-0.3,81.0,200.0
687,-3.7,77.0,400.0
688,-4.0,72.0,600.0
689,-4.3,74.0,746.0
690,-2.5,89.0,800.0
691,-1.1,91.0,746.0
692,-0.6,86.0,600.0
693,3.2,82.0,400.0
694,4.5,75.0,200.0
695,7.2,81.0,54.0
696,7.9,85.0,0.0
697,10.2,86.0,54.0
698,11.0,86.0,200.0
699,13.6,88.0,400.0
700,12.5,92.0,600.0
701,12.2,80.0,746.0
702,11.0,96.0,800.0
703,9.7,72.0,746.0
704,8.8,78.0,600.0
705,7.5,83.0,400.0
706,3.9,85.0,200.0
707,2.6,81.0,54.0
708,0.7,80.0,0.0
709,-0.8,93.0,54.0
710,-4.2,80.0,200.0
711,-4.2,77.0,400.0
712,-5.0,91.0,600.0
713,-3.4,87.0,746.0
714,-3.6,88.0,800.0
715,-1.9,83.0,746.0
716,-1.0,75.0,600.0
717,1.7,83.0,400.0
718,3.0,75.0,200.0
719,7.0,84.0,54.0
720,8.6,86.0,0.0
721,10.0,88.0,54.0
722,10.8,82.0,200.0
723,10.0,86.0,400.0
724,11.8,78.0,600.0
725,11.3,87.0,746.0
726,11.6,86.0,800.0
727,10.7,78.0,746.0
728,8.8,85.0,600.0
729,7.8,88.0,400.0
730,3.9,83.0,200.0
731,1.8,78.0,54.0
732,1.5,83.0,0.0
733,-1.1,85.0,54.0
734,-2.8,78.0,200.0
735,-1.6,78.0,400.0
736,-3.2,85.0,600.0
737,-3.7,87.0,746.0
738,-3.5,93.0,800.0
739,-0.2,86.0,746.0
740,0.3,77.0,600.0
741,2.0,93.0,400.0
742,4.7,88.0,200.0
743,7.0,73.0,54.0
744,8.6,77.0,0.0
745,10.6,80.0,54.0
746,11.5,87.0,200.0
747,12.4,71.0,400.0
748,11.5,82.0,600.0
749,13.8,87.0,746.0
750,10.0,69.0,800.0
751,10.3,86.0,746.0
752,7.0,87.0,600.0
753,6.3,78.0,400.0
754,3.8,77.0,200.0
755,2.4,78.0,54.0
756,0.7,69.0,0.0
757,-2.3,81.0,54.0
758,-2.7,84.0,200.0
759,-2.1,77.0,400.0
760,-5.2,88.0,600.0
761,-4.5,83.0,746.0
762,-2.0,84.0,800.0
763,-1.6,81.0,746.0
764,0.1,87.0,600.0
765,2.9,89.0,400.0
766,3.1,81.0,200.0
767,5.5,87.0,54.0
768,7.3,87.0,0.0
769,9.3,85.0,54.0
770,12.3,91.0,200.0
771,10.1,79.0,400.0
772,10.9,81.0,600.0
773,10.5,79.0,746.0
774,12.5,87.0,800.0
775,9.3,82.0,746.0
776,7.9,79.0,600.0
777,4.7,91.0,400.0
778,4.0,92.0,200.0
779,3.0,81.0,54.0
780,0.5,76.0,0.0
781,-1.6,92.0,54.0
782,-4.3,85.0,200.0
783,-4.0,85.0,400.0
784,-3.8,84.0,600.0
785,-4.7,79.0,746.0
786,-2.3,81.0,800.0
787,-0.9,86.0,746.0
788,-0.7,81.0,600.0
789,2.5,85.0,400.0
790,3.7,83.0,200.0
791,7.0,78.0,54.0
792,9.9,91.0,0.0
793,8.4,86.0,54.0
794,11.6,85.0,200.0
795,13.0,86.0,400.0
796,11.0,74.0,600.0
797,11.2,81.0,746.0
798,10.4,75.0,800.0
799,9.6,84.0,746.0
800,7.8,85.0,600.0
801,6.0,84.0,400.0
802,5.0,89.0,200.0
803,0.2,76.0,54.0
804,-0.9,79.0,0.0
805,-0.9,85.0,54.0
806,-2.3,85.0,200.0
807,-4.8,77.0,400.0
808,-3.5,89.0,600.0
809,-2.5,91.0,746.0
810,-3.1,85.0,800.0
811,-2.9,76.0,746.0
812,0.6,84.0,600.0
813,3.4,85.0,400.0
814,2.8,82.0,200.0
815,5.8,90.0,54.0
816,8.8,83.0,0.0
817,9.5,94.0,54.0
818,9.0,87.0,200.0
819,12.0,85.0,400.0
820,10.9,88.0,600.0
821,10.4,91.0,746.0
822,9.2,88.0,800.0
823,10.9,83.0,746.0
824,7.2,80.0,600.0
825,6.5,78.0,400.0
826,4.6,71.0,200.0
827,2.1,84.0,54.0
828,0.3,81.0,0.0
829,-1.3,82.0,54.0
830,-2.8,89.0,200.0
831,-4.6,83.0,400.0
832,-5.0,93.0,600.0
833,-4.0,81.0,746.0
834,-3.3,79.0,800.0
835,-1.5,77.0,746.0
836,0.8,87.0,600.0
837,1.9,89.0,400.0
838,2.8,81.0,200.0
839,3.5,78.0,54.0
840,6.9,91.0,0.0
841,8.0,76.0,54.0
842,9.9,89.0,200.0
843,11.7,81.0,400.0
844,11.9,86.0,600.0
845,13.4,89.0,746.0
846,11.3,86.0,800.0
847,11.5,82.0,746.0
848,8.6,91.0,600.0
849,7.1,85.0,400.0
850,3.6,100.0,200.0
851,0.8,75.0,54.0
852,-0.5,75.0,0.0
853,-1.8,89.0,54.0
854,-3.7,83.0,200.0
855,-4.9,88.0,400.0
856,-3.8,78.0,600.0
857,-5.0,84.0,746.0
858,-4.8,86.0,800.0
859,-3.2,81.0,746.0
860,-0.7,85.0,600.0
861,0.5,77.0,400.0
862,3.3,86.0,200.0
863,6.2,91.0,54.0
864,8.1,78.0,0.0
865,8.6,77.0,54.0
866,9.2,90.0,200.0
867,10.8,77.0,400.0
868,12.3,88.0,600.0
869,12.3,84.0,746.0
870,11.1,82.0,800.0
871,10.7,91.0,746.0
872,9.6,88.0,600.0
873,5.4,85.0,400.0
874,5.3,73.0,200.0
875,1.5,87.0,54.0
876,0.8,78.0,0.0
877,-1.2,83.0,54.0
878,-5.2,84.0,200.0
879,-5.0,93.0,400.0
880,-5.6,83.0,600.0
881,-5.9,77.0,746.0
882,-2.5,91.0,800.0
883,-0.1,88.0,746.0
884,-0.8,88.0,600.0
885,2.2,91.0,400.0
886,4.9,93.0,200.0
887,5.7,79.0,54.0
888,7.4,77.0,0.0
889,8.9,88.0,54.0
890,11.0,83.0,200.0
891,12.1,83.0,400.0
892,12.1,78.0,600.0
893,11.8,87.0,746.0
894,10.6,86.0,800.0
895,7.8,83.0,746.0
896,8.6,77.0,600.0
897,4.5,90.0,400.0
898,4.4,85.0,200.0
899,2.4,90.0,54.0
900,-1.4,74.0,0.0
901,-2.6,84.0,54.0
902,-1.2,80.0,200.0
903,-4.2,84.0,400.0
904,-5.7,89.0,600.0
905,-3.4,86.0,746.0
906,-4.3,84.0,800.0
907,-4.2,84.0,746.0
908,-0.1,76.0,600.0
909,0.4,80.0,400.0
910,3.7,90.0,200.0
911,4.6,82.0,54.0
912,8.1,90.0,0.0
913,9.2,88.0,54.0
914,7.8,89.0,200.0
915,11.6,86.0,400.0
916,11.2,82.0,600.0
917,12.7,83.0,746.0
918,10.9,87.0,800.0
919,10.0,74.0,746.0
920,6.9,90.0,600.0
921,4.9,82.0,400.0
922,3.6,84.0,200.0
923,1.2,84.0,54.0
924,1.0,84.0,0.0
925,-2.2,78.0,54.0
926,-4.6,85.0,200.0
927,-5.0,87.0,400.0
928,-3.6,74.0,600.0
929,-4.5,78.0,746.0
930,-3.8,89.0,800.0
931,-1.3,88.0,746.0
932,-1.6,86.0,600.0
933,-1.0,81.0,400.0
934,2.4,88.0,200.0
935,5.6,78.0,54.0
936,7.0,84.0,0.0
937,7.4,78.0,54.0
938,11.3,84.0,200.0
939,11.3,79.0,400.0
940,11.8,88.0,600.0
941,11.6,87.0,746.0
942,9.1,82.0,800.0
943,9.5,90.0,746.0
944,8.5,80.0,600.0
945,6.8,84.0,400.0
946,4.3,81.0,200.0
947,2.0,88.0,54.0
948,-2.2,88.0,0.0
949,-2.2,91.0,54.0
950,-4.4,85.0,200.0
951,-3.0,70.0,400.0
952,-3.5,82.0,600.0
953,-5.4,92.0,746.0
954,-3.7,83.0,800.0
955,-2.2,75.0,746.0
956,0.1,87.0,600.0
957,-0.6,87.0,400.0
958,0.9,81.0,200.0
959,5.3,83.0,54.0
960,4.6,80.0,0.0
961,9.0,87.0,54.0
962,10.8,85.0,200.0
963,12.2,79.0,400.0
964,10.7,85.0,600.0
965,11.3,81.0,746.0
966,11.0,92.0,800.0
967,7.9,89.0,746.0
968,8.4,84.0,600.0
969,5.8,85.0,400.0
970,2.9,90.0,200.0
971,1.6,84.0,54.0
972,-0.7,88.0,0.0
973,-1.4,92.0,54.0
974,-3.9,82.0,200.0
975,-4.2,93.0,400.0
976,-5.3,91.0,600.0
977,-5.4,86.0,746.0
978,-3.6,82.0,800.0
