frame,snn_inference_ms,websocket_ms,e2e_latency_ms
96,5.05,6.25,23.73
97,4.28,4.57,18.78
98,4.21,4.21,19.35
99,5.38,8.91,26.08
100,4.11,7.97,21.4
101,4.63,3.77,17.49
102,6.39,4.48,20.5
103,5.66,3.69,18.11
104,4.29,3.79,17.11
105,4.29,3.24,17.52
106,4.73,5.5,19.66
107,4.31,3.6,19.33
108,4.13,4.95,18.0
109,4.34,3.83,18.44
110,4.13,4.35,17.04
111,4.38,4.12,17.68
112,5.13,4.19,17.93
113,4.4,5.2,20.79
114,5.66,4.09,24.63
115,4.66,3.44,17.2
116,4.77,4.79,18.32
117,4.12,6.06,18.94
118,4.1,4.1,19.78
119,4.13,3.91,20.18
120,5.69,6.66,22.63
121,5.84,5.78,23.4
122,6.79,3.29,19.19
123,8.27,3.5,20.46
124,4.73,4.42,20.84
125,4.33,4.27,19.36
126,5.36,3.29,17.73
127,4.49,3.37,20.07
128,4.33,3.28,16.21
129,4.12,4.83,17.62
130,4.26,3.37,16.56
131,4.62,6.69,21.18
132,4.42,3.87,16.92
133,5.52,5.63,21.31
134,5.08,9.71,34.94
135,4.31,5.58,19.03
136,4.85,3.49,18.88
137,4.68,4.54,18.84
138,4.87,3.82,17.21
139,4.32,3.53,21.18
140,4.24,6.15,21.26
141,5.03,3.48,20.0
142,4.6,4.39,19.16
143,4.34,5.28,19.31
144,4.99,3.3,22.61
145,5.25,3.22,18.43
146,5.28,4.79,20.92
147,5.07,4.39,18.57
148,4.33,3.41,19.37
149,4.26,3.72,17.18
150,6.29,3.83,20.78
151,4.27,3.63,16.7
152,4.75,4.48,17.96
153,4.25,3.55,20.78
154,5.1,7.24,21.27
155,7.13,6.62,24.34
156,4.47,3.41,19.5
157,4.15,3.4,16.34
158,5.57,4.9,19.1
159,4.52,4.35,20.67
160,5.65,5.82,22.88
161,5.05,5.26,19.19
162,5.57,4.41,21.97
163,4.17,3.27,17.29
164,4.38,3.95,18.76
165,5.04,4.26,18.95
166,6.37,3.29,20.88
167,5.07,5.05,20.0
168,6.06,6.03,23.17
169,4.42,4.84,18.39
170,4.97,3.35,18.93
171,5.32,3.25,17.18
172,4.13,3.81,19.44
173,4.49,4.02,17.26
174,4.3,3.91,17.55
175,4.54,4.98,18.3
176,4.64,5.26,21.87
177,4.47,3.88,17.8
178,4.69,4.48,18.85
179,4.69,3.73,17.41
180,5.71,4.01,18.36
181,5.94,3.36,22.52
182,4.43,4.92,20.53
183,4.24,5.53,19.27
184,5.67,6.28,24.22
185,4.18,4.02,17.28
186,4.8,6.82,25.11
187,4.54,4.02,17.08
188,5.49,4.29,20.53
189,4.74,4.03,19.05
190,4.93,4.42,19.29
191,4.65,5.04,19.83
192,4.41,6.24,23.75
193,4.28,3.69,18.07
194,4.65,5.15,20.54
195,5.35,4.34,19.76
196,5.54,3.69,25.99
197,7.18,5.29,21.81
198,4.4,4.7,20.04
199,4.78,4.86,19.8
200,4.32,4.02,18.23
201,4.71,4.42,18.11
202,7.68,3.61,23.18
203,4.56,5.06,18.33
204,4.2,3.73,17.63
205,5.28,3.54,17.53
206,6.52,3.69,22.53
207,4.24,4.58,24.86
208,5.58,7.6,22.65
209,4.55,7.73,22.56
210,4.51,4.74,20.15
211,4.53,3.86,17.36
212,4.4,6.15,21.6
213,4.31,3.23,18.34
214,4.73,3.46,22.51
215,4.11,4.05,19.84
216,4.44,5.77,22.19
217,4.43,3.58,17.18
218,4.21,6.96,20.21
219,4.79,3.34,25.65
220,4.34,3.55,19.74
221,5.4,3.56,19.76
222,4.34,4.43,19.64
223,4.34,4.36,18.18
224,4.18,3.62,17.66
225,4.69,3.72,17.2
226,4.8,5.02,18.91
227,5.26,4.22,18.38
228,4.34,4.17,20.56
229,5.18,4.58,19.91
230,5.04,7.35,23.94
231,4.14,6.51,19.3
232,4.67,3.27,23.91
233,4.15,5.56,23.19
234,4.19,3.61,16.34
235,4.19,3.95,19.85
236,4.2,5.52,20.17
237,4.58,3.94,18.26
238,4.19,4.15,18.13
239,4.16,3.54,16.49
240,4.16,4.2,17.05
241,4.38,8.14,24.68
242,5.1,6.19,21.05
243,4.26,3.85,17.48
244,6.44,4.88,21.77
245,4.56,3.99,17.24
246,5.14,3.85,22.0
247,4.6,3.7,17.33
248,4.23,4.61,20.33
249,4.23,3.67,16.95
250,4.24,3.55,16.37
251,4.85,4.01,25.11
252,5.47,6.75,23.82
253,4.89,4.89,24.6
254,5.32,6.11,22.38
255,5.15,3.35,20.88
256,4.51,6.17,19.31
257,5.41,3.86,19.75
258,5.26,3.59,19.02
259,5.84,5.83,24.16
260,4.2,3.61,16.87
261,4.91,3.23,16.87
262,5.07,3.32,17.15
263,4.86,3.45,16.92
264,4.21,6.97,21.59
265,4.71,6.42,23.79
266,5.08,3.25,17.33
267,4.34,3.32,17.42
268,4.24,4.89,18.17
269,4.24,3.96,16.93
270,4.35,3.67,17.05
271,6.02,3.5,19.77
272,4.23,3.5,16.7
273,5.15,4.87,20.57
274,4.24,5.16,17.91
275,7.84,4.34,20.72
276,4.18,3.38,17.5
277,4.78,3.44,17.64
278,5.5,5.65,21.07
279,4.38,5.15,19.47
280,5.73,3.91,19.41
281,4.25,3.29,16.58
282,4.31,4.21,19.83
283,4.22,5.08,20.03
284,4.31,3.43,16.36
285,4.86,3.66,19.05
286,4.48,3.73,19.41
287,5.82,3.44,22.53
288,4.15,3.92,17.36
289,5.31,3.83,23.33
290,5.12,5.11,19.55
291,4.11,3.33,16.67
292,4.74,3.36,18.81
293,5.18,3.39,17.97
294,4.1,3.62,18.21
295,4.43,3.6,16.53
296,4.34,7.19,21.5
297,4.35,4.17,18.08
298,4.38,3.91,21.7
299,4.65,4.63,18.35
300,4.47,4.32,17.58
301,6.66,3.77,25.62
302,4.15,3.68,18.97
303,4.25,3.43,17.8
304,6.12,4.78,22.5
305,6.07,3.96,20.68
306,4.24,3.23,16.07
307,5.01,3.26,17.18
308,4.37,3.52,17.75
309,5.06,3.22,19.39
310,5.37,5.67,19.68
311,4.27,3.22,17.24
312,4.24,3.32,21.43
313,4.51,4.22,17.35
314,4.49,3.74,20.06
315,4.12,4.27,17.48
316,5.66,5.68,21.07
317,4.58,6.3,23.95
318,4.64,3.39,24.03
319,4.48,6.76,20.52
320,4.7,3.93,21.38
321,4.68,3.96,21.16
322,5.4,4.45,18.53
323,5.81,3.29,17.67
324,4.83,3.28,20.45
325,5.23,5.71,20.17
326,4.13,4.59,18.34
327,4.67,3.22,17.48
328,4.37,6.16,19.6
329,4.15,3.64,22.49
330,5.26,6.0,23.51
331,4.17,3.4,17.85
332,4.22,4.09,18.32
333,5.06,5.43,19.38
334,4.72,3.36,17.06
335,6.52,4.44,30.78
336,4.53,6.99,22.27
337,4.1,3.46,17.6
338,10.16,4.06,24.59
339,4.14,3.28,24.99
340,4.11,5.14,18.19
341,4.85,6.63,23.46
342,4.41,3.76,18.08
343,5.51,5.48,21.31
344,5.16,3.47,18.47
345,4.76,4.92,18.37
346,5.06,3.72,18.02
347,4.51,3.27,16.38
348,4.37,4.53,17.53
349,4.31,4.83,24.92
350,7.85,3.41,20.05
351,4.4,3.41,16.43
352,4.34,6.0,21.7
353,4.26,4.42,22.52
354,4.7,4.53,17.82
355,5.22,3.62,17.66
356,5.74,4.85,21.15
357,4.7,5.47,19.4
358,6.63,3.88,19.02
359,6.28,4.56,26.72
360,4.63,5.6,20.52
361,4.25,5.08,20.42
362,5.26,3.91,18.19
363,4.27,5.53,20.23
364,4.62,4.12,25.35
365,4.34,6.03,20.02
366,4.29,4.77,17.71
367,6.74,4.55,21.36
368,4.78,5.34,19.59
369,4.17,4.92,18.13
370,4.35,3.41,19.25
371,4.69,5.51,19.98
372,4.92,5.58,19.1
373,6.2,4.74,19.87
374,4.59,4.8,18.18
375,6.1,5.36,21.69
376,4.13,4.47,17.79
377,4.86,3.74,17.39
378,5.84,4.33,18.89
379,4.58,5.36,22.21
380,5.68,5.37,21.08
381,4.14,5.21,20.76
382,4.91,3.63,18.37
383,5.31,3.35,19.7
384,5.54,3.47,20.17
385,5.61,3.66,21.92
386,6.41,3.54,21.09
387,4.27,3.49,16.66
388,5.41,4.87,20.47
389,5.18,3.25,19.94
390,4.62,3.79,20.09
391,5.25,3.59,17.37
392,6.94,6.39,25.17
393,4.62,4.87,19.0
394,4.44,4.07,20.11
395,4.46,4.31,23.0
396,5.95,4.05,22.26
397,4.98,7.61,23.99
398,4.2,3.85,22.26
399,5.8,4.1,20.1
400,4.23,4.59,18.59
401,4.88,4.53,18.4
402,4.32,5.63,19.85
403,6.18,5.09,20.0
404,4.7,4.93,18.82
405,4.68,3.87,17.25
406,4.34,5.79,20.86
407,4.34,3.59,21.41
408,5.8,3.9,21.33
409,5.1,3.28,16.95
410,5.49,3.79,21.55
411,5.55,3.6,18.3
412,4.27,5.08,19.74
413,4.75,3.21,16.89
414,4.86,4.19,17.75
415,4.3,3.74,18.74
416,5.33,3.8,20.25
417,4.79,5.09,21.84
418,4.99,4.81,19.49
419,4.43,3.52,17.42
420,4.87,3.88,19.12
421,7.54,3.84,19.91
422,4.53,5.71,20.24
423,4.33,5.78,19.64
424,4.49,3.32,18.78
425,4.2,3.51,18.77
426,5.46,3.21,19.03
427,4.98,3.39,17.62
428,5.17,3.65,19.78
429,4.26,5.02,22.55
430,4.19,5.4,20.11
431,4.46,3.69,18.47
432,5.49,3.29,17.82
433,5.61,3.75,19.18
434,4.95,3.73,17.6
435,5.03,4.49,21.0
436,7.17,4.73,21.78
437,4.94,3.26,21.02
438,4.18,3.23,16.41
439,4.82,6.41,21.1
440,4.98,3.29,21.74
441,5.12,5.93,21.33
442,4.46,4.6,17.84
443,5.49,3.26,17.83
444,4.19,3.66,17.18
445,4.4,4.4,18.02
446,7.09,3.91,22.55
447,4.63,3.34,19.05
448,5.54,6.1,20.39
449,4.56,5.34,18.92
450,8.52,3.53,20.79
451,5.7,3.39,25.81
452,4.45,3.88,17.39
453,4.3,6.41,20.41
454,4.36,3.58,23.39
455,4.13,4.27,20.77
456,7.07,6.59,26.03
457,4.56,5.62,21.41
458,4.3,3.62,18.33
459,4.13,4.58,20.93
460,4.48,3.96,18.41
461,5.87,3.49,18.47
462,4.36,3.94,18.34
463,4.96,3.8,17.67
464,4.2,3.49,18.94
465,5.82,3.74,18.93
466,4.65,4.73,18.09
467,4.13,3.97,18.27
468,4.81,4.62,17.97
469,4.54,3.61,21.2
470,5.69,3.3,17.91
471,6.71,3.34,18.94
472,4.43,4.65,17.84
473,4.85,3.81,19.57
474,4.18,4.15,18.61
475,4.29,3.36,16.21
476,5.82,5.15,23.21
477,4.58,6.69,21.42
478,4.77,5.68,20.56
479,4.97,4.36,18.42
480,5.81,3.28,17.77
481,4.79,3.45,18.87
482,4.23,5.99,21.56
483,5.47,7.9,22.16
484,4.45,3.26,21.09
485,5.17,4.38,18.51
486,5.3,3.67,22.07
487,5.14,4.03,21.09
488,6.97,3.85,19.41
489,4.49,3.28,16.43
490,4.16,4.4,17.2
491,4.12,3.52,16.61
492,6.33,4.49,30.2
493,4.47,4.28,17.3
494,4.71,4.21,18.02
495,4.27,4.25,21.41
496,5.11,6.32,27.16
497,4.99,4.24,17.98
498,4.14,5.62,20.9
499,4.93,4.51,18.3
500,4.48,3.92,16.95
501,4.84,5.58,20.27
502,4.68,4.45,17.77
503,4.76,5.1,19.33
504,4.54,3.89,21.91
505,6.65,3.55,19.19
506,4.8,4.57,22.4
507,6.23,4.13,23.35
508,4.77,3.8,19.46
509,4.42,4.22,19.66
510,4.31,3.24,17.29
511,4.31,3.26,16.16
512,5.39,3.83,21.05
513,5.42,3.73,19.28
514,6.04,3.48,21.3
515,5.19,3.33,17.49
516,4.15,3.86,16.64
517,4.18,4.0,20.23
518,5.31,3.53,17.99
519,4.72,3.62,18.11
520,4.52,4.66,19.5
521,4.23,4.47,21.45
522,4.79,4.24,21.21
523,4.3,5.51,18.51
524,4.34,5.29,21.82
525,5.37,3.38,17.38
526,5.3,3.35,17.49
527,6.39,3.35,20.16
528,4.49,12.42,27.5
529,4.93,3.86,18.21
530,4.25,7.55,23.05
531,4.12,4.23,22.37
532,6.03,4.19,19.18
533,5.54,4.23,21.57
534,6.76,4.48,21.34
535,4.22,3.45,22.45
536,5.19,4.38,23.04
537,4.92,4.2,19.67
538,4.71,3.53,16.77
539,4.49,3.33,23.04
540,4.18,5.27,19.55
541,4.31,7.1,21.19
542,5.2,3.46,17.8
543,5.81,4.42,22.1
544,4.43,3.95,17.23
545,4.7,3.58,16.82
546,4.21,4.44,19.73
547,4.6,4.93,23.82
548,4.97,3.67,20.82
549,6.51,4.59,20.01
550,4.56,4.18,19.44
551,7.37,3.26,23.1
552,5.08,5.84,22.94
553,6.06,5.46,22.24
554,4.49,3.61,19.15
555,4.93,4.72,23.83
556,4.26,4.48,17.9
557,4.35,3.65,17.73
558,4.61,3.2,16.62
559,4.69,4.86,26.25
560,5.65,3.33,17.83
561,5.72,4.7,26.05
562,5.7,4.34,20.77
563,4.66,10.0,25.46
564,5.16,3.54,17.51
565,5.96,4.04,25.24
566,4.19,3.26,17.08
567,4.22,3.82,16.61
568,4.85,4.95,20.3
569,6.63,3.34,19.53
570,4.81,5.38,18.91
571,6.76,3.3,19.15
572,4.38,3.37,17.22
573,7.7,3.42,19.64
574,5.5,4.68,19.02
575,4.47,3.82,17.02
576,4.15,3.49,21.79
577,4.68,4.37,21.42
578,4.16,4.08,17.21
579,4.51,4.13,20.94
580,5.3,5.02,21.62
581,4.3,3.89,16.84
582,4.44,5.47,18.55
583,6.42,3.65,18.86
584,4.44,3.62,17.87
585,4.1,5.45,20.35
586,4.27,5.95,25.7
587,4.95,3.35,18.95
588,4.12,3.37,25.06
589,4.18,3.25,16.46
590,4.28,3.54,18.61
591,6.36,4.39,21.1
592,4.4,4.47,18.29
593,4.33,3.4,16.33
594,4.83,3.31,18.28
595,4.11,4.31,17.59
596,4.83,3.69,22.23
597,6.08,3.61,22.91
598,5.52,3.49,19.36
599,4.64,4.04,19.64
600,4.14,3.52,18.4
601,4.53,4.43,19.73
602,5.52,8.53,26.43
603,5.05,6.79,23.57
604,5.71,5.36,21.34
605,4.22,3.27,19.36
606,4.67,3.57,17.69
607,4.31,4.12,18.13
608,4.32,4.28,17.92
609,4.1,5.46,19.3
610,4.23,5.63,23.28
611,5.64,4.28,18.63
612,4.17,5.03,17.84
613,4.16,3.47,18.64
614,4.5,4.02,17.06
615,4.92,5.66,20.54
616,4.14,3.57,17.65
617,5.94,3.79,19.49
618,4.32,3.34,16.16
619,4.35,3.7,17.02
620,4.84,4.98,18.95
621,4.19,5.14,18.74
622,4.29,3.52,16.61
623,6.26,3.93,22.2
624,4.79,7.59,21.09
625,4.77,3.43,17.0
626,6.25,3.61,22.55
627,5.69,3.77,18.05
628,4.68,3.95,17.88
629,5.1,4.07,19.92
630,5.02,4.16,21.95
631,5.34,3.81,17.72
632,4.65,3.45,16.73
633,4.9,4.47,18.87
634,4.58,5.45,20.24
635,4.28,5.21,18.45
636,4.39,4.39,18.52
637,5.65,5.36,21.12
638,4.2,3.37,18.52
639,4.24,4.45,21.83
640,4.2,4.37,19.4
641,5.66,4.3,20.02
642,4.22,3.66,17.22
643,4.2,4.47,21.15
644,6.36,5.12,22.74
645,4.41,3.77,20.42
646,5.36,4.55,19.18
647,4.52,3.66,17.78
648,5.84,4.02,19.73
649,4.29,3.66,17.37
650,5.91,6.29,22.68
651,4.54,5.89,20.37
652,5.66,3.3,18.51
653,4.46,4.76,18.48
654,4.43,3.93,17.23
655,6.92,4.58,23.28
656,5.62,4.2,22.01
657,5.93,6.24,22.43
658,4.31,5.47,18.34
659,5.03,7.27,21.31
660,5.6,4.22,20.19
661,5.08,4.67,19.6
662,5.06,3.53,18.41
663,4.14,3.76,17.79
664,4.56,8.33,21.45
665,4.48,4.96,19.03
666,5.02,3.44,17.83
667,4.47,5.26,18.26
668,4.48,4.28,25.12
669,4.34,4.58,18.16
670,4.64,4.31,17.61
671,4.38,3.95,22.69
672,4.33,3.6,16.5
673,4.43,4.35,17.54
674,4.24,3.5,16.73
675,5.97,3.42,18.09
676,5.26,6.34,20.5
677,4.72,3.84,17.78
678,4.88,6.84,21.7
679,4.73,3.36,16.67
680,4.78,5.22,19.45
681,4.55,4.04,19.7
682,4.53,3.61,16.93
683,5.55,3.53,20.5
684,4.96,4.49,18.64
685,6.8,3.73,20.42
686,4.32,3.66,17.42
687,4.38,4.17,17.97
688,4.38,3.27,18.11
689,5.23,4.67,21.57
690,4.57,4.01,18.35
691,4.34,4.47,18.09
692,4.98,3.26,21.26
693,4.59,4.09,17.45
694,5.14,3.22,17.02
695,4.37,5.95,18.9
696,4.62,3.4,19.14
697,4.22,4.61,17.54
698,5.98,3.63,20.3
699,4.96,3.66,18.97
700,4.61,3.23,17.88
701,4.17,3.45,19.91
702,4.72,9.78,24.4
703,4.17,3.3,20.17
704,4.65,3.29,21.47
705,4.59,3.8,17.29
706,5.14,5.57,19.78
707,4.18,4.21,18.9
708,4.76,4.2,18.83
709,4.39,4.45,18.22
710,4.34,3.24,19.4
711,4.45,5.7,24.21
712,4.59,4.78,21.23
713,4.54,4.05,20.76
714,6.04,5.62,20.24
715,4.78,5.61,19.13
716,4.65,4.24,17.89
717,4.83,4.31,19.89
718,4.91,7.71,23.13
719,4.12,4.66,17.45
720,4.37,4.0,16.93
721,4.27,4.56,24.14
722,4.53,3.57,19.38
723,4.95,4.27,19.07
724,5.76,3.51,18.44
725,4.64,3.87,25.8
726,4.13,5.19,17.96
727,4.65,4.99,19.81
728,4.67,3.31,18.76
729,4.34,6.02,20.24
730,5.21,7.04,23.03
731,4.38,3.53,18.47
732,5.08,3.39,19.91
733,5.23,3.83,21.02
734,5.28,3.68,20.65
735,4.94,5.0,20.34
736,4.13,3.43,19.27
737,5.1,3.74,20.3
738,4.29,4.45,19.55
739,5.13,5.6,19.63
740,5.38,3.58,17.78
741,4.16,3.65,17.27
742,4.41,6.12,21.71
743,4.28,5.28,18.41
744,5.72,3.94,19.15
745,5.28,3.88,19.89
746,4.13,4.3,19.5
747,4.2,4.51,23.23
748,4.62,3.35,17.38
749,6.64,3.29,22.68
750,5.14,6.33,20.09
751,4.75,6.9,24.74
752,4.93,3.94,22.53
753,4.82,4.46,18.05
754,4.12,4.5,21.21
755,4.56,4.46,20.19
756,4.12,3.97,19.79
757,4.41,3.53,17.2
758,4.6,5.53,20.29
759,4.12,3.36,23.26
760,4.87,4.09,23.06
761,4.29,4.92,25.44
762,4.22,3.43,18.06
763,4.39,3.9,22.09
764,5.42,3.97,18.57
765,4.27,6.36,22.42
766,5.63,3.59,18.1
767,5.54,3.22,17.67
768,4.47,4.24,20.0
769,4.22,4.94,23.16
770,4.36,6.03,18.99
771,4.41,3.79,19.71
772,4.31,4.11,17.58
773,4.22,3.33,21.06
774,4.98,4.14,18.0
775,5.2,3.34,22.3
776,5.12,3.2,18.94
777,4.11,6.24,21.76
778,4.17,4.12,16.85
779,5.03,3.95,18.91
780,5.24,4.12,18.3
781,5.25,5.92,20.89
782,5.01,4.6,21.98
783,4.42,7.65,30.52
784,7.2,4.6,22.2
785,7.71,3.71,22.16
786,5.06,3.98,17.6
787,4.67,4.36,19.73
788,5.1,5.61,23.07
789,7.63,4.62,25.47
790,4.12,3.62,20.65
791,4.29,4.26,18.97
792,4.45,4.14,17.39
793,4.89,4.35,17.86
794,4.56,3.54,17.04
795,4.45,5.82,19.25
796,4.29,3.62,17.16
797,4.92,3.37,20.82
798,6.81,3.87,19.61
799,4.23,3.37,16.6
800,4.13,3.97,27.25
801,4.49,3.64,19.31
802,4.94,4.04,17.56
803,7.96,3.71,21.12
804,4.49,3.59,17.21
805,7.5,4.6,21.57
806,4.41,3.22,16.94
807,4.89,4.53,19.71
808,4.59,3.96,18.51
809,6.27,5.4,23.09
810,4.56,3.96,17.51
811,4.76,4.31,20.95
812,7.6,4.12,21.24
813,5.02,4.82,21.37
814,4.74,4.42,18.45
815,5.5,10.08,24.67
816,4.65,3.24,20.39
817,4.3,8.76,22.33
818,4.49,4.34,17.52
819,7.77,6.09,26.67
820,4.33,4.18,17.58
821,5.09,3.66,20.98
822,4.3,4.1,18.61
823,5.22,3.59,19.17
824,4.28,3.43,18.12
825,4.33,7.5,27.21
826,5.15,4.84,20.98
827,4.1,3.54,22.3
828,7.23,4.8,22.27
829,5.12,3.96,18.44
830,4.15,7.37,21.33
831,4.18,3.32,16.53
832,4.79,5.47,24.37
833,4.69,5.92,29.15
834,5.1,4.13,18.07
835,4.98,3.24,20.85
836,4.36,3.82,17.11
837,4.73,3.98,17.85
838,4.79,3.96,17.41
839,4.57,7.88,21.36
840,4.34,3.75,20.75
841,4.31,5.12,18.88
842,4.27,4.5,17.98
843,4.85,7.49,20.86
844,5.38,3.29,18.03
845,6.15,4.16,19.02
846,5.09,5.07,19.21
847,7.01,3.28,18.85
848,4.97,5.32,20.42
849,4.24,3.45,17.51
850,6.18,4.87,20.84
851,6.21,6.72,22.03
852,4.11,3.69,17.01
853,4.53,3.21,18.4
854,5.43,5.08,21.46
855,4.21,4.4,18.59
856,4.18,4.9,18.35
857,4.22,3.23,19.39
858,4.79,3.45,17.54
859,4.62,4.34,18.3
860,4.84,3.41,17.27
861,4.14,3.26,16.38
862,5.16,7.19,21.99
863,4.44,3.67,17.23
864,5.06,3.9,17.92
865,4.54,4.23,19.94
866,4.2,3.59,16.71
867,5.49,4.74,20.87
868,4.59,3.23,22.55
869,4.17,3.69,16.59
870,4.64,6.76,21.08
871,4.33,3.57,20.09
872,4.42,3.48,18.04
873,4.49,3.33,18.05
874,5.01,3.43,32.26
875,4.83,3.52,21.26
876,4.13,9.44,22.83
877,5.05,3.48,17.07
878,5.82,5.11,20.24
879,4.48,3.42,19.92
880,4.17,3.55,16.49
881,4.66,4.92,23.52
882,6.71,3.31,18.73
883,5.11,4.14,19.72
884,4.36,4.09,17.81
885,5.0,3.45,18.94
886,5.49,4.32,18.42
887,4.65,4.27,18.26
888,4.64,3.86,17.33
889,4.23,3.62,16.86
890,5.38,3.31,20.17
891,4.72,5.68,21.8
892,4.11,3.69,17.69
893,6.46,3.46,18.73
894,4.28,8.32,24.08
895,4.9,6.23,28.08
896,4.31,4.17,20.95
897,4.88,4.04,18.29
898,4.14,3.74,16.42
899,4.53,4.17,20.17
900,4.12,3.84,19.17
901,4.13,4.81,17.71
902,4.32,9.32,27.92
903,4.75,3.87,17.61
904,4.77,3.22,16.81
905,5.26,4.74,19.99
906,4.37,6.16,19.15
907,5.46,3.31,18.04
908,5.2,9.06,24.24
909,4.48,4.72,18.38
910,5.58,3.43,17.9
911,5.63,4.84,19.28
912,4.37,3.39,19.08
913,4.54,3.32,20.23
914,4.73,3.71,19.15
915,5.16,3.38,18.41
916,4.17,5.63,19.62
917,4.99,3.33,19.43
918,4.47,4.09,18.08
919,5.19,3.44,17.16
920,4.4,4.04,17.05
921,7.17,4.16,21.11
922,4.73,3.65,18.12
923,4.16,4.43,17.61
924,4.14,4.21,17.33
925,4.7,5.42,19.56
926,4.66,4.84,18.29
927,4.19,4.03,23.33
928,4.59,4.95,18.38
929,4.45,4.24,23.03
930,5.26,3.38,24.01
931,4.2,3.23,16.28
932,4.39,3.51,18.32
933,4.91,4.07,19.81
934,4.72,4.26,18.65
935,6.66,3.27,20.67
936,4.18,5.45,21.71
937,4.22,4.86,19.59
938,5.94,6.65,30.82
939,4.75,3.85,17.94
940,4.84,4.92,18.87
941,6.72,3.94,20.38
942,4.26,4.03,18.87
943,4.28,4.91,18.56
944,5.88,5.44,26.73
945,4.25,4.57,18.24
946,4.34,3.41,17.84
947,4.21,4.22,18.81
948,4.37,4.54,18.66
949,4.71,6.24,19.76
950,4.21,4.68,18.25
951,4.19,3.68,16.52
952,4.63,4.69,17.85
953,4.53,5.06,19.28
954,6.28,10.03,26.13
955,5.42,6.31,20.5
956,4.12,3.79,19.79
957,5.76,4.55,18.89
958,7.24,4.48,21.61
959,4.93,3.45,25.78
960,4.68,3.39,17.26
961,6.62,4.63,20.82
962,4.73,4.7,18.69
963,4.21,4.66,17.6
964,4.15,3.71,17.36
965,4.39,3.36,17.83
966,5.32,3.69,19.03
967,4.31,8.07,21.71
968,5.34,3.53,19.97
969,4.92,4.25,19.0
970,4.85,3.52,18.78
971,4.92,3.9,22.96
972,4.21,3.68,20.35
973,4.31,5.19,22.33
974,4.54,3.5,20.55
975,4.1,3.25,18.37
976,5.12,4.31,18.37
977,4.16,3.78,18.19
978,4.73,4.34,19.59
979,6.12,4.53,21.31
980,4.55,5.05,18.89
981,5.02,3.64,19.33
982,4.25,7.72,20.88
983,6.72,3.24,19.08
984,5.57,5.12,19.38
985,5.05,4.12,20.49
986,5.93,3.68,19.96
987,5.55,3.32,17.7
988,4.31,3.21,16.81
989,4.28,3.67,16.65
990,8.64,4.2,30.48
991,4.74,4.1,18.43
992,4.42,3.33,16.67
993,4.17,3.52,17.41
994,4.3,4.2,17.2
995,4.88,3.89,24.72
