hour,zone_temp_C,zone_rh_pct,co2_ppm,occupancy_frac,hvac_power_kw,hvac_power_kw_na,lighting_kw,pmv,ppd_pct,ashrae55_ok,outdoor_temp_C,peak_demand_kw
24,21.97,56.8,430.0,0.04,90.0,68.67,0.7,0.06,94.7,1,33.08,90.7
25,23.02,56.9,400.0,0.05,113.29,86.44,0.59,-0.335,95.3,1,34.76,113.89
26,23.59,60.5,413.0,0.1,135.0,103.0,0.69,0.12,94.6,1,36.06,135.69
27,24.11,59.4,404.0,0.3,153.64,117.23,0.53,0.528,92.9,1,36.9,154.16
28,24.86,58.5,427.0,0.18,167.94,128.14,0.7,0.113,94.6,1,37.21,168.65
29,25.26,56.0,400.0,0.09,176.93,135.0,0.57,0.589,92.5,1,36.98,177.5
30,25.18,53.7,400.0,0.05,180.0,137.34,0.4,0.39,93.6,1,36.22,180.4
31,24.91,53.0,400.0,0.11,176.93,135.0,0.7,0.355,93.7,1,34.98,177.63
32,24.17,52.7,1050.0,1.0,218.32,166.58,10.12,0.55,92.8,1,33.35,228.45
33,23.94,51.0,984.0,1.0,199.73,152.4,10.27,0.669,92.1,1,31.43,210.0
34,23.47,48.6,982.0,1.0,175.5,133.91,10.19,0.236,94.2,1,29.36,185.69
35,22.91,42.3,986.0,1.0,147.28,112.38,10.84,0.404,93.5,1,27.27,158.12
36,21.26,39.2,992.0,1.0,117.0,89.27,10.62,0.067,94.7,1,25.32,127.62
37,21.67,42.2,988.0,1.0,147.28,112.38,10.0,-0.356,95.3,1,23.63,157.28
38,20.8,42.6,1017.0,1.0,175.5,133.91,10.83,-0.03,95.0,1,22.31,186.33
39,19.73,41.1,1003.0,1.0,199.73,152.4,10.28,-0.092,95.1,1,21.46,210.01
40,19.09,41.1,982.0,1.0,218.32,166.58,10.01,-0.354,95.3,1,21.13,228.34
41,18.91,41.3,1022.0,1.0,230.01,175.5,10.08,-0.738,94.8,0,21.35,240.09
42,18.49,45.8,1008.0,1.0,234.0,178.54,10.55,-0.796,94.7,0,22.09,244.55
43,19.09,48.1,440.0,0.02,176.93,135.0,0.18,-0.389,95.3,1,23.32,177.12
44,19.47,50.1,409.0,0.08,167.94,128.14,0.63,-0.339,95.3,1,24.94,168.57
45,20.5,49.9,400.0,0.2,153.64,117.23,0.86,-0.212,95.2,1,26.84,154.5
46,20.9,52.6,400.0,0.24,135.0,103.01,0.41,-0.687,94.9,1,28.9,135.41
47,22.02,56.5,404.0,0.28,113.29,86.44,0.87,-0.303,95.3,1,30.96,114.16
48,22.23,60.5,411.0,0.1,90.0,68.67,0.21,-0.115,95.1,1,32.9,90.21
49,22.5,61.3,400.0,0.08,113.29,86.44,0.64,0.344,93.8,1,34.58,113.93
50,24.55,59.2,400.0,0.26,135.0,103.0,0.89,0.254,94.1,1,35.89,135.89
51,24.14,56.1,419.0,0.11,153.64,117.23,0.55,0.581,92.6,1,36.72,154.19
52,24.01,61.6,413.0,0.12,167.94,128.14,0.78,0.236,94.2,1,37.04,168.72
53,25.2,59.9,401.0,0.07,176.93,135.0,0.61,0.113,94.6,1,36.81,177.54
54,24.4,55.7,420.0,0.02,180.0,137.34,0.16,0.669,92.1,1,36.05,180.16
55,25.05,52.2,400.0,0.06,176.93,135.0,0.92,0.439,93.3,1,34.81,177.85
56,24.56,49.9,1000.0,1.0,218.32,166.58,10.2,0.444,93.3,1,33.17,228.53
57,24.59,49.7,1019.0,1.0,199.73,152.4,10.79,0.105,94.6,1,31.26,210.52
58,24.18,46.5,1024.0,1.0,175.5,133.91,10.09,0.278,94.0,1,29.19,185.59
59,22.83,42.4,1020.0,1.0,147.28,112.38,10.49,0.172,94.4,1,27.1,157.77
60,22.02,46.0,977.0,1.0,117.0,89.27,10.58,0.004,94.9,1,25.15,127.58
61,21.82,37.4,1011.0,1.0,147.28,112.38,10.68,0.005,94.9,1,23.46,157.96
62,20.34,38.8,1001.0,1.0,175.5,133.91,10.7,-0.092,95.1,1,22.14,186.2
63,20.14,39.1,1012.0,1.0,199.73,152.4,10.06,-0.101,95.1,1,21.29,209.79
64,19.9,41.3,1055.0,1.0,218.32,166.58,10.32,-0.418,95.3,1,20.96,228.65
65,18.94,44.9,994.0,1.0,230.01,175.5,10.67,-0.144,95.1,1,21.17,240.68
66,19.09,46.3,1001.0,1.0,234.0,178.54,10.37,-0.756,94.8,0,21.92,244.37
67,19.39,47.2,400.0,0.01,176.93,135.0,0.45,-0.295,95.3,1,23.15,177.38
68,20.31,46.9,400.0,0.3,167.94,128.14,0.1,-0.423,95.3,1,24.76,168.04
69,19.52,54.0,400.0,0.28,153.64,117.23,0.6,-0.374,95.3,1,26.67,154.24
70,20.68,52.3,400.0,0.11,135.0,103.01,0.33,-0.338,95.3,1,28.72,135.33
71,22.15,55.9,400.0,0.18,113.29,86.44,0.11,-0.019,94.9,1,30.79,113.41
72,22.74,58.3,400.0,0.11,90.0,68.67,0.5,0.372,93.6,1,32.73,90.5
73,22.9,57.9,400.0,0.25,113.29,86.44,0.4,0.394,93.5,1,34.41,113.7
74,23.73,58.3,400.0,0.03,135.0,103.0,0.63,0.432,93.4,1,35.72,135.63
75,24.62,61.5,400.0,0.05,153.64,117.23,0.23,0.327,93.8,1,36.55,153.87
76,25.11,61.8,431.0,0.22,167.94,128.14,0.15,0.762,91.5,0,36.87,168.09
77,25.86,57.2,407.0,0.07,176.93,135.0,0.34,0.568,92.7,1,36.64,177.28
78,25.85,51.8,422.0,0.3,180.0,137.34,0.92,0.291,94.0,1,35.88,180.92
79,24.49,53.6,429.0,0.25,176.93,135.0,0.21,0.321,93.9,1,34.64,177.15
80,24.09,49.1,1042.0,1.0,218.32,166.58,10.3,0.758,91.5,0,33.0,228.62
81,24.14,48.6,1029.0,1.0,199.73,152.4,10.78,0.58,92.6,1,31.09,210.52
82,22.87,46.0,973.0,1.0,175.5,133.91,10.76,0.504,93.0,1,29.02,186.26
83,23.73,39.5,1026.0,1.0,147.28,112.38,10.39,0.162,94.5,1,26.93,157.68
84,21.55,40.8,1010.0,1.0,117.0,89.27,10.81,-0.17,95.2,1,24.98,127.81
85,21.38,41.7,1040.0,1.0,147.28,112.38,10.75,-0.482,95.2,1,23.28,158.03
86,20.37,39.8,1001.0,1.0,175.5,133.91,10.28,-0.416,95.3,1,21.97,185.78
87,19.4,38.0,1034.0,1.0,199.73,152.4,10.62,-0.647,95.0,1,21.11,210.35
88,20.31,42.4,1003.0,1.0,218.32,166.58,10.26,0.033,94.8,1,20.79,228.59
89,19.13,39.3,1004.0,1.0,230.01,175.5,10.52,-0.594,95.1,1,21.0,240.53
90,20.28,45.1,1020.0,1.0,234.0,178.54,10.44,-0.611,95.1,1,21.75,244.44
91,20.13,45.9,400.0,0.24,176.93,135.0,0.48,-0.595,95.1,1,22.97,177.41
92,19.73,50.4,417.0,0.15,167.94,128.14,0.95,-0.782,94.7,0,24.59,168.9
93,19.16,51.7,400.0,0.16,153.64,117.23,0.79,-0.718,94.9,0,26.5,154.43
94,20.67,55.6,415.0,0.28,135.0,103.01,0.62,0.074,94.7,1,28.55,135.62
95,22.71,59.5,400.0,0.24,113.29,86.44,0.05,0.229,94.2,1,30.62,113.35
96,22.56,59.8,417.0,0.26,90.0,68.67,0.13,0.239,94.2,1,32.56,90.13
97,23.04,60.9,400.0,0.2,113.29,86.44,0.64,0.233,94.2,1,34.24,113.93
98,23.55,61.2,400.0,0.11,135.0,103.0,0.92,0.008,94.9,1,35.54,135.92
99,24.92,56.3,402.0,0.28,153.64,117.23,0.05,0.612,92.4,1,36.38,153.69
100,25.14,59.0,402.0,0.08,167.94,128.14,0.99,0.436,93.4,1,36.7,168.93
101,25.4,57.9,400.0,0.1,176.93,135.0,0.47,0.592,92.5,1,36.47,177.4
102,25.93,56.5,422.0,0.07,180.0,137.34,0.38,0.561,92.7,1,35.7,180.38
103,25.81,52.9,428.0,0.21,176.93,135.0,0.68,0.64,92.2,1,34.47,177.62
104,25.19,51.9,1076.0,1.0,218.32,166.58,10.99,0.629,92.3,1,32.83,229.31
105,23.7,46.0,1001.0,1.0,199.73,152.4,10.2,0.326,93.8,1,30.91,209.94
106,23.39,49.4,1031.0,1.0,175.5,133.91,10.96,0.46,93.2,1,28.84,186.46
107,22.85,44.4,975.0,1.0,147.28,112.38,10.12,0.072,94.7,1,26.76,157.41
108,22.37,39.7,984.0,1.0,117.0,89.27,10.81,0.204,94.3,1,24.81,127.81
109,22.36,43.2,975.0,1.0,147.28,112.38,10.7,0.08,94.7,1,23.11,157.99
110,21.92,37.8,997.0,1.0,175.5,133.91,10.49,-0.587,95.1,1,21.79,185.99
111,20.47,40.2,1007.0,1.0,199.73,152.4,10.55,-0.345,95.3,1,20.94,210.28
112,20.08,41.3,1031.0,1.0,218.32,166.58,10.98,-0.863,94.5,0,20.61,229.3
113,18.75,41.8,1010.0,1.0,230.01,175.5,10.77,-0.789,94.7,0,20.83,240.78
114,19.2,44.4,1040.0,1.0,234.0,178.54,10.99,-0.486,95.2,1,21.58,244.99
115,19.24,47.1,441.0,0.02,176.93,135.0,0.11,-0.509,95.2,1,22.8,177.05
116,19.5,47.4,401.0,0.2,167.94,128.14,0.4,-0.484,95.2,1,24.42,168.34
117,20.59,52.7,400.0,0.24,153.64,117.23,0.25,-0.22,95.2,1,26.32,153.89
118,20.7,54.6,400.0,0.16,135.0,103.01,0.33,-0.324,95.3,1,28.38,135.33
119,20.7,60.6,400.0,0.25,113.29,86.44,0.97,-0.361,95.3,1,30.45,114.26
120,22.85,61.4,400.0,0.19,90.0,68.67,0.55,-0.306,95.3,1,32.39,90.55
121,23.81,58.1,400.0,0.19,113.29,86.44,0.83,-0.201,95.2,1,34.07,114.13
122,24.08,59.7,400.0,0.07,135.0,103.0,0.01,0.076,94.7,1,35.37,135.01
123,24.48,58.4,416.0,0.29,153.64,117.23,0.52,0.206,94.3,1,36.21,154.16
124,24.59,58.4,409.0,0.15,167.94,128.14,0.96,0.718,91.8,0,36.52,168.9
125,24.93,59.1,430.0,0.29,176.93,135.0,0.34,0.519,92.9,1,36.29,177.27
126,25.99,55.2,412.0,0.12,180.0,137.34,0.49,0.298,94.0,1,35.53,180.49
127,24.98,52.0,400.0,0.14,176.93,135.0,0.3,0.652,92.2,1,34.29,177.23
128,26.06,51.7,423.0,0.21,167.94,128.14,0.71,0.595,92.5,1,32.66,168.65
129,25.06,44.0,400.0,0.24,153.64,117.23,0.01,0.268,94.1,1,30.74,153.65
130,24.14,44.6,429.0,0.07,135.0,103.0,0.57,0.508,93.0,1,28.67,135.57
131,24.6,46.0,400.0,0.3,113.29,86.44,0.11,0.339,93.8,1,26.59,113.41
132,23.11,44.4,400.0,0.01,90.0,68.67,0.45,-0.06,95.0,1,24.63,90.45
133,21.48,43.1,416.0,0.02,113.29,86.44,0.5,-0.137,95.1,1,22.94,113.8
134,20.47,37.5,400.0,0.03,135.0,103.0,0.41,-0.318,95.3,1,21.62,135.41
135,20.15,37.8,435.0,0.17,153.64,117.23,0.05,-0.243,95.2,1,20.77,153.69
136,19.84,40.1,429.0,0.19,167.94,128.14,0.56,-0.891,94.4,0,20.44,168.5
137,19.21,42.6,400.0,0.27,176.93,135.0,0.25,-0.291,95.3,1,20.66,177.18
138,18.93,43.1,446.0,0.13,180.0,137.34,0.44,-0.784,94.7,0,21.41,180.44
139,19.72,43.6,400.0,0.24,176.93,135.0,0.09,-0.611,95.1,1,22.63,177.02
140,20.35,51.4,414.0,0.18,167.94,128.14,0.16,-0.011,94.9,1,24.25,168.11
141,21.31,53.7,443.0,0.12,153.64,117.23,0.62,-0.415,95.3,1,26.15,154.26
142,21.05,53.4,400.0,0.17,135.0,103.01,0.99,-0.174,95.2,1,28.21,135.99
143,22.04,58.2,463.0,0.06,113.29,86.44,0.98,-0.039,95.0,1,30.28,114.27
144,21.59,60.3,405.0,0.23,90.0,68.67,0.11,0.079,94.7,1,32.22,90.11
145,23.72,54.8,411.0,0.16,113.29,86.44,0.58,0.052,94.8,1,33.9,113.87
146,23.52,61.3,435.0,0.25,135.0,103.0,0.9,0.347,93.8,1,35.2,135.9
147,24.8,59.6,413.0,0.11,153.64,117.23,0.4,0.348,93.8,1,36.04,154.04
148,25.11,53.9,400.0,0.06,167.94,128.14,0.8,0.093,94.7,1,36.35,168.75
149,25.31,59.4,400.0,0.15,176.93,135.0,0.14,0.259,94.1,1,36.12,177.08
150,24.8,55.6,400.0,0.15,180.0,137.34,0.99,0.475,93.2,1,35.36,180.99
151,25.06,49.8,400.0,0.1,176.93,135.0,0.64,0.595,92.5,1,34.12,177.58
152,24.66,51.3,400.0,0.18,167.94,128.14,0.62,0.548,92.8,1,32.49,168.56
153,24.37,48.2,400.0,0.09,153.64,117.23,0.58,0.398,93.5,1,30.57,154.22
154,24.64,46.5,400.0,0.18,135.0,103.0,0.9,0.258,94.1,1,28.5,135.9
155,23.15,39.4,400.0,0.16,113.29,86.44,0.31,0.111,94.6,1,26.42,113.6
156,22.22,41.0,416.0,0.01,90.0,68.67,0.21,0.072,94.7,1,24.46,90.21
157,22.11,38.5,431.0,0.2,113.29,86.44,0.53,-0.317,95.3,1,22.77,113.83
158,21.23,39.7,400.0,0.12,135.0,103.0,0.98,-0.236,95.2,1,21.45,135.98
159,21.46,36.8,421.0,0.24,153.64,117.23,0.98,-0.169,95.2,1,20.6,154.62
160,20.48,38.9,400.0,0.22,167.94,128.14,0.09,-0.406,95.3,1,20.27,168.03
161,18.68,45.7,408.0,0.24,176.93,135.0,0.05,-0.675,95.0,1,20.49,176.98
162,19.98,46.9,436.0,0.08,180.0,137.34,0.81,-0.695,94.9,1,21.23,180.81
163,20.03,48.9,415.0,0.22,176.93,135.0,0.64,-0.221,95.2,1,22.46,177.58
164,20.82,52.5,400.0,0.2,167.94,128.14,0.63,-0.457,95.2,1,24.08,168.57
165,20.37,48.4,400.0,0.28,153.64,117.23,0.7,-0.639,95.0,1,25.98,154.34
166,21.64,54.5,457.0,0.2,135.0,103.01,0.03,-0.449,95.3,1,28.04,135.03
167,21.64,57.2,458.0,0.03,113.29,86.44,0.41,-0.463,95.2,1,30.11,113.7
168,22.75,57.6,421.0,0.16,90.0,68.67,0.48,-0.327,95.3,1,32.05,90.48
169,22.85,55.8,440.0,0.19,113.29,86.44,0.66,0.189,94.4,1,33.73,113.95
170,23.42,61.8,400.0,0.28,135.0,103.0,0.58,0.134,94.5,1,35.03,135.58
171,25.17,61.0,423.0,0.08,153.64,117.23,0.76,0.108,94.6,1,35.87,154.4
172,25.22,57.6,425.0,0.11,167.94,128.14,0.54,0.681,92.0,1,36.18,168.49
173,24.88,59.1,400.0,0.25,176.93,135.0,0.63,0.425,93.4,1,35.95,177.57
174,26.03,55.7,400.0,0.18,180.0,137.34,0.01,0.505,93.0,1,35.19,180.01
175,24.16,54.3,426.0,0.13,176.93,135.0,0.64,0.631,92.3,1,33.95,177.57
176,24.82,48.6,1056.0,1.0,218.32,166.58,10.51,0.133,94.5,1,32.32,228.84
177,23.92,48.3,1037.0,1.0,199.73,152.4,10.41,0.096,94.7,1,30.4,210.14
178,24.74,45.9,1010.0,1.0,175.5,133.91,10.7,0.254,94.1,1,28.33,186.2
179,23.2,42.8,1008.0,1.0,147.28,112.38,10.0,-0.537,95.2,1,26.24,157.28
180,22.68,36.2,1010.0,1.0,117.0,89.27,10.77,0.406,93.5,1,24.29,127.77
181,22.02,40.8,931.0,1.0,147.28,112.38,10.89,-0.053,95.0,1,22.6,158.17
182,21.56,40.5,997.0,1.0,175.5,133.91,10.11,-0.274,95.3,1,21.28,185.61
183,20.88,38.3,994.0,1.0,199.73,152.4,10.35,-0.259,95.3,1,20.43,210.09
184,20.46,42.3,964.0,1.0,218.32,166.58,10.87,-0.302,95.3,1,20.1,229.19
185,19.63,43.1,1032.0,1.0,230.01,175.5,10.06,-0.417,95.3,1,20.31,240.08
186,20.09,45.4,1008.0,1.0,234.0,178.54,10.23,-0.337,95.3,1,21.06,244.23
187,19.44,46.2,400.0,0.26,176.93,135.0,0.81,-0.25,95.2,1,22.29,177.74
188,19.87,46.1,407.0,0.1,167.94,128.14,0.36,-0.085,95.1,1,23.91,168.3
189,19.79,48.8,438.0,0.21,153.64,117.23,0.34,-0.521,95.2,1,25.81,153.98
190,22.02,56.0,400.0,0.05,135.0,103.01,0.4,-0.5,95.2,1,27.86,135.4
191,21.41,54.5,400.0,0.2,113.29,86.44,0.97,-0.38,95.3,1,29.93,114.26
192,23.39,56.8,400.0,0.07,90.0,68.67,0.06,0.041,94.8,1,31.87,90.06
193,23.74,61.2,403.0,0.24,113.29,86.44,0.37,-0.238,95.2,1,33.55,113.66
194,24.29,55.7,400.0,0.21,135.0,103.0,0.36,-0.031,95.0,1,34.86,135.36
195,25.0,56.6,400.0,0.0,153.64,117.23,0.98,0.458,93.2,1,35.69,154.62
196,24.77,60.5,449.0,0.17,167.94,128.14,0.29,0.335,93.8,1,36.01,168.23
197,26.4,57.6,406.0,0.14,176.93,135.0,0.94,0.453,93.3,1,35.78,177.88
198,25.53,51.4,400.0,0.28,180.0,137.34,0.4,0.819,91.1,0,35.02,180.4
199,26.12,52.2,450.0,0.16,176.93,135.0,0.46,0.684,92.0,1,33.78,177.39
200,25.04,50.8,1008.0,1.0,218.32,166.58,10.68,0.48,93.1,1,32.14,229.0
201,24.12,45.7,996.0,1.0,199.73,152.4,10.48,0.142,94.5,1,30.23,210.21
202,25.21,42.5,1007.0,1.0,175.5,133.91,10.22,0.21,94.3,1,28.16,185.72
203,23.2,39.9,984.0,1.0,147.28,112.38,10.84,-0.048,95.0,1,26.07,158.12
204,22.96,43.3,996.0,1.0,117.0,89.27,10.28,-0.057,95.0,1,24.12,127.28
205,20.44,42.6,1018.0,1.0,147.28,112.38,10.86,-0.319,95.3,1,22.42,158.14
206,21.2,41.5,1050.0,1.0,175.5,133.91,10.97,-0.238,95.2,1,21.11,186.47
207,20.92,42.7,984.0,1.0,199.73,152.4,10.53,-0.422,95.3,1,20.25,210.27
208,20.22,43.7,1019.0,1.0,218.32,166.58,10.17,-0.624,95.0,1,19.93,228.5
209,19.8,39.6,956.0,1.0,230.01,175.5,10.16,-0.741,94.8,0,20.14,240.18
210,19.64,46.6,1015.0,1.0,234.0,178.54,10.85,-0.183,95.2,1,20.89,244.85
211,20.29,47.2,454.0,0.16,176.93,135.0,0.28,-0.633,95.0,1,22.11,177.22
212,19.51,53.3,401.0,0.24,167.94,128.14,0.49,-0.23,95.2,1,23.73,168.44
213,20.52,58.9,400.0,0.24,153.64,117.23,0.78,-0.386,95.3,1,25.64,154.42
214,21.98,54.2,400.0,0.11,135.0,103.01,0.06,-0.239,95.2,1,27.69,135.06
215,21.25,56.1,415.0,0.14,113.29,86.44,0.43,-0.116,95.1,1,29.76,113.73
216,22.72,57.6,402.0,0.27,90.0,68.67,0.67,-0.068,95.0,1,31.7,90.67
217,23.0,59.7,400.0,0.15,113.29,86.44,0.57,0.119,94.6,1,33.38,113.87
218,24.43,60.5,420.0,0.09,135.0,103.0,0.41,0.351,93.7,1,34.68,135.41
219,24.92,65.0,400.0,0.04,153.64,117.23,0.35,0.089,94.7,1,35.52,153.99
220,24.91,59.2,426.0,0.13,167.94,128.14,0.08,0.386,93.6,1,35.84,168.02
221,25.7,56.5,400.0,0.13,176.93,135.0,0.61,0.479,93.1,1,35.6,177.54
222,25.83,55.4,420.0,0.15,180.0,137.34,0.06,0.622,92.3,1,34.84,180.06
223,25.39,51.4,425.0,0.23,176.93,135.0,0.52,0.39,93.6,1,33.61,177.45
224,25.19,47.1,942.0,1.0,218.32,166.58,10.13,0.382,93.6,1,31.97,228.46
225,24.6,47.6,998.0,1.0,199.73,152.4,10.04,0.5,93.0,1,30.05,209.77
226,23.17,50.1,954.0,1.0,175.5,133.91,10.49,-0.083,95.1,1,27.98,185.99
227,24.05,45.0,948.0,1.0,147.28,112.38,10.31,0.344,93.8,1,25.9,157.59
228,23.41,40.6,993.0,1.0,117.0,89.27,10.49,-0.18,95.2,1,23.95,127.49
229,21.17,41.2,1009.0,1.0,147.28,112.38,10.16,0.072,94.7,1,22.25,157.45
230,21.93,45.0,954.0,1.0,175.5,133.91,10.97,-0.008,94.9,1,20.93,186.47
231,20.9,40.6,1008.0,1.0,199.73,152.4,10.01,-0.433,95.3,1,20.08,209.75
232,19.68,39.3,974.0,1.0,218.32,166.58,10.14,-0.242,95.2,1,19.75,228.46
233,19.83,42.7,1002.0,1.0,230.01,175.5,10.71,-0.565,95.1,1,19.97,240.72
234,19.48,45.9,1076.0,1.0,234.0,178.54,10.93,-0.654,95.0,1,20.72,244.93
235,20.4,47.8,400.0,0.15,176.93,135.0,0.05,-0.414,95.3,1,21.94,176.98
236,19.79,52.4,400.0,0.25,167.94,128.14,0.02,-0.266,95.3,1,23.56,167.96
237,21.79,52.3,400.0,0.19,153.64,117.23,0.56,-0.555,95.2,1,25.46,154.2
238,21.93,49.9,400.0,0.16,135.0,103.01,0.44,-0.606,95.1,1,27.52,135.44
239,21.46,57.7,400.0,0.02,113.29,86.44,0.2,-0.097,95.1,1,29.59,113.5
240,23.68,59.2,401.0,0.02,90.0,68.67,0.13,0.321,93.9,1,31.53,90.13
241,24.0,60.2,400.0,0.11,113.29,86.44,0.85,0.118,94.6,1,33.21,114.15
242,24.29,58.3,400.0,0.01,135.0,103.0,0.12,0.502,93.0,1,34.51,135.12
243,25.33,63.8,425.0,0.07,153.64,117.23,0.7,0.567,92.7,1,35.35,154.33
244,25.93,56.7,439.0,0.29,167.94,128.14,0.83,0.605,92.4,1,35.66,168.77
245,25.39,55.4,400.0,0.06,176.93,135.0,0.02,0.445,93.3,1,35.43,176.96
246,26.3,54.9,411.0,0.24,180.0,137.34,0.74,0.364,93.7,1,34.67,180.74
247,25.56,55.7,400.0,0.2,176.93,135.0,0.68,0.505,93.0,1,33.43,177.62
248,25.89,53.2,999.0,1.0,218.32,166.58,10.54,0.197,94.3,1,31.8,228.87
249,24.94,49.2,1058.0,1.0,199.73,152.4,10.08,0.516,92.9,1,29.88,209.81
250,23.89,47.2,1024.0,1.0,175.5,133.91,10.91,0.166,94.4,1,27.81,186.41
251,23.99,40.7,1005.0,1.0,147.28,112.38,10.91,0.094,94.7,1,25.73,158.19
252,22.71,38.2,999.0,1.0,117.0,89.27,10.34,-0.043,95.0,1,23.77,127.34
253,22.2,39.7,991.0,1.0,147.28,112.38,10.34,-0.29,95.3,1,22.08,157.62
254,21.61,41.8,1013.0,1.0,175.5,133.91,10.55,-0.363,95.3,1,20.76,186.05
255,21.52,42.1,1031.0,1.0,199.73,152.4,10.88,-0.282,95.3,1,19.91,210.61
256,20.1,39.4,985.0,1.0,218.32,166.58,10.93,-0.665,95.0,1,19.58,229.26
257,19.59,40.6,1023.0,1.0,230.01,175.5,10.25,-0.707,94.9,0,19.8,240.26
258,20.74,46.9,976.0,1.0,234.0,178.54,10.56,-0.678,94.9,1,20.54,244.56
259,20.03,47.3,400.0,0.06,176.93,135.0,0.36,-0.475,95.2,1,21.77,177.3
260,20.06,45.4,400.0,0.14,167.94,128.14,0.22,-0.76,94.8,0,23.39,168.16
261,20.99,49.9,405.0,0.02,153.64,117.23,0.0,-0.502,95.2,1,25.29,153.64
262,21.26,55.6,403.0,0.01,135.0,103.01,0.29,-0.719,94.9,0,27.35,135.29
263,22.03,54.4,412.0,0.15,113.29,86.44,0.33,-0.456,95.2,1,29.42,113.62
264,24.23,56.4,409.0,0.19,90.0,68.67,0.65,-0.089,95.1,1,31.36,90.65
265,23.23,57.6,422.0,0.18,113.29,86.44,0.64,0.187,94.4,1,33.04,113.94
266,23.73,61.7,463.0,0.01,135.0,103.0,0.98,0.264,94.1,1,34.34,135.98
267,25.69,59.8,422.0,0.03,153.64,117.23,0.66,0.345,93.8,1,35.18,154.3
268,25.36,62.2,400.0,0.06,167.94,128.14,0.15,0.315,93.9,1,35.49,168.1
269,26.02,56.5,400.0,0.1,176.93,135.0,0.59,0.716,91.8,0,35.26,177.52
270,26.28,55.0,400.0,0.22,180.0,137.34,0.17,0.401,93.5,1,34.5,180.17
271,24.99,53.7,400.0,0.01,176.93,135.0,0.15,0.187,94.4,1,33.26,177.09
272,26.14,49.2,1025.0,1.0,218.32,166.58,10.93,0.706,91.8,0,31.63,229.25
273,24.81,44.7,1054.0,1.0,199.73,152.4,10.18,0.172,94.4,1,29.71,209.91
274,25.43,44.7,974.0,1.0,175.5,133.91,10.48,0.189,94.4,1,27.64,185.98
275,23.36,41.8,1038.0,1.0,147.28,112.38,10.91,0.321,93.9,1,25.56,158.19
276,23.77,41.3,1032.0,1.0,117.0,89.27,10.61,-0.134,95.1,1,23.6,127.61
277,23.08,39.3,1008.0,1.0,147.28,112.38,10.46,0.09,94.7,1,21.91,157.74
278,21.25,40.9,1025.0,1.0,175.5,133.91,10.34,-0.229,95.2,1,20.59,185.84
279,20.78,39.5,977.0,1.0,199.73,152.4,10.13,-0.254,95.2,1,19.74,209.86
280,20.24,37.9,1035.0,1.0,218.32,166.58,10.86,-0.388,95.3,1,19.41,229.18
281,20.86,41.4,1038.0,1.0,230.01,175.5,10.8,-0.536,95.2,1,19.63,240.82
282,20.09,42.2,1014.0,1.0,234.0,178.54,10.92,-0.19,95.2,1,20.37,244.92
