episode,total_return,energy_reward,comfort_reward,ppd_penalty,epsilon,mean_kappa_snn,ashrae_compliance_pct,mean_ppd_pct,steps
41,-164.3,-53.8,31.2,-122.2,0.922,0.718,82.9,20.5,8760
42,-123.8,-35.8,38.1,-115.2,0.92,0.688,84.1,21.0,8760
43,-148.1,-49.6,22.0,-120.7,0.918,0.659,84.2,21.1,8760
44,-139.5,-37.8,13.4,-120.8,0.916,0.654,81.7,20.3,8760
45,-141.2,-37.3,28.1,-124.1,0.914,0.706,84.8,20.8,8760
46,-141.6,-49.3,20.6,-115.6,0.913,0.707,85.1,19.9,8760
47,-151.4,-43.5,9.9,-118.7,0.911,0.667,83.1,19.0,8760
48,-131.0,-46.5,15.2,-131.5,0.909,0.67,85.3,21.6,8760
49,-141.8,-46.6,28.8,-124.0,0.907,0.677,84.4,21.2,8760
50,-136.6,-44.3,18.5,-123.3,0.905,0.666,84.0,21.0,8760
51,-144.2,-35.5,23.8,-120.1,0.903,0.656,81.2,20.9,8760
52,-124.9,-44.0,27.0,-117.9,0.901,0.64,83.1,20.8,8760
53,-147.9,-40.8,16.1,-118.1,0.899,0.671,82.0,21.1,8760
54,-140.8,-46.0,29.1,-115.4,0.897,0.652,83.7,20.5,8760
55,-122.9,-40.8,25.0,-123.3,0.895,0.675,82.6,17.8,8760
56,-125.1,-36.8,9.5,-124.0,0.894,0.686,85.7,20.2,8760
57,-138.2,-41.9,39.9,-122.6,0.892,0.658,83.2,19.4,8760
58,-127.2,-32.6,32.0,-121.0,0.89,0.668,82.1,20.8,8760
59,-128.7,-41.3,55.5,-118.8,0.888,0.659,83.3,21.0,8760
60,-125.6,-47.3,37.7,-122.7,0.886,0.712,84.8,19.7,8760
61,-110.8,-39.4,37.7,-118.1,0.884,0.658,83.1,20.9,8760
62,-129.3,-41.5,23.7,-118.3,0.882,0.717,82.7,20.1,8760
63,-107.5,-39.5,35.5,-124.2,0.88,0.685,83.6,20.8,8760
64,-109.4,-25.9,37.0,-118.7,0.878,0.68,83.4,20.3,8760
65,-126.3,-37.7,43.3,-124.0,0.877,0.7,85.1,19.9,8760
66,-147.4,-41.2,43.6,-120.1,0.875,0.657,83.3,20.7,8760
67,-114.6,-39.1,30.8,-121.6,0.873,0.659,85.4,19.7,8760
68,-105.7,-30.0,42.2,-121.7,0.871,0.686,83.8,19.2,8760
69,-115.6,-43.1,44.2,-121.9,0.869,0.682,84.1,19.8,8760
70,-111.6,-39.3,42.1,-125.4,0.867,0.681,85.8,19.1,8760
71,-126.0,-34.1,37.1,-118.6,0.865,0.689,84.5,20.8,8760
72,-112.1,-37.5,41.5,-112.4,0.863,0.677,82.9,20.8,8760
73,-117.6,-46.9,43.4,-122.1,0.861,0.678,84.2,20.1,8760
74,-106.9,-37.9,41.2,-121.0,0.859,0.695,84.5,19.1,8760
75,-101.5,-38.1,44.0,-118.5,0.858,0.717,83.7,19.6,8760
76,-114.0,-36.6,44.4,-126.5,0.856,0.66,82.8,20.6,8760
77,-92.4,-35.3,37.1,-119.7,0.854,0.705,83.0,20.0,8760
78,-100.4,-32.0,40.5,-116.0,0.852,0.628,84.6,19.3,8760
79,-133.3,-31.6,50.4,-120.5,0.85,0.701,85.5,20.9,8760
80,-90.8,-30.2,40.5,-126.4,0.848,0.678,83.1,21.5,8760
81,-111.8,-33.0,44.8,-119.8,0.846,0.717,83.3,19.9,8760
82,-117.8,-39.9,35.9,-120.1,0.844,0.675,83.3,18.6,8760
83,-109.1,-40.5,47.4,-119.7,0.842,0.654,83.7,19.2,8760
84,-103.4,-26.0,26.8,-119.5,0.84,0.681,84.7,19.9,8760
85,-115.5,-34.0,35.8,-115.7,0.839,0.685,85.9,19.7,8760
86,-114.2,-39.6,28.3,-126.3,0.837,0.69,84.5,18.5,8760
87,-94.1,-34.2,44.3,-113.6,0.835,0.703,83.7,19.0,8760
88,-129.9,-35.1,41.9,-123.9,0.833,0.683,84.1,19.5,8760
89,-111.1,-30.3,47.6,-124.4,0.831,0.714,83.9,19.7,8760
90,-94.0,-29.7,52.2,-118.9,0.829,0.674,84.4,18.7,8760
91,-100.4,-30.7,43.3,-120.5,0.827,0.649,83.5,19.7,8760
92,-99.0,-35.4,55.6,-123.5,0.825,0.706,84.5,19.1,8760
93,-78.8,-35.9,53.3,-116.0,0.823,0.674,85.5,19.4,8760
94,-95.8,-28.4,45.3,-116.8,0.821,0.704,82.3,20.6,8760
95,-118.5,-24.2,55.8,-124.4,0.82,0.68,83.0,19.4,8760
96,-101.4,-25.2,57.8,-114.4,0.818,0.677,83.9,18.2,8760
97,-106.6,-24.0,60.7,-124.9,0.816,0.677,84.1,19.8,8760
98,-105.9,-26.4,44.4,-120.1,0.814,0.7,84.1,19.2,8760
99,-96.7,-28.6,45.7,-121.0,0.812,0.721,84.7,19.3,8760
100,-86.2,-29.6,58.5,-118.5,0.81,0.688,84.6,18.3,8760
101,-107.3,-33.6,50.7,-113.1,0.808,0.735,84.8,19.9,8760
102,-114.6,-30.0,43.7,-122.5,0.806,0.687,83.7,17.9,8760
103,-83.3,-32.4,52.4,-111.7,0.804,0.673,81.7,19.3,8760
104,-78.3,-16.9,41.1,-118.0,0.802,0.682,84.1,21.6,8760
105,-108.7,-25.2,55.1,-115.7,0.8,0.694,84.5,19.1,8760
106,-86.7,-27.9,56.8,-121.5,0.799,0.7,84.2,20.3,8760
107,-89.8,-34.7,62.3,-123.6,0.797,0.679,83.6,20.5,8760
108,-114.0,-9.9,61.1,-119.1,0.795,0.692,84.5,19.8,8760
109,-79.9,-22.5,53.8,-120.8,0.793,0.69,84.1,20.3,8760
110,-79.7,-39.7,58.8,-119.2,0.791,0.693,83.9,20.3,8760
111,-74.7,-28.6,57.3,-123.9,0.789,0.666,83.6,20.1,8760
112,-73.9,-21.8,60.3,-117.9,0.787,0.681,84.7,20.0,8760
113,-75.5,-18.2,60.6,-118.6,0.785,0.716,84.3,18.6,8760
114,-85.7,-27.6,50.0,-120.6,0.783,0.679,84.0,17.8,8760
115,-80.5,-23.5,49.3,-117.4,0.781,0.714,82.7,18.7,8760
116,-91.5,-28.0,62.9,-120.8,0.78,0.69,82.3,19.8,8760
117,-96.4,-22.7,58.9,-114.6,0.778,0.67,81.3,19.4,8760
118,-59.1,-16.5,58.8,-122.0,0.776,0.712,83.4,19.7,8760
119,-73.9,-17.1,79.6,-118.4,0.774,0.686,84.3,17.9,8760
120,-87.6,-24.2,53.8,-119.4,0.772,0.68,85.5,19.3,8760
121,-78.6,-23.5,59.7,-116.7,0.77,0.68,83.7,19.0,8760
122,-93.9,-25.6,55.1,-116.5,0.768,0.703,84.6,19.9,8760
123,-78.6,-19.3,58.5,-118.9,0.766,0.686,82.0,19.1,8760
124,-59.1,-16.4,67.5,-115.1,0.764,0.7,84.6,18.7,8760
125,-79.3,-17.6,69.8,-120.6,0.762,0.69,84.4,19.7,8760
126,-92.1,-31.9,56.2,-124.9,0.761,0.689,84.3,18.8,8760
127,-56.6,-18.5,63.5,-117.5,0.759,0.677,85.5,19.1,8760
128,-65.2,-25.2,49.1,-116.7,0.757,0.707,83.5,18.5,8760
129,-59.0,-25.5,75.1,-123.6,0.755,0.713,84.1,19.6,8760
130,-78.3,-20.1,62.7,-124.0,0.753,0.715,84.0,18.9,8760
131,-82.9,-31.8,61.3,-110.3,0.751,0.716,84.5,18.9,8760
132,-70.0,-16.0,53.8,-115.5,0.749,0.715,85.2,19.4,8760
133,-69.3,-15.1,68.4,-121.4,0.747,0.69,84.6,20.3,8760
134,-83.7,-25.5,65.4,-119.8,0.745,0.705,84.8,18.9,8760
135,-50.2,-25.9,57.9,-120.4,0.744,0.669,84.3,20.4,8760
136,-67.1,-16.5,54.8,-122.5,0.742,0.695,84.2,20.1,8760
137,-59.9,-22.9,67.3,-118.0,0.74,0.726,86.1,18.2,8760
138,-75.6,-23.4,63.9,-118.1,0.738,0.723,84.5,18.8,8760
139,-63.3,-21.0,82.9,-126.4,0.736,0.707,86.6,19.0,8760
140,-66.7,-18.3,65.2,-114.5,0.734,0.659,86.1,17.9,8760
141,-66.9,-18.4,71.8,-126.4,0.732,0.713,86.6,17.9,8760
142,-60.7,-19.3,70.9,-119.9,0.73,0.692,85.1,20.4,8760
143,-64.5,-12.1,57.6,-123.8,0.728,0.714,86.1,19.2,8760
144,-65.3,-15.5,58.3,-117.6,0.726,0.723,84.2,18.6,8760
145,-57.6,-17.4,68.2,-111.6,0.725,0.7,84.3,18.4,8760
146,-51.1,-15.8,64.0,-114.7,0.723,0.734,84.0,17.4,8760
147,-47.2,-18.1,75.9,-127.9,0.721,0.724,83.4,19.5,8760
148,-58.4,-19.1,66.7,-117.3,0.719,0.708,85.2,20.5,8760
149,-76.7,-6.0,71.3,-123.6,0.717,0.68,84.5,19.6,8760
150,-58.7,-6.3,59.2,-120.0,0.715,0.682,85.0,19.6,8760
151,-61.5,-26.6,72.8,-118.3,0.713,0.715,85.9,18.0,8760
152,-47.6,-7.3,57.4,-118.7,0.711,0.698,84.6,19.1,8760
153,-60.9,-16.4,72.4,-124.3,0.709,0.686,85.4,17.9,8760
154,-46.3,-10.4,58.7,-122.7,0.707,0.732,83.7,18.4,8760
155,-48.1,-8.6,70.9,-122.4,0.706,0.737,86.5,19.6,8760
156,-51.9,-16.3,66.7,-117.9,0.704,0.717,86.1,19.3,8760
157,-70.2,-6.7,65.8,-121.5,0.702,0.714,86.7,21.3,8760
158,-44.2,-12.6,78.4,-116.4,0.7,0.703,86.5,18.9,8760
159,-44.8,-8.1,77.9,-116.6,0.698,0.698,84.2,17.9,8760
160,-44.8,-7.3,78.6,-113.3,0.696,0.71,85.4,17.9,8760
161,-54.0,-7.4,82.2,-121.2,0.694,0.709,83.3,18.4,8760
162,-38.0,-7.8,79.8,-119.8,0.692,0.711,84.1,19.3,8760
163,-42.9,-7.9,72.0,-128.6,0.69,0.733,84.3,18.0,8760
164,-39.0,-12.1,85.1,-117.5,0.688,0.725,83.4,19.7,8760
165,-43.4,-11.7,78.2,-127.1,0.686,0.72,83.8,17.6,8760
166,-64.1,-4.0,72.4,-113.9,0.685,0.701,83.1,17.8,8760
167,-30.4,-10.1,73.5,-119.4,0.683,0.723,86.0,19.8,8760
168,-48.8,-15.7,74.9,-119.0,0.681,0.694,83.9,18.9,8760
169,-44.4,-8.6,72.6,-120.9,0.679,0.695,85.7,19.5,8760
170,-65.3,-13.2,67.1,-122.6,0.677,0.712,83.4,17.9,8760
171,-54.5,-7.2,80.0,-122.9,0.675,0.717,84.3,18.4,8760
172,-21.6,-1.3,69.5,-116.7,0.673,0.73,83.7,19.2,8760
173,-22.6,-13.4,72.9,-115.9,0.671,0.72,85.4,18.8,8760
174,-35.7,-14.1,89.1,-115.3,0.669,0.71,84.9,17.3,8760
175,-33.5,-4.4,80.6,-115.5,0.667,0.708,85.5,17.7,8760
176,-39.3,-7.9,83.3,-121.5,0.666,0.713,85.8,18.2,8760
177,-57.6,2.0,92.9,-125.2,0.664,0.729,84.4,18.7,8760
178,-34.1,-7.6,76.0,-122.8,0.662,0.698,84.1,18.5,8760
179,-45.5,-2.8,94.6,-122.3,0.66,0.721,85.5,18.9,8760
180,-35.3,-2.2,86.9,-125.0,0.658,0.734,85.9,17.9,8760
181,-35.1,-2.3,81.8,-115.7,0.656,0.764,84.2,17.4,8760
182,-31.2,-1.8,82.0,-114.2,0.654,0.69,85.7,18.0,8760
183,-13.6,4.8,78.1,-122.2,0.652,0.735,84.6,18.4,8760
184,-33.2,-14.5,84.6,-122.8,0.65,0.708,86.4,17.4,8760
185,-23.1,-6.1,82.8,-116.8,0.649,0.725,85.6,19.2,8760
186,-36.2,-7.5,76.8,-123.3,0.647,0.777,86.3,17.3,8760
187,-47.4,-1.8,90.2,-117.8,0.645,0.714,84.9,18.7,8760
188,-29.8,-15.0,84.4,-123.4,0.643,0.722,88.0,18.7,8760
189,-33.9,0.9,90.5,-118.3,0.641,0.731,87.1,17.5,8760
190,-23.8,-8.1,91.5,-123.7,0.639,0.711,84.8,19.2,8760
191,-17.8,-9.4,87.9,-122.8,0.637,0.695,84.9,18.1,8760
192,0.9,-0.8,76.8,-122.3,0.635,0.741,87.2,17.1,8760
193,-50.1,6.7,91.3,-123.5,0.633,0.731,82.5,18.3,8760
194,-22.9,2.2,80.5,-119.7,0.631,0.702,85.4,17.6,8760
195,-31.1,-7.2,94.2,-116.6,0.629,0.716,85.1,17.2,8760
196,-29.1,-2.2,110.3,-124.4,0.628,0.751,86.1,18.5,8760
197,-3.8,0.2,92.9,-120.2,0.626,0.746,86.2,17.8,8760
198,-40.0,-2.4,83.7,-120.3,0.624,0.747,84.7,18.2,8760
199,-22.9,3.1,72.6,-122.4,0.622,0.726,86.3,17.9,8760
200,-45.4,2.2,85.8,-124.8,0.62,0.71,85.0,17.8,8760
201,-48.7,3.8,101.5,-117.4,0.618,0.7,85.0,18.2,8760
202,-14.4,2.9,85.8,-119.7,0.616,0.732,86.6,18.8,8760
203,-11.5,0.2,103.4,-118.4,0.614,0.706,86.6,18.8,8760
204,-25.6,-2.4,94.8,-118.1,0.612,0.728,85.5,19.6,8760
205,-6.8,1.2,100.4,-124.1,0.611,0.732,87.0,18.0,8760
206,-29.1,-2.7,84.5,-123.1,0.609,0.717,83.8,18.2,8760
207,-7.5,-3.8,105.8,-118.0,0.607,0.745,84.6,18.9,8760
208,-30.8,5.5,95.4,-117.8,0.605,0.701,84.3,18.6,8760
209,-28.4,3.6,83.4,-116.6,0.603,0.701,85.8,18.6,8760
210,-24.8,4.4,96.8,-122.2,0.601,0.705,83.3,18.4,8760
211,-34.5,2.2,93.0,-117.3,0.599,0.72,84.9,18.7,8760
212,-11.1,3.6,99.3,-126.1,0.597,0.741,85.9,17.3,8760
213,-17.4,2.0,94.8,-118.7,0.595,0.755,86.4,17.1,8760
214,-6.4,9.1,99.4,-115.6,0.593,0.767,86.3,18.3,8760
215,-0.6,3.4,96.8,-121.4,0.592,0.758,84.5,19.3,8760
216,-6.5,-4.0,100.0,-128.4,0.59,0.74,86.2,17.6,8760
217,-10.4,13.0,93.3,-124.2,0.588,0.757,87.3,18.1,8760
218,0.9,10.1,91.8,-121.9,0.586,0.752,87.0,18.5,8760
219,-21.2,13.6,93.9,-121.3,0.584,0.735,86.9,18.7,8760
220,-5.0,6.2,98.9,-117.8,0.582,0.678,85.0,18.2,8760
221,-23.2,6.1,97.2,-113.0,0.58,0.76,84.9,17.9,8760
222,-9.6,2.1,100.8,-123.0,0.578,0.706,86.0,18.5,8760
223,-17.8,9.1,94.6,-119.0,0.576,0.746,85.3,18.4,8760
224,-13.7,3.9,98.4,-123.0,0.574,0.726,83.8,17.6,8760
225,-10.3,3.8,98.4,-120.2,0.573,0.739,86.3,17.4,8760
226,-20.7,0.1,96.8,-121.4,0.571,0.715,84.1,17.6,8760
227,-3.4,8.5,96.7,-121.7,0.569,0.712,85.4,17.3,8760
228,1.9,-3.1,98.6,-118.8,0.567,0.734,88.1,18.2,8760
229,-16.4,5.6,87.6,-120.3,0.565,0.714,86.3,17.5,8760
230,-5.1,3.1,116.1,-121.3,0.563,0.768,86.2,18.3,8760
231,1.3,8.5,87.2,-121.1,0.561,0.748,85.4,16.8,8760
232,-3.1,15.3,112.9,-120.2,0.559,0.751,85.1,16.5,8760
233,-13.0,14.8,101.1,-121.0,0.557,0.726,87.4,19.2,8760
234,25.4,6.4,106.0,-126.1,0.555,0.762,84.3,18.0,8760
235,-13.8,4.5,97.3,-122.4,0.554,0.722,84.9,18.5,8760
236,-13.3,8.8,114.2,-122.1,0.552,0.718,85.2,18.8,8760
237,2.9,5.2,108.6,-124.4,0.55,0.747,85.9,17.6,8760
238,-8.8,3.7,109.4,-115.1,0.548,0.721,86.0,16.1,8760
239,-5.2,8.2,98.2,-123.7,0.546,0.72,85.8,17.7,8760
240,-24.4,-2.0,101.0,-118.2,0.544,0.679,85.0,17.4,8760
241,19.7,6.9,109.3,-119.4,0.542,0.692,86.3,18.0,8760
242,9.8,28.7,89.9,-113.1,0.54,0.729,85.8,17.7,8760
243,-0.8,6.4,109.6,-126.1,0.538,0.75,85.1,16.9,8760
244,-0.5,15.8,103.0,-118.6,0.536,0.72,86.3,18.3,8760
245,27.7,8.9,113.0,-119.6,0.534,0.761,84.8,18.3,8760
246,3.8,9.6,108.8,-119.0,0.533,0.733,85.8,19.0,8760
247,18.5,14.5,104.7,-123.6,0.531,0.755,86.4,18.9,8760
248,0.1,9.3,95.6,-121.6,0.529,0.756,85.1,18.2,8760
249,5.6,12.3,99.9,-119.7,0.527,0.676,85.4,16.4,8760
250,23.0,14.8,113.2,-113.9,0.525,0.718,87.3,18.4,8760
251,6.3,16.8,101.0,-123.3,0.523,0.725,85.1,16.8,8760
252,24.4,10.0,113.0,-122.3,0.521,0.701,85.9,16.1,8760
253,9.5,4.7,126.4,-116.4,0.519,0.739,86.9,17.0,8760
254,17.4,12.8,113.0,-114.9,0.517,0.752,85.9,16.3,8760
255,-0.0,11.4,112.0,-124.5,0.516,0.786,87.2,18.1,8760
256,13.0,11.2,104.0,-119.7,0.514,0.743,84.4,17.9,8760
257,10.8,2.9,105.0,-121.7,0.512,0.776,86.2,16.5,8760
258,19.1,4.9,120.9,-121.9,0.51,0.737,87.0,16.6,8760
259,-2.9,10.0,120.9,-126.1,0.508,0.682,85.2,18.0,8760
260,28.9,10.8,109.7,-115.4,0.506,0.702,85.3,17.7,8760
261,20.5,10.8,113.6,-130.0,0.504,0.726,86.1,16.8,8760
262,16.4,15.8,110.9,-119.3,0.502,0.72,85.5,18.0,8760
263,18.1,10.8,115.8,-117.1,0.5,0.699,86.9,17.3,8760
264,21.9,20.0,103.4,-122.8,0.498,0.734,84.9,18.9,8760
265,7.1,11.4,116.4,-124.8,0.497,0.733,86.0,17.3,8760
266,16.9,11.8,103.0,-118.7,0.495,0.776,85.7,17.7,8760
267,26.9,8.3,129.0,-119.2,0.493,0.774,85.0,19.0,8760
268,28.5,17.6,117.6,-121.0,0.491,0.765,85.9,15.9,8760
269,6.3,14.2,118.6,-120.2,0.489,0.766,83.8,17.6,8760
270,-1.5,19.1,115.7,-118.3,0.487,0.725,87.0,18.3,8760
271,27.9,14.9,121.4,-122.8,0.485,0.759,87.4,18.3,8760
272,12.7,17.6,106.8,-117.7,0.483,0.751,83.9,16.5,8760
273,18.7,14.5,107.8,-118.4,0.481,0.748,85.6,16.8,8760
274,35.2,24.5,114.0,-122.4,0.479,0.753,85.4,17.3,8760
275,32.1,6.9,128.7,-119.7,0.478,0.735,85.7,17.4,8760
276,3.0,24.1,118.9,-118.2,0.476,0.762,84.8,17.8,8760
277,21.2,21.1,101.8,-120.4,0.474,0.732,86.3,17.8,8760
278,16.4,13.5,118.3,-123.6,0.472,0.761,85.5,15.1,8760
279,21.0,12.1,106.5,-124.9,0.47,0.746,87.2,17.6,8760
280,18.8,19.8,116.2,-122.8,0.468,0.721,84.1,17.1,8760
281,28.5,17.2,116.9,-123.8,0.466,0.757,84.5,18.0,8760
282,15.2,14.1,108.8,-122.0,0.464,0.764,86.4,18.1,8760
283,34.1,12.6,118.3,-123.1,0.462,0.772,84.7,18.0,8760
284,39.1,27.5,118.0,-117.2,0.46,0.791,85.3,16.1,8760
285,6.4,22.1,106.5,-121.5,0.459,0.754,86.1,17.7,8760
286,32.2,25.1,114.3,-122.7,0.457,0.73,86.7,18.0,8760
287,35.5,24.9,112.8,-113.3,0.455,0.777,86.6,18.7,8760
288,10.7,16.6,116.7,-117.1,0.453,0.725,86.7,18.4,8760
289,39.5,20.8,115.0,-123.4,0.451,0.772,86.7,17.2,8760
290,26.7,9.5,114.7,-112.4,0.449,0.721,86.1,18.1,8760
291,17.2,20.7,131.1,-120.0,0.447,0.804,84.3,18.1,8760
292,30.8,23.9,127.4,-122.9,0.445,0.752,84.1,17.7,8760
293,37.0,23.4,132.7,-118.5,0.443,0.751,85.1,16.7,8760
294,48.2,27.6,122.7,-119.8,0.441,0.73,87.1,17.8,8760
295,57.8,16.3,121.9,-119.1,0.44,0.761,85.8,16.5,8760
296,45.7,24.5,117.9,-114.6,0.438,0.772,86.1,17.3,8760
297,42.3,16.8,125.8,-128.6,0.436,0.766,84.4,18.4,8760
298,32.2,20.2,120.9,-121.2,0.434,0.777,83.5,18.2,8760
299,40.8,15.4,117.6,-113.3,0.432,0.73,84.8,18.1,8760
300,41.4,17.0,128.3,-124.1,0.43,0.771,87.1,17.6,8760
301,42.2,30.7,126.9,-124.7,0.428,0.758,88.1,16.3,8760
302,34.1,24.2,126.8,-123.9,0.426,0.772,88.3,17.3,8760
303,28.1,14.6,129.6,-115.6,0.424,0.759,86.0,16.7,8760
304,26.4,26.7,135.2,-126.2,0.422,0.782,86.6,18.2,8760
305,23.9,15.9,127.0,-118.0,0.42,0.786,86.8,16.9,8760
306,28.3,29.1,120.8,-113.5,0.419,0.745,87.6,17.6,8760
307,39.5,20.5,126.1,-118.3,0.417,0.752,85.5,17.0,8760
308,42.6,12.7,132.8,-123.9,0.415,0.728,84.4,15.6,8760
309,25.9,20.0,145.1,-122.1,0.413,0.755,86.5,17.2,8760
310,41.8,17.8,141.4,-112.8,0.411,0.718,85.1,16.8,8760
311,31.7,26.5,124.3,-111.3,0.409,0.776,86.3,17.9,8760
312,57.1,21.3,123.9,-119.7,0.407,0.769,86.2,15.8,8760
313,34.7,24.0,130.2,-112.1,0.405,0.725,86.6,18.2,8760
314,72.2,22.5,135.0,-117.7,0.403,0.757,86.0,17.4,8760
315,15.1,28.2,132.4,-120.9,0.402,0.794,85.5,16.7,8760
316,69.9,20.8,127.4,-120.6,0.4,0.77,86.3,16.0,8760
317,40.1,22.1,131.5,-118.3,0.398,0.762,84.4,17.8,8760
318,50.1,32.3,135.9,-115.6,0.396,0.763,87.5,17.4,8760
319,46.4,36.9,139.8,-117.7,0.394,0.728,84.9,17.2,8760
320,49.9,22.7,134.2,-113.6,0.392,0.768,85.0,16.9,8760
321,39.0,24.0,130.0,-121.9,0.39,0.729,86.0,16.5,8760
322,14.0,36.4,142.4,-121.5,0.388,0.755,85.0,18.3,8760
323,72.5,27.1,142.2,-119.3,0.386,0.728,85.8,17.0,8760
324,44.8,25.5,133.6,-120.3,0.384,0.756,85.1,16.3,8760
325,35.3,31.6,117.8,-115.4,0.383,0.783,85.9,14.8,8760
326,47.0,26.6,126.8,-122.1,0.381,0.786,86.9,16.2,8760
327,32.6,25.5,133.5,-118.0,0.379,0.745,86.7,18.4,8760
328,62.1,27.1,134.1,-121.4,0.377,0.779,85.6,16.9,8760
329,53.5,25.0,124.9,-118.7,0.375,0.755,86.7,16.4,8760
330,68.0,23.4,149.9,-127.0,0.373,0.765,86.7,16.2,8760
331,59.0,34.3,118.8,-118.0,0.371,0.707,85.3,18.2,8760
332,47.5,22.3,135.2,-111.7,0.369,0.72,85.2,18.0,8760
333,77.2,27.8,127.2,-111.6,0.367,0.789,86.9,16.2,8760
334,54.9,27.7,140.1,-114.2,0.365,0.775,85.2,17.9,8760
335,59.7,32.2,149.5,-124.4,0.364,0.757,85.7,15.6,8760
336,60.7,41.5,123.3,-120.1,0.362,0.77,86.4,16.7,8760
337,41.4,30.3,132.3,-128.8,0.36,0.782,87.3,16.8,8760
338,60.3,34.7,140.5,-116.4,0.358,0.752,87.6,17.0,8760
339,60.4,23.1,141.3,-123.3,0.356,0.746,85.5,15.9,8760
340,84.1,36.3,154.7,-124.9,0.354,0.76,85.0,16.2,8760
341,48.1,36.1,136.4,-115.7,0.352,0.771,88.6,15.6,8760
342,74.7,35.8,132.1,-116.0,0.35,0.766,86.1,16.1,8760
343,51.5,40.5,140.2,-116.9,0.348,0.743,85.6,17.6,8760
344,44.4,28.4,140.8,-119.6,0.346,0.756,86.7,17.3,8760
345,69.9,25.7,138.6,-115.2,0.345,0.778,85.0,17.0,8760
346,37.9,31.1,156.3,-123.8,0.343,0.743,87.1,15.5,8760
347,54.5,34.0,136.4,-120.9,0.341,0.775,86.8,16.9,8760
348,58.6,33.1,140.8,-118.2,0.339,0.75,86.2,15.9,8760
349,62.7,27.4,133.1,-119.0,0.337,0.765,87.2,16.3,8760
350,68.6,34.4,145.9,-123.3,0.335,0.764,86.8,16.7,8760
351,39.1,32.6,160.4,-121.4,0.333,0.746,86.8,16.9,8760
352,79.0,25.7,148.8,-117.6,0.331,0.758,86.7,17.5,8760
