epoch,phase,snn_train_acc,snn_val_acc,train_loss,val_loss,cnn_val_acc,lstm_val_acc,mlp_val_acc,mean_firing_rate_pct,rate_reg_loss,learning_rate
40,1,67.15,64.41,0.8979,0.9891,55.45,46.93,50.9,57.6,0.00749,0.0005
41,1,68.1,65.1,0.8853,0.9546,55.04,47.84,50.89,58.0,0.00717,0.000475
42,1,68.3,66.04,0.8203,0.9269,56.3,47.05,51.54,57.2,0.0074,0.000451
43,1,69.05,66.28,0.8014,0.9204,56.09,47.57,52.48,56.1,0.00724,0.000429
44,1,69.78,66.83,0.7776,0.9121,57.13,46.97,52.13,57.2,0.00745,0.000407
45,1,70.32,67.53,0.7918,0.865,57.95,48.15,53.28,55.3,0.00646,0.000387
46,1,70.83,68.32,0.7705,0.8457,57.6,48.58,53.94,55.5,0.00723,0.000368
47,1,71.78,68.77,0.7176,0.8237,58.5,49.33,54.91,55.5,0.00672,0.000349
48,1,72.56,69.67,0.6974,0.7875,59.06,50.73,54.22,54.9,0.00581,0.000332
49,1,72.19,69.65,0.706,0.7561,59.6,50.91,55.52,55.4,0.00573,0.000315
50,1,73.19,69.86,0.7056,0.7846,60.79,50.86,55.23,55.7,0.00567,0.0005
51,1,73.37,71.44,0.6901,0.7648,60.26,51.26,55.07,53.5,0.00707,0.000475
52,1,74.22,71.4,0.6632,0.7531,60.77,50.6,56.58,54.0,0.00557,0.000451
53,1,74.93,72.1,0.6198,0.7193,60.41,51.99,56.83,53.9,0.00683,0.000429
54,1,75.16,72.84,0.6199,0.6957,61.62,51.41,57.53,52.9,0.00532,0.000407
55,1,76.05,73.39,0.6119,0.6582,62.52,50.84,56.83,54.1,0.00593,0.000387
56,1,75.7,73.9,0.5814,0.6666,62.43,51.2,57.77,53.0,0.00717,0.000368
57,1,76.15,73.71,0.5784,0.628,62.96,51.99,57.9,53.6,0.00613,0.000349
58,1,76.89,73.78,0.542,0.6007,63.41,52.55,58.12,51.9,0.00533,0.000332
59,1,77.6,74.19,0.5287,0.6051,64.51,53.2,58.51,53.0,0.00697,0.000315
60,1,78.11,74.97,0.5451,0.6135,63.78,53.17,58.92,51.8,0.00607,0.0005
61,1,78.0,75.97,0.5146,0.5993,64.54,53.97,61.08,51.0,0.00598,0.000475
62,1,79.19,75.18,0.492,0.5632,64.7,53.69,59.32,50.8,0.00684,0.000451
63,1,79.75,76.56,0.5054,0.5569,64.98,53.85,60.95,51.2,0.00529,0.000429
64,1,79.78,76.23,0.486,0.5481,64.59,53.81,60.78,50.3,0.00532,0.000407
65,1,79.79,76.75,0.4511,0.5181,65.63,54.43,60.95,50.1,0.00579,0.000387
66,1,80.33,77.08,0.4387,0.5286,66.3,55.26,61.49,50.8,0.00553,0.000368
67,1,80.49,77.89,0.435,0.5018,65.43,55.5,61.54,50.1,0.00611,0.000349
68,1,80.76,77.98,0.4344,0.4674,65.94,55.22,61.51,49.4,0.00691,0.000332
69,1,81.66,78.11,0.4098,0.4936,67.11,56.86,60.75,49.8,0.00677,0.000315
70,1,81.45,78.81,0.4335,0.4523,66.84,56.3,62.19,50.0,0.00657,0.0005
71,1,82.1,78.82,0.3865,0.4402,67.63,56.24,62.68,49.4,0.00662,0.000475
72,1,82.93,79.77,0.3885,0.4422,67.51,55.62,62.63,50.0,0.00585,0.000451
73,1,82.71,79.51,0.3761,0.4417,68.11,57.44,62.33,48.6,0.00642,0.000429
74,1,83.25,80.15,0.3922,0.4462,69.4,56.94,62.9,48.6,0.0063,0.000407
75,1,83.21,79.99,0.3765,0.4415,69.04,57.14,63.45,49.5,0.00509,0.000387
76,1,83.17,80.77,0.3654,0.4176,68.32,57.92,64.77,48.3,0.00547,0.000368
77,1,83.2,81.34,0.3439,0.4265,69.18,57.22,65.3,47.6,0.0065,0.000349
78,1,84.04,81.05,0.3472,0.4158,69.65,57.64,64.55,48.6,0.00595,0.000332
79,1,84.74,81.07,0.3508,0.4069,69.03,58.25,64.57,48.4,0.00552,0.000315
80,1,84.84,81.47,0.3362,0.3429,69.55,57.93,63.95,48.2,0.00655,0.0005
81,1,84.37,81.26,0.3252,0.3612,69.87,57.84,64.88,47.9,0.00553,0.000475
82,1,84.91,81.93,0.3098,0.3636,70.58,58.78,64.66,46.9,0.00667,0.000451
83,1,86.0,82.29,0.2767,0.3625,70.55,59.06,65.15,46.7,0.0056,0.000429
84,1,85.29,82.21,0.3049,0.3368,70.72,57.75,66.19,47.3,0.00576,0.000407
85,1,85.57,82.58,0.3022,0.3586,70.18,59.06,65.3,46.4,0.00494,0.000387
86,1,86.42,83.32,0.2537,0.3076,71.73,60.15,65.49,46.2,0.00482,0.000368
87,1,85.94,83.36,0.2783,0.3012,71.18,59.68,66.61,47.7,0.0054,0.000349
88,1,86.44,82.94,0.2539,0.3335,71.81,60.28,65.82,46.7,0.00637,0.000332
89,1,86.35,84.0,0.2459,0.2955,70.92,60.63,66.0,46.8,0.00545,0.000315
90,1,87.23,83.87,0.265,0.2743,71.84,60.41,67.38,47.4,0.00616,0.0005
91,1,86.78,83.96,0.2343,0.2918,71.4,61.05,67.1,47.4,0.0056,0.000475
92,1,87.02,83.96,0.2159,0.3077,71.87,60.89,66.7,45.9,0.00564,0.000451
93,1,87.57,84.55,0.2197,0.2471,72.57,61.53,68.2,45.6,0.00635,0.000429
94,1,87.74,83.81,0.2298,0.2431,71.98,61.41,67.18,45.3,0.00572,0.000407
95,1,87.42,84.16,0.2129,0.2556,72.3,61.89,67.23,46.3,0.00637,0.000387
96,1,88.56,84.56,0.1948,0.2442,73.31,61.07,67.94,45.9,0.00568,0.000368
97,1,88.28,84.79,0.1935,0.2272,73.11,62.63,67.72,45.2,0.00611,0.000349
98,1,88.64,85.49,0.1968,0.2526,73.77,61.29,68.07,46.5,0.00474,0.000332
99,1,88.23,85.65,0.1877,0.2442,73.63,62.24,68.63,45.9,0.00615,0.000315
100,1,88.73,85.53,0.1848,0.2657,72.77,62.27,68.61,44.8,0.00558,0.0005
101,2,88.22,86.14,0.2154,0.2595,73.73,62.57,68.67,44.9,0.00609,4.8e-05
102,2,88.7,85.9,0.1762,0.2035,73.67,62.43,68.57,44.9,0.00587,4.5e-05
103,2,88.78,85.84,0.1873,0.2388,74.56,61.54,69.08,44.6,0.00446,4.3e-05
104,2,89.24,86.19,0.2031,0.2345,74.72,62.26,69.8,45.0,0.00565,4.1e-05
105,2,88.97,86.88,0.1731,0.2261,74.12,62.53,68.56,44.5,0.00486,3.9e-05
106,2,88.96,86.42,0.1672,0.2181,74.58,63.42,69.26,45.7,0.00531,3.7e-05
107,2,89.02,86.72,0.1937,0.1868,74.68,63.25,69.64,44.2,0.00472,3.5e-05
108,2,90.22,86.45,0.1793,0.1896,74.45,63.93,69.34,45.0,0.00467,3.3e-05
109,2,89.44,87.08,0.1478,0.1966,75.63,64.28,69.45,45.3,0.00626,3.2e-05
110,2,89.6,87.07,0.1658,0.1933,75.15,63.22,69.48,44.2,0.00486,5e-05
111,2,89.83,87.79,0.1336,0.1694,74.85,63.58,70.0,44.3,0.00552,4.8e-05
112,2,90.3,87.0,0.16,0.1863,75.75,63.91,69.95,44.9,0.00564,4.5e-05
113,2,90.3,87.52,0.1577,0.1893,76.03,64.06,70.16,43.8,0.0058,4.3e-05
114,2,90.21,87.57,0.1612,0.1752,75.26,63.9,70.39,44.4,0.00483,4.1e-05
115,2,90.46,88.4,0.1554,0.1476,75.7,64.84,70.43,44.3,0.00617,3.9e-05
116,2,90.45,87.47,0.1284,0.1801,75.78,64.08,70.24,43.6,0.00553,3.7e-05
117,2,90.3,87.9,0.1483,0.1357,76.57,64.06,70.42,43.4,0.00628,3.5e-05
118,2,91.13,87.27,0.1157,0.1785,74.8,63.6,71.16,42.9,0.00564,3.3e-05
119,2,90.27,88.3,0.1522,0.1366,76.32,64.25,71.83,43.5,0.00482,3.2e-05
120,2,90.42,88.03,0.1466,0.1382,76.22,63.66,71.73,44.4,0.00521,5e-05
121,2,90.94,88.33,0.1378,0.1719,76.52,65.3,71.21,44.1,0.00522,4.8e-05
122,2,91.13,87.97,0.1066,0.1477,77.2,64.68,70.87,43.0,0.00584,4.5e-05
123,2,90.87,87.58,0.0947,0.1196,76.17,63.24,70.52,43.8,0.00596,4.3e-05
124,2,91.32,88.04,0.1037,0.1716,76.46,64.79,70.82,43.6,0.00564,4.1e-05
125,2,91.1,88.52,0.1055,0.1406,76.45,64.47,70.99,43.4,0.00561,3.9e-05
126,2,91.16,88.37,0.0952,0.1131,76.95,65.81,72.05,42.3,0.00609,3.7e-05
127,2,91.34,88.42,0.12,0.1564,77.2,65.44,72.2,42.3,0.00601,3.5e-05
128,2,91.24,89.29,0.1049,0.1402,76.94,66.18,71.86,42.3,0.00433,3.3e-05
129,2,91.28,88.65,0.1238,0.1122,77.18,64.88,71.84,43.1,0.00564,3.2e-05
130,2,92.18,88.93,0.088,0.1374,77.06,65.16,71.1,43.7,0.00565,5e-05
131,2,91.47,89.62,0.0933,0.1164,77.2,66.02,72.86,42.9,0.00594,4.8e-05
132,2,91.54,89.0,0.0878,0.1273,77.6,66.36,72.79,43.3,0.00445,4.5e-05
133,2,91.89,89.24,0.081,0.1037,77.23,66.25,72.45,42.7,0.00521,4.3e-05
134,2,91.7,89.67,0.0783,0.1107,76.44,64.85,72.83,43.3,0.00444,4.1e-05
135,2,91.86,89.47,0.0801,0.0895,77.43,64.93,72.83,42.5,0.00467,3.9e-05
136,2,91.78,89.94,0.0749,0.093,77.88,65.58,73.44,43.3,0.00577,3.7e-05
137,2,92.3,89.5,0.0751,0.0876,77.49,65.83,72.84,41.7,0.0044,3.5e-05
138,2,92.06,89.77,0.0789,0.1093,77.56,66.47,72.72,42.4,0.00518,3.3e-05
139,2,92.73,89.48,0.0684,0.0787,78.22,65.36,72.93,43.4,0.00434,3.2e-05
140,2,91.84,89.35,0.1032,0.0856,78.69,66.58,72.94,43.3,0.00551,5e-05
141,2,92.93,89.63,0.1017,0.1073,78.35,66.84,73.08,42.2,0.00544,4.8e-05
142,2,91.92,89.83,0.1066,0.0741,77.48,66.15,72.99,43.1,0.0057,4.5e-05
143,2,92.8,89.95,0.0991,0.0937,78.52,65.52,73.19,42.9,0.005,4.3e-05
144,2,92.58,89.76,0.081,0.0681,78.05,65.66,72.23,42.0,0.00552,4.1e-05
145,2,92.12,89.02,0.0642,0.0884,78.86,66.99,72.67,42.0,0.00585,3.9e-05
146,2,93.14,88.93,0.0522,0.0848,79.25,65.61,72.25,42.3,0.00518,3.7e-05
147,2,92.92,90.21,0.0903,0.1058,78.54,66.67,73.19,41.2,0.00598,3.5e-05
148,2,92.53,89.73,0.0726,0.0766,78.07,65.97,72.64,42.7,0.00519,3.3e-05
149,2,92.87,89.45,0.0828,0.076,77.78,66.49,73.53,41.4,0.00515,3.2e-05
150,2,92.35,89.89,0.0742,0.0736,78.48,66.67,73.58,42.6,0.0052,5e-05
