episode,reward,energy_saving_pct
147,-0.2822,17.99
148,-0.2714,17.49
149,-0.2715,17.48
150,-0.3362,19.39
151,-0.3137,16.94
152,-0.3975,18.36
153,-0.3926,17.49
154,-0.2901,18.86
155,-0.2816,16.68
156,-0.4132,17.71
157,-0.389,17.16
158,-0.3701,19.7
159,-0.305,19.46
160,-0.3427,17.5
161,-0.3781,17.1
162,-0.3344,17.84
163,-0.334,19.13
164,-0.271,18.66
165,-0.3285,18.02
166,-0.241,19.59
167,-0.4152,18.84
168,-0.289,17.68
169,-0.2057,16.5
170,-0.3164,20.67
171,-0.3225,18.37
172,-0.3406,16.31
173,-0.3792,19.03
174,-0.2524,17.09
175,-0.3437,20.08
176,-0.2579,20.06
177,-0.2826,18.64
178,-0.2683,17.8
179,-0.3474,19.43
180,-0.282,20.19
181,-0.298,18.91
182,-0.2877,18.67
183,-0.4219,18.33
184,-0.269,18.76
185,-0.1827,18.99
186,-0.3572,18.68
187,-0.2452,18.24
188,-0.3033,20.89
189,-0.3425,19.03
190,-0.3249,18.77
191,-0.2159,19.53
192,-0.2735,19.6
193,-0.2934,19.33
194,-0.3649,18.29
195,-0.2579,19.45
196,-0.2305,19.63
197,-0.2686,19.84
198,-0.3399,19.81
199,-0.2557,19.76
200,-0.1882,18.53
201,-0.2884,22.17
202,-0.2278,20.11
203,-0.2899,20.44
204,-0.287,20.32
205,-0.267,19.62
206,-0.2945,18.77
207,-0.2986,19.57
208,-0.274,18.86
209,-0.2259,18.32
210,-0.2693,21.96
211,-0.2745,20.71
212,-0.2622,20.02
213,-0.192,20.01
214,-0.3198,20.58
215,-0.2363,19.87
216,-0.2271,19.4
217,-0.2767,21.4
218,-0.2064,19.15
219,-0.2202,21.27
220,-0.2246,20.14
221,-0.3294,20.39
222,-0.2919,19.8
223,-0.2979,19.03
224,-0.2277,19.46
225,-0.2181,20.52
226,-0.2752,19.37
227,-0.2745,19.41
228,-0.1503,21.01
229,-0.2507,20.72
230,-0.2372,19.03
231,-0.2712,21.54
232,-0.1923,21.65
233,-0.2377,20.14
234,-0.2486,18.71
235,-0.246,19.04
236,-0.2772,19.9
237,-0.3032,21.68
238,-0.2551,20.66
239,-0.1772,19.31
240,-0.2688,22.01
241,-0.2011,20.52
242,-0.2729,21.4
243,-0.3466,20.3
244,-0.2784,18.71
245,-0.3329,18.89
246,-0.2138,19.83
247,-0.3424,21.0
248,-0.2461,21.14
249,-0.2872,22.59
250,-0.2803,20.73
251,-0.2053,20.67
252,-0.2541,19.82
253,-0.2492,21.72
254,-0.2519,22.28
255,-0.2666,20.22
256,-0.2862,20.74
257,-0.3292,21.23
258,-0.2263,20.09
259,-0.2299,19.14
260,-0.1873,21.07
261,-0.2239,21.52
262,-0.2661,20.03
263,-0.2512,20.97
264,-0.2141,23.06
265,-0.1873,22.12
266,-0.262,21.54
267,-0.1861,20.51
268,-0.2448,21.7
269,-0.2737,19.44
270,-0.2722,21.0
271,-0.2541,20.59
272,-0.24,21.88
273,-0.1816,18.97
274,-0.1443,23.67
275,-0.2489,20.73
276,-0.307,22.81
277,-0.2671,21.93
278,-0.2522,21.55
279,-0.2228,21.48
280,-0.3262,21.33
281,-0.1832,20.78
282,-0.2806,21.7
283,-0.22,21.09
284,-0.2411,21.86
285,-0.268,21.74
286,-0.1672,20.94
287,-0.2564,20.85
288,-0.2813,21.63
289,-0.2066,21.8
290,-0.1889,20.9
291,-0.2425,20.4
292,-0.2231,21.67
293,-0.1838,21.79
294,-0.2421,21.56
295,-0.2436,21.37
296,-0.1916,22.27
297,-0.2381,20.51
298,-0.269,20.66
299,-0.2302,20.94
300,-0.2779,21.41
301,-0.2328,20.9
302,-0.1808,20.93
303,-0.2898,22.47
304,-0.2308,21.49
305,-0.1985,22.38
306,-0.231,21.6
307,-0.1581,20.89
308,-0.2246,22.72
309,-0.2077,21.23
310,-0.1577,21.98
311,-0.2008,22.39
312,-0.2272,21.47
313,-0.2476,21.42
314,-0.2335,20.9
315,-0.2084,21.8
316,-0.2639,20.94
317,-0.1592,21.44
318,-0.1097,21.37
319,-0.2241,21.17
320,-0.3099,22.01
321,-0.1852,22.9
322,-0.2185,22.54
323,-0.1902,19.83
324,-0.225,21.83
325,-0.1756,24.01
326,-0.2587,21.9
327,-0.2017,21.49
328,-0.2064,23.1
329,-0.202,21.81
330,-0.1827,23.02
331,-0.1756,21.69
332,-0.2781,22.28
333,-0.1814,21.24
334,-0.2118,22.88
335,-0.2305,21.84
336,-0.2065,22.03
337,-0.2085,22.85
338,-0.2154,22.38
339,-0.3081,21.76
340,-0.2129,20.55
341,-0.2297,21.84
342,-0.2023,21.6
343,-0.222,21.98
344,-0.1128,21.76
345,-0.2289,23.24
346,-0.2951,22.53
347,-0.2235,21.65
348,-0.2407,22.7
349,-0.2079,23.46
350,-0.2406,21.39
351,-0.1862,21.8
352,-0.2184,21.36
353,-0.1999,22.42
354,-0.1438,24.14
355,-0.2139,23.25
356,-0.2837,21.76
357,-0.2409,22.72
358,-0.2856,23.32
359,-0.246,20.47
360,-0.3921,21.11
361,-0.1743,23.04
362,-0.2903,20.65
363,-0.1798,22.2
364,-0.2478,22.86
365,-0.2291,22.46
366,-0.1341,22.05
367,-0.2309,23.53
368,-0.2638,23.0
369,-0.24,24.37
370,-0.277,21.06
371,-0.1722,21.66
372,-0.187,22.12
373,-0.2294,23.5
374,-0.1759,22.95
375,-0.1842,21.8
376,-0.2278,21.24
377,-0.2016,21.13
378,-0.2256,23.97
379,-0.2466,22.21
380,-0.3411,22.44
381,-0.2277,21.25
382,-0.214,22.29
383,-0.2832,21.4
384,-0.1714,22.4
385,-0.2247,21.94
386,-0.1924,21.56
387,-0.1996,23.48
388,-0.2188,23.57
389,-0.2419,22.79
390,-0.2488,20.51
391,-0.2979,21.25
392,-0.1399,21.3
393,-0.1967,24.2
394,-0.2614,23.38
395,-0.1845,23.69
396,-0.2707,21.59
397,-0.1825,20.81
398,-0.1909,23.36
399,-0.2449,20.09
400,-0.2915,22.44
401,-0.2372,22.97
402,-0.207,21.25
403,-0.2904,23.88
404,-0.2467,22.09
405,-0.1466,22.71
406,-0.2154,22.92
407,-0.0794,22.58
408,-0.1897,21.84
409,-0.2211,21.59
410,-0.2563,22.79
411,-0.2684,23.04
412,-0.2036,23.4
413,-0.2351,22.28
414,-0.227,22.51
415,-0.2014,21.55
416,-0.2448,23.46
417,-0.1674,21.6
418,-0.1965,23.04
419,-0.2398,23.47
420,-0.1985,23.45
421,-0.3244,21.1
422,-0.1903,20.92
423,-0.1911,21.55
424,-0.3122,21.42
425,-0.3021,24.59
426,-0.2247,22.85
427,-0.2408,21.22
428,-0.2117,21.5
429,-0.206,24.06
430,-0.1321,23.79
431,-0.2265,21.18
432,-0.1781,23.28
433,-0.2319,22.2
434,-0.1889,22.31
435,-0.229,21.17
436,-0.274,22.13
437,-0.2388,21.49
438,-0.189,23.8
439,-0.2659,21.57
440,-0.204,23.7
441,-0.1918,22.16
442,-0.1909,20.63
443,-0.1707,21.89
444,-0.1059,21.28
445,-0.2713,22.99
446,-0.2265,21.34
447,-0.2103,22.06
448,-0.2326,22.83
449,-0.1488,21.3
450,-0.145,23.9
451,-0.0952,22.71
452,-0.2141,22.6
453,-0.2644,21.01
454,-0.2184,22.0
455,-0.2552,22.24
456,-0.1652,21.29
457,-0.1689,23.38
458,-0.168,22.55
459,-0.102,21.66
460,-0.2056,22.18
461,-0.2384,22.56
462,-0.2085,24.52
463,-0.2547,22.93
464,-0.2406,21.72
465,-0.2053,21.86
466,-0.1813,22.13
467,-0.2476,23.11
468,-0.2715,22.93
469,-0.1701,23.01
470,-0.2495,22.44
471,-0.1982,20.99
472,-0.1484,23.09
473,-0.165,21.77
474,-0.1759,23.09
475,-0.151,21.32
476,-0.1935,22.54
477,-0.2607,23.3
478,-0.0822,24.55
479,-0.183,22.03
480,-0.1814,24.03
481,-0.1963,23.61
482,-0.2901,22.22
483,-0.2486,22.6
484,-0.123,22.05
485,-0.3012,21.87
486,-0.2107,21.15
487,-0.1913,21.61
488,-0.2223,20.07
489,-0.1035,22.75
490,-0.2815,24.14
491,-0.2409,22.88
492,-0.1884,22.69
493,-0.1846,22.03
494,-0.1994,24.55
495,-0.1909,23.7
496,-0.2362,21.39
497,-0.2213,24.75
498,-0.2567,24.2
499,-0.1843,21.63
500,-0.2893,23.46
