fault_id,fault_type,severity,duration_min
F115,sensor_noise,medium,217
F116,sensor_noise,medium,197
F117,hvac_degraded,low,230
F118,comm_delay,medium,227
F119,hvac_degraded,high,12
F120,sensor_noise,low,98
F121,actuator_stuck,medium,215
F122,comm_delay,high,24
F123,comm_delay,high,19
F124,hvac_degraded,low,71
F125,actuator_stuck,low,94
F126,hvac_degraded,medium,150
F127,actuator_stuck,low,133
F128,hvac_degraded,low,177
F129,sensor_noise,low,57
F130,sensor_noise,medium,118
F131,sensor_noise,low,85
F132,sensor_noise,low,216
F133,comm_delay,medium,218
F134,hvac_degraded,low,198
F135,sensor_noise,low,46
F136,comm_delay,high,26
F137,sensor_noise,medium,131
F138,sensor_noise,low,171
F139,sensor_noise,low,199
F140,comm_delay,medium,192
F141,comm_delay,medium,61
F142,actuator_stuck,high,85
F143,comm_delay,low,224
F144,actuator_stuck,medium,171
F145,hvac_degraded,low,235
F146,comm_delay,high,56
F147,hvac_degraded,low,67
F148,comm_delay,low,159
F149,hvac_degraded,medium,116
F150,hvac_degraded,medium,234
F151,sensor_noise,medium,7
F152,actuator_stuck,low,151
F153,actuator_stuck,high,230
F154,comm_delay,medium,130
F155,comm_delay,medium,37
F156,actuator_stuck,high,19
F157,sensor_noise,low,105
F158,actuator_stuck,medium,184
F159,sensor_noise,low,163
F160,hvac_degraded,low,29
F161,hvac_degraded,low,157
F162,sensor_noise,low,218
F163,actuator_stuck,low,158
F164,comm_delay,low,65
F165,actuator_stuck,medium,9
F166,sensor_noise,low,137
F167,comm_delay,medium,177
F168,hvac_degraded,low,210
F169,hvac_degraded,low,180
F170,actuator_stuck,low,114
F171,hvac_degraded,medium,133
F172,hvac_degraded,medium,51
F173,hvac_degraded,high,176
F174,hvac_degraded,medium,160
F175,actuator_stuck,high,5
F176,comm_delay,low,76
F177,comm_delay,medium,44
F178,hvac_degraded,medium,233
F179,sensor_noise,medium,22
F180,sensor_noise,high,126
F181,hvac_degraded,medium,78
F182,comm_delay,low,222
F183,actuator_stuck,medium,52
F184,hvac_degraded,low,227
F185,actuator_stuck,low,48
F186,comm_delay,medium,14
F187,hvac_degraded,low,103
F188,hvac_degraded,medium,121
F189,comm_delay,low,151
F190,comm_delay,high,128
F191,actuator_stuck,low,132
F192,sensor_noise,low,77
F193,sensor_noise,low,201
F194,sensor_noise,medium,133
F195,actuator_stuck,low,97
F196,actuator_stuck,low,23
F197,comm_delay,low,100
F198,comm_delay,low,108
F199,comm_delay,high,7
