hour,zone,T_outdoor_C,T_zone_C,PMV_NA,PPD_NA_pct,kWh_m2_NA,supply_temp_C,blind_angle
38,3,30.04,23.05,0.088,7.4,0.00269,22.0,0.62
38,4,30.04,21.81,-0.031,5.3,0.00234,23.2,0.84
39,1,26.96,22.76,0.143,11.2,0.0021,22.9,0.61
39,2,26.96,22.64,0.06,6.1,0.00148,23.1,0.57
39,3,26.96,21.5,-0.014,5.1,0.00207,17.3,0.56
39,4,26.96,23.0,0.064,6.3,0.00192,16.0,0.38
40,1,26.45,20.25,-0.219,18.9,0.00242,21.2,0.37
40,2,26.45,23.14,0.112,8.9,0.0014,17.5,0.67
40,3,26.45,23.4,0.157,12.4,0.00225,20.0,0.71
40,4,26.45,21.34,-0.075,6.7,0.00193,20.8,0.02
41,1,27.0,22.99,0.097,7.9,0.00156,18.9,0.51
41,2,27.0,20.09,-0.131,10.2,0.0018,18.6,0.43
41,3,27.0,23.4,0.13,10.2,0.00238,16.8,0.98
41,4,27.0,20.74,-0.158,12.5,0.00154,17.6,0.42
42,1,28.31,21.57,-0.047,5.7,0.00194,18.1,0.07
42,2,28.31,20.09,-0.18,14.7,0.00157,22.6,0.77
42,3,28.31,20.63,-0.223,19.4,0.0025,21.7,0.02
42,4,28.31,22.44,0.065,6.3,0.00254,21.2,0.38
43,1,26.84,22.39,0.105,8.4,0.00264,18.9,0.15
43,2,26.84,19.78,-0.237,21.0,0.00142,16.9,0.43
43,3,26.84,22.97,0.133,10.4,0.00236,17.1,0.36
43,4,26.84,21.74,0.012,5.0,0.00164,17.7,0.1
44,1,27.07,22.29,0.006,5.0,0.00166,17.8,0.3
44,2,27.07,21.92,0.019,5.1,0.0015,18.1,0.68
44,3,27.07,22.96,0.107,8.5,0.00195,20.7,0.34
44,4,27.07,21.4,-0.087,7.4,0.00204,19.0,0.29
45,1,27.22,22.3,0.044,5.6,0.00148,17.0,0.48
45,2,27.22,20.04,-0.222,19.3,0.00261,19.4,0.53
45,3,27.22,23.1,0.15,11.8,0.00198,19.4,0.85
45,4,27.22,20.88,-0.057,6.0,0.0018,16.8,0.24
46,1,27.29,19.05,-0.318,32.0,0.00253,21.6,0.1
46,2,27.29,20.09,-0.168,13.5,0.00232,16.1,0.9
46,3,27.29,23.51,0.101,8.1,0.0023,19.3,0.58
46,4,27.29,23.51,0.114,9.0,0.00234,20.2,0.73
47,1,28.69,21.54,-0.015,5.1,0.00176,16.0,0.5
47,2,28.69,20.97,-0.095,7.8,0.00248,22.7,0.92
47,3,28.69,20.27,-0.186,15.3,0.00174,19.6,0.49
47,4,28.69,23.12,0.103,8.3,0.0014,20.4,0.88
48,1,28.62,21.24,-0.078,6.9,0.00246,20.0,0.89
48,2,28.62,22.82,0.1,8.1,0.00201,20.6,0.63
48,3,28.62,20.45,-0.096,7.8,0.00195,20.5,0.34
48,4,28.62,20.74,-0.12,9.4,0.00141,22.6,0.54
49,1,29.57,21.97,-0.049,5.8,0.00274,19.1,0.4
49,2,29.57,21.48,-0.043,5.6,0.00256,20.2,0.1
49,3,29.57,21.1,-0.12,9.4,0.00226,17.1,0.73
49,4,29.57,21.83,0.004,5.0,0.00271,18.2,0.52
50,1,31.05,19.7,-0.249,22.5,0.00262,16.3,0.5
50,2,31.05,22.04,0.004,5.0,0.00214,23.4,0.33
50,3,31.05,23.16,0.034,5.4,0.00158,21.9,0.29
50,4,31.05,20.52,-0.127,9.9,0.0015,16.1,0.45
51,1,32.54,21.62,-0.058,6.0,0.00182,23.3,0.39
51,2,32.54,20.14,-0.191,15.8,0.0025,23.1,0.19
51,3,32.54,20.85,-0.121,9.5,0.00159,16.5,0.76
51,4,32.54,21.85,-0.01,5.0,0.00154,17.7,0.82
52,1,30.75,22.59,0.062,6.2,0.00269,20.0,0.67
52,2,30.75,21.16,-0.067,6.4,0.0018,19.0,0.95
52,3,30.75,21.85,-0.022,5.2,0.00273,21.5,0.7
52,4,30.75,21.5,-0.023,5.2,0.00189,20.1,0.79
53,1,32.2,21.85,0.003,5.0,0.00209,17.9,0.9
53,2,32.2,21.58,-0.039,5.5,0.00219,20.5,0.77
53,3,32.2,23.3,0.122,9.5,0.0024,22.9,0.65
53,4,32.2,21.51,-0.015,5.1,0.00273,22.3,0.1
54,1,30.84,20.16,-0.199,16.7,0.00275,22.4,0.69
54,2,30.84,21.89,-0.071,6.6,0.00242,19.3,0.61
54,3,30.84,19.83,-0.232,20.4,0.00143,17.7,0.93
54,4,30.84,20.98,-0.137,10.7,0.00135,17.5,0.9
55,1,31.82,20.39,-0.135,10.6,0.00182,20.8,0.15
55,2,31.82,20.49,-0.17,13.6,0.00191,21.7,0.46
55,3,31.82,21.06,-0.096,7.9,0.00149,17.2,0.78
55,4,31.82,22.03,0.0,5.0,0.00201,18.6,0.32
56,1,30.22,22.11,0.004,5.0,0.00216,22.3,0.82
56,2,30.22,22.41,0.006,5.0,0.0023,19.2,0.51
56,3,30.22,22.05,-0.054,5.9,0.00261,19.1,0.86
56,4,30.22,24.88,0.28,26.7,0.00268,23.6,0.42
57,1,29.52,21.05,-0.056,6.0,0.00164,22.1,0.6
57,2,29.52,21.1,-0.099,8.0,0.00176,16.8,0.62
57,3,29.52,20.69,-0.117,9.2,0.00172,16.0,0.32
57,4,29.52,19.76,-0.214,18.3,0.00255,17.1,0.01
58,1,29.33,21.5,-0.068,6.4,0.00157,17.8,0.01
58,2,29.33,21.58,0.001,5.0,0.00207,22.9,0.77
58,3,29.33,20.47,-0.179,14.5,0.00154,17.5,0.63
58,4,29.33,23.02,0.083,7.1,0.00172,19.4,0.69
59,1,28.78,21.26,-0.102,8.2,0.00181,20.9,0.98
59,2,28.78,21.7,0.02,5.1,0.00237,23.4,0.06
59,3,28.78,19.9,-0.293,28.4,0.00209,17.2,0.32
59,4,28.78,21.51,-0.057,6.0,0.00205,20.3,0.73
60,1,29.61,20.68,-0.153,12.1,0.00277,19.6,0.22
60,2,29.61,20.34,-0.196,16.3,0.00254,20.6,0.6
60,3,29.61,23.44,0.148,11.6,0.00239,22.2,0.93
60,4,29.61,21.71,-0.004,5.0,0.00174,18.4,0.16
61,1,30.15,22.46,0.046,5.7,0.00216,20.1,0.55
61,2,30.15,19.55,-0.291,28.2,0.00228,19.9,0.85
61,3,30.15,21.34,-0.078,6.9,0.00277,20.4,0.22
61,4,30.15,22.08,0.058,6.1,0.00263,19.2,0.47
62,1,29.73,20.86,-0.075,6.7,0.0013,17.9,0.86
62,2,29.73,19.34,-0.249,22.6,0.00222,22.9,0.61
62,3,29.73,21.44,-0.001,5.0,0.00223,17.1,0.0
62,4,29.73,21.25,-0.028,5.2,0.00248,21.9,0.59
63,1,28.85,20.95,-0.105,8.4,0.00266,19.6,0.52
63,2,28.85,22.01,0.003,5.0,0.00254,16.4,0.42
63,3,28.85,21.14,-0.094,7.7,0.00157,20.3,0.95
63,4,28.85,20.62,-0.112,8.8,0.00151,21.9,0.15
64,1,26.63,21.13,-0.07,6.5,0.00183,21.5,0.68
64,2,26.63,20.87,-0.131,10.2,0.00129,21.9,0.03
64,3,26.63,21.52,-0.12,9.4,0.00199,20.5,0.54
64,4,26.63,20.79,-0.083,7.1,0.00156,19.8,0.56
65,1,26.42,20.47,-0.152,11.9,0.00237,22.1,0.37
65,2,26.42,24.24,0.245,22.1,0.00227,19.3,0.42
65,3,26.42,21.07,-0.12,9.4,0.00261,22.1,0.84
65,4,26.42,22.25,0.018,5.1,0.00225,22.1,0.71
66,1,26.29,24.48,0.324,32.8,0.00246,19.6,0.33
66,2,26.29,20.76,-0.11,8.7,0.00205,23.2,0.31
66,3,26.29,20.96,-0.094,7.8,0.00213,23.8,0.98
66,4,26.29,20.9,-0.104,8.3,0.00269,20.0,0.5
67,1,28.47,22.83,0.115,9.0,0.00128,16.5,0.87
67,2,28.47,22.21,0.042,5.5,0.00143,17.7,0.01
67,3,28.47,21.37,-0.075,6.8,0.0022,21.2,0.05
67,4,28.47,20.25,-0.178,14.5,0.00176,20.5,0.32
68,1,27.31,23.93,0.171,13.7,0.00194,21.2,0.24
68,2,27.31,23.55,0.202,17.0,0.0017,23.2,0.98
68,3,27.31,21.49,-0.033,5.3,0.00199,22.5,0.94
68,4,27.31,23.16,0.099,8.0,0.00205,23.7,0.41
69,1,27.4,20.98,-0.092,7.6,0.00195,23.4,0.77
69,2,27.4,18.21,-0.368,39.2,0.00215,23.9,0.75
69,3,27.4,21.78,0.017,5.1,0.00275,19.5,0.77
69,4,27.4,21.2,-0.057,6.0,0.00232,22.3,0.63
70,1,28.9,23.06,0.154,12.1,0.00238,23.0,0.71
70,2,28.9,20.34,-0.177,14.3,0.00262,23.8,0.32
70,3,28.9,21.47,-0.011,5.0,0.0014,20.3,0.62
70,4,28.9,19.82,-0.265,24.7,0.00212,22.1,0.28
71,1,28.46,20.63,-0.151,11.9,0.00232,23.5,0.52
71,2,28.46,21.95,-0.02,5.1,0.00246,21.5,0.89
71,3,28.46,22.59,0.068,6.4,0.00141,23.8,0.08
71,4,28.46,23.75,0.154,12.1,0.00224,22.1,0.87
72,1,29.77,22.37,0.033,5.3,0.00137,19.0,0.71
72,2,29.77,22.28,0.02,5.1,0.0016,17.8,0.48
72,3,29.77,21.1,-0.172,13.9,0.00254,19.2,0.47
72,4,29.77,20.78,-0.126,9.9,0.00258,22.0,0.67
73,1,30.74,21.84,-0.017,5.1,0.00226,18.6,0.65
73,2,30.74,21.73,-0.032,5.3,0.00154,22.3,0.97
73,3,30.74,19.23,-0.265,24.7,0.00167,23.9,0.38
73,4,30.74,20.69,-0.116,9.1,0.00159,19.9,0.83
74,1,31.09,21.76,0.013,5.1,0.00202,21.4,0.53
74,2,31.09,20.25,-0.164,13.0,0.00259,19.5,0.07
74,3,31.09,22.25,-0.008,5.0,0.00199,19.8,0.4
74,4,31.09,21.8,-0.006,5.0,0.00139,19.0,0.15
75,1,30.3,21.74,-0.039,5.5,0.00265,18.9,0.29
75,2,30.3,20.51,-0.163,13.0,0.00268,21.3,0.07
75,3,30.3,18.96,-0.343,35.5,0.00147,21.3,0.99
75,4,30.3,20.86,-0.151,11.9,0.00205,17.1,0.31
76,1,32.3,22.44,0.048,5.7,0.00251,18.3,0.04
76,2,32.3,22.41,-0.024,5.2,0.00216,16.4,0.27
76,3,32.3,22.05,0.024,5.2,0.00153,16.2,0.62
76,4,32.3,19.56,-0.251,22.9,0.00178,22.4,1.0
77,1,30.05,21.45,-0.041,5.5,0.00225,19.6,0.25
77,2,30.05,20.39,-0.216,18.6,0.00193,21.0,0.12
77,3,30.05,20.21,-0.151,11.9,0.002,19.4,0.09
77,4,30.05,21.3,-0.083,7.1,0.00203,17.5,0.27
78,1,32.31,20.04,-0.226,19.8,0.00135,23.6,0.74
78,2,32.31,21.39,-0.027,5.2,0.00184,17.3,0.85
78,3,32.31,20.07,-0.198,16.5,0.00233,18.8,0.61
78,4,32.31,23.86,0.164,13.0,0.00157,23.6,0.04
79,1,31.49,22.52,0.094,7.7,0.00146,22.0,0.06
79,2,31.49,23.66,0.174,14.1,0.00162,22.2,0.71
79,3,31.49,21.87,-0.049,5.8,0.00244,20.6,0.67
79,4,31.49,20.43,-0.197,16.5,0.00237,16.6,0.35
80,1,30.56,21.7,-0.018,5.1,0.0027,16.9,0.02
80,2,30.56,19.15,-0.291,28.2,0.00242,16.3,0.59
80,3,30.56,22.4,0.052,5.9,0.00252,18.8,0.89
80,4,30.56,18.93,-0.309,30.7,0.00218,23.1,0.7
81,1,29.05,22.3,0.043,5.6,0.0024,22.1,0.73
81,2,29.05,21.31,-0.072,6.6,0.00214,21.2,0.21
81,3,29.05,19.67,-0.247,22.4,0.00173,22.2,0.09
81,4,29.05,23.0,0.072,6.6,0.00215,19.8,0.22
82,1,29.66,21.31,-0.03,5.3,0.00128,21.5,0.56
82,2,29.66,19.85,-0.247,22.4,0.00202,22.6,0.65
82,3,29.66,19.95,-0.236,20.9,0.00235,22.4,0.58
82,4,29.66,20.43,-0.122,9.6,0.00251,16.5,0.0
83,1,28.88,20.97,-0.159,12.6,0.00235,22.4,1.0
83,2,28.88,21.86,0.002,5.0,0.00206,16.0,0.45
83,3,28.88,20.07,-0.186,15.2,0.00249,21.5,0.41
83,4,28.88,22.08,-0.025,5.2,0.00138,23.6,0.57
84,1,29.27,22.08,0.002,5.0,0.0022,17.8,0.15
84,2,29.27,21.12,-0.072,6.6,0.00129,22.6,0.81
84,3,29.27,21.51,-0.076,6.8,0.00236,18.1,0.66
84,4,29.27,21.3,-0.076,6.8,0.00228,20.1,0.38
85,1,28.97,23.69,0.205,17.3,0.00169,22.1,0.16
85,2,28.97,22.23,0.051,5.8,0.00158,21.9,0.4
85,3,28.97,20.46,-0.161,12.8,0.00195,17.5,0.59
85,4,28.97,22.83,0.095,7.8,0.00187,16.7,0.8
86,1,28.36,21.53,-0.067,6.4,0.00225,23.6,0.9
86,2,28.36,21.69,-0.028,5.2,0.00253,18.3,0.13
86,3,28.36,22.93,0.119,9.3,0.00247,18.7,0.94
86,4,28.36,22.55,0.056,6.0,0.0018,17.1,0.34
87,1,25.96,19.91,-0.221,19.1,0.00184,23.9,0.33
87,2,25.96,21.25,-0.075,6.7,0.00244,18.5,0.37
87,3,25.96,22.55,0.084,7.2,0.00215,22.8,0.76
87,4,25.96,20.32,-0.218,18.8,0.00206,21.1,0.59
88,1,27.3,21.65,-0.035,5.4,0.00127,22.2,0.0
88,2,27.3,21.89,-0.051,5.8,0.00153,16.4,0.76
88,3,27.3,22.19,-0.009,5.0,0.00239,16.2,0.06
88,4,27.3,20.8,-0.149,11.7,0.00167,20.8,0.43
89,1,28.47,22.26,0.021,5.1,0.00261,21.4,0.82
89,2,28.47,21.65,-0.024,5.2,0.00226,23.1,0.1
89,3,28.47,21.54,-0.038,5.4,0.00262,16.2,0.74
89,4,28.47,23.08,0.118,9.3,0.00244,20.4,0.09
90,1,27.05,22.49,-0.002,5.0,0.00264,16.3,0.51
90,2,27.05,20.55,-0.173,14.0,0.00145,16.5,0.73
90,3,27.05,20.62,-0.115,9.1,0.00268,16.2,0.54
90,4,27.05,22.21,0.066,6.4,0.00191,19.9,0.88
91,1,26.87,22.6,0.084,7.2,0.00202,16.4,0.57
91,2,26.87,21.2,-0.036,5.4,0.00238,23.1,0.91
91,3,26.87,21.26,-0.041,5.5,0.00237,17.0,0.46
91,4,26.87,19.1,-0.31,30.9,0.00167,18.6,0.56
92,1,26.95,20.01,-0.222,19.2,0.00166,16.5,0.52
92,2,26.95,21.4,-0.032,5.3,0.00268,17.7,0.03
92,3,26.95,24.05,0.236,21.0,0.00177,18.9,0.74
92,4,26.95,22.9,0.118,9.3,0.0018,18.5,0.05
93,1,27.93,21.52,-0.062,6.2,0.00152,23.5,0.91
93,2,27.93,22.27,-0.012,5.0,0.00141,18.8,0.32
93,3,27.93,22.36,-0.001,5.0,0.00176,23.5,0.71
93,4,27.93,20.88,-0.123,9.6,0.00247,19.1,0.12
94,1,27.54,20.44,-0.174,14.1,0.00251,21.8,0.84
94,2,27.54,22.97,0.123,9.6,0.00233,20.2,0.6
94,3,27.54,20.72,-0.067,6.4,0.00137,22.6,0.63
94,4,27.54,21.14,-0.067,6.4,0.00214,19.4,0.34
95,1,30.07,21.67,0.015,5.1,0.00144,23.3,0.78
95,2,30.07,20.14,-0.189,15.6,0.00258,21.3,0.15
95,3,30.07,19.62,-0.276,26.1,0.00149,20.2,0.35
95,4,30.07,19.15,-0.246,22.2,0.00155,22.6,0.7
96,1,30.18,21.26,-0.08,7.0,0.0015,19.4,0.7
96,2,30.18,20.34,-0.174,14.0,0.00211,20.5,0.22
96,3,30.18,20.9,-0.084,7.2,0.00159,22.6,0.25
96,4,30.18,22.54,0.025,5.2,0.00235,20.9,0.72
97,1,29.85,20.29,-0.183,15.0,0.00207,18.1,0.46
97,2,29.85,23.68,0.209,17.8,0.00274,22.7,1.0
97,3,29.85,21.68,-0.064,6.3,0.00201,16.4,0.65
97,4,29.85,21.3,-0.055,5.9,0.00136,20.7,0.41
98,1,29.29,20.91,-0.135,10.5,0.00241,16.9,0.26
98,2,29.29,22.18,-0.003,5.0,0.00218,22.9,0.85
98,3,29.29,21.04,-0.145,11.4,0.00267,22.5,0.77
98,4,29.29,19.69,-0.218,18.8,0.00258,19.1,0.51
99,1,29.73,23.73,0.196,16.3,0.00132,16.4,0.84
99,2,29.73,22.38,0.006,5.0,0.00181,17.8,0.43
99,3,29.73,21.83,-0.006,5.0,0.00193,21.0,0.83
99,4,29.73,22.22,0.053,5.9,0.00228,22.2,0.42
100,1,30.28,22.61,0.053,5.9,0.00262,19.5,0.39
100,2,30.28,23.02,0.069,6.5,0.00268,20.4,0.35
100,3,30.28,22.75,0.102,8.2,0.00247,17.1,0.64
100,4,30.28,21.6,-0.093,7.7,0.00258,17.4,0.59
101,1,31.58,20.64,-0.146,11.4,0.00277,22.2,0.21
101,2,31.58,22.07,0.045,5.6,0.00196,16.6,0.52
101,3,31.58,22.35,0.036,5.4,0.00149,23.7,0.79
101,4,31.58,19.18,-0.3,29.5,0.00189,18.9,0.45
102,1,30.25,22.65,0.075,6.7,0.00265,23.0,0.47
102,2,30.25,20.64,-0.135,10.6,0.00182,16.3,0.21
102,3,30.25,21.55,-0.056,6.0,0.00255,19.9,0.26
102,4,30.25,24.59,0.25,22.8,0.00261,19.6,0.51
