hour,day,hour_of_day,T_supply_zone1,T_supply_zone2,T_supply_zone3,blind_east,blind_west,lighting_lux,energy_kWh,comfort_class,kappa_SNN
44,1,20,18.4,18.4,18.9,0.85,0.18,483.0,0.1344,3,0.961
45,1,21,18.2,18.6,18.2,0.88,0.23,519.0,0.1087,2,0.882
46,1,22,17.8,17.6,18.3,0.13,0.83,565.0,0.0683,4,0.81
47,1,23,18.0,18.5,18.2,0.8,0.88,339.0,0.1163,2,0.961
48,2,0,17.9,17.9,17.8,0.34,0.43,590.0,0.1073,2,0.861
49,2,1,17.9,17.6,17.8,0.16,0.04,445.0,0.1126,2,0.964
50,2,2,16.9,16.6,16.6,0.87,0.26,334.0,0.086,3,0.703
51,2,3,17.0,17.5,16.8,0.56,0.63,371.0,0.1119,2,0.804
52,2,4,16.1,16.2,16.4,0.33,0.55,541.0,0.108,2,0.901
53,2,5,16.0,16.4,16.1,0.88,0.84,343.0,0.1383,2,0.829
54,2,6,16.0,15.4,16.2,0.75,0.21,377.0,0.1211,2,0.743
55,2,7,15.9,16.2,15.7,0.68,0.17,326.0,0.0602,3,0.953
56,2,8,15.8,15.7,16.1,0.67,0.88,633.0,0.0826,3,0.73
57,2,9,16.0,15.8,16.1,0.95,0.2,592.0,0.0725,2,0.758
58,2,10,16.3,16.5,16.5,0.39,0.41,337.0,0.1339,2,0.68
59,2,11,16.8,17.1,16.8,0.09,0.73,500.0,0.0944,2,0.719
60,2,12,16.5,16.3,16.6,0.49,0.76,538.0,0.0909,4,0.848
61,2,13,16.3,15.8,16.5,0.42,0.91,478.0,0.1152,3,0.714
62,2,14,15.9,16.0,15.6,0.79,0.91,540.0,0.072,2,0.9
63,2,15,15.7,16.3,15.6,0.66,0.94,552.0,0.1289,3,0.892
64,2,16,15.8,15.0,16.2,0.66,0.58,393.0,0.0537,2,0.659
65,2,17,16.2,16.2,15.4,0.12,0.43,305.0,0.1481,0,0.708
66,2,18,16.1,15.5,15.7,0.77,0.15,521.0,0.1316,2,0.889
67,2,19,16.1,15.9,15.8,0.31,0.8,308.0,0.0943,4,0.662
68,2,20,16.1,16.2,15.7,0.91,0.74,689.0,0.118,2,0.713
69,2,21,15.7,15.6,15.4,0.74,0.4,618.0,0.1101,1,0.857
70,2,22,16.2,15.1,15.9,0.33,0.11,614.0,0.0656,4,0.947
71,2,23,15.9,15.7,15.6,0.87,0.95,353.0,0.1387,2,0.834
72,3,0,15.7,15.9,15.2,0.23,0.96,528.0,0.1196,3,0.838
73,3,1,16.0,15.5,15.9,0.26,0.5,677.0,0.1432,2,0.706
74,3,2,15.6,15.2,15.6,0.58,0.6,738.0,0.0668,2,0.771
75,3,3,15.7,15.7,15.2,0.89,0.39,566.0,0.0723,0,0.684
76,3,4,15.6,16.7,15.9,0.11,0.53,387.0,0.0784,2,0.708
77,3,5,15.8,15.7,15.7,0.33,0.22,628.0,0.104,2,0.811
78,3,6,16.0,15.3,16.0,0.91,0.02,470.0,0.0976,2,0.726
79,3,7,15.6,15.9,15.2,0.8,0.14,388.0,0.0898,2,0.677
80,3,8,15.9,16.7,15.7,0.87,0.25,351.0,0.1267,1,0.931
81,3,9,15.9,15.3,15.5,0.3,0.31,426.0,0.0929,2,0.763
82,3,10,16.0,15.3,16.0,0.09,0.01,451.0,0.1251,2,0.803
83,3,11,16.3,16.5,16.1,0.38,0.91,347.0,0.0836,3,0.808
84,3,12,16.6,16.2,15.7,0.76,0.66,684.0,0.0863,3,0.696
85,3,13,16.5,16.6,16.7,0.93,0.81,714.0,0.0731,1,0.894
86,3,14,16.2,15.7,16.6,0.69,0.88,738.0,0.1462,2,0.656
87,3,15,16.4,16.1,16.5,0.79,0.45,615.0,0.14,2,0.692
88,3,16,16.6,16.7,16.2,0.57,0.29,593.0,0.087,3,0.87
89,3,17,16.3,15.8,16.5,0.99,0.38,360.0,0.1206,2,0.708
90,3,18,16.3,16.2,17.6,0.26,0.57,321.0,0.0691,2,0.852
91,3,19,15.6,14.9,16.1,0.7,0.67,307.0,0.1064,2,0.718
92,3,20,16.0,15.7,16.0,0.72,0.24,496.0,0.0987,4,0.939
93,3,21,15.7,15.4,15.2,0.37,0.46,393.0,0.1432,1,0.678
94,3,22,16.0,15.8,16.2,0.3,0.69,673.0,0.0882,0,0.854
95,3,23,16.0,16.7,16.1,0.07,0.2,480.0,0.0849,1,0.926
96,4,0,16.1,17.1,16.6,0.98,0.38,500.0,0.1133,2,0.909
97,4,1,16.0,16.5,16.0,0.66,0.86,697.0,0.1045,2,0.748
98,4,2,15.8,16.0,16.0,0.53,0.2,446.0,0.1009,3,0.655
99,4,3,15.9,16.2,15.8,0.62,0.55,406.0,0.0694,0,0.918
100,4,4,15.9,16.5,16.3,0.51,0.28,652.0,0.0552,2,0.703
101,4,5,15.6,16.2,15.7,0.06,0.76,416.0,0.0767,3,0.954
102,4,6,15.6,15.8,15.6,0.54,0.82,598.0,0.1435,3,0.947
103,4,7,15.7,15.3,15.5,0.94,0.46,749.0,0.1384,2,0.694
104,4,8,16.2,15.7,16.2,0.85,0.88,481.0,0.0632,1,0.865
105,4,9,15.8,15.8,16.3,0.15,0.97,488.0,0.1223,3,0.92
106,4,10,16.1,16.2,16.0,0.87,0.86,683.0,0.0973,2,0.722
107,4,11,16.2,15.9,15.8,0.96,0.8,339.0,0.094,2,0.934
108,4,12,16.4,15.6,16.2,0.66,0.56,415.0,0.1393,3,0.96
109,4,13,16.5,16.1,16.7,0.74,0.42,616.0,0.0919,2,0.855
110,4,14,16.9,17.1,16.7,0.27,0.65,359.0,0.0571,2,0.76
111,4,15,16.9,17.1,16.9,0.4,0.12,318.0,0.1045,2,0.785
112,4,16,16.8,17.1,16.0,0.23,0.62,582.0,0.0629,2,0.951
113,4,17,16.6,16.4,16.4,0.91,0.56,456.0,0.0804,2,0.747
114,4,18,16.4,15.9,16.3,0.1,1.0,398.0,0.0724,3,0.794
115,4,19,16.4,16.6,15.7,0.12,0.49,734.0,0.1305,3,0.957
116,4,20,16.6,16.5,16.1,0.39,0.57,620.0,0.0701,2,0.968
117,4,21,16.7,17.0,16.3,0.94,0.99,400.0,0.0655,3,0.8
118,4,22,16.6,16.4,16.4,0.55,0.11,495.0,0.116,2,0.7
119,4,23,16.8,16.5,16.1,0.22,0.41,349.0,0.149,2,0.72
120,5,0,16.9,16.6,17.0,0.7,0.38,498.0,0.1421,3,0.798
121,5,1,17.1,17.1,16.9,0.09,0.28,691.0,0.0823,2,0.824
122,5,2,16.4,16.1,16.5,0.87,0.09,541.0,0.11,4,0.938
123,5,3,16.4,15.8,16.2,0.26,0.47,511.0,0.0753,4,0.748
124,5,4,16.0,15.9,16.0,0.98,0.64,682.0,0.138,2,0.945
125,5,5,16.3,16.3,15.9,0.19,0.9,553.0,0.111,2,0.698
126,5,6,16.1,16.1,16.6,0.63,0.77,534.0,0.0537,2,0.866
127,5,7,16.2,16.5,16.2,0.87,0.87,611.0,0.0791,0,0.904
128,5,8,16.7,16.8,17.7,0.04,0.04,351.0,0.1018,2,0.791
129,5,9,16.7,16.3,17.2,0.33,0.41,520.0,0.0893,3,0.817
130,5,10,16.6,17.1,16.9,0.41,0.41,629.0,0.0575,1,0.782
131,5,11,16.2,15.9,16.3,0.61,0.93,343.0,0.0831,2,0.751
132,5,12,16.0,16.3,15.5,0.99,0.19,312.0,0.1005,3,0.819
133,5,13,16.3,16.4,16.6,0.14,0.99,602.0,0.0737,2,0.883
134,5,14,16.6,16.9,16.1,0.93,0.48,424.0,0.0617,2,0.747
135,5,15,16.7,16.8,16.7,0.51,0.07,353.0,0.1099,2,0.947
136,5,16,16.9,17.6,16.0,0.71,0.72,406.0,0.0691,3,0.727
137,5,17,16.9,17.1,17.4,0.41,0.36,424.0,0.0906,2,0.732
138,5,18,17.2,17.2,16.9,0.42,0.88,610.0,0.1094,2,0.722
139,5,19,16.8,17.6,16.5,0.17,0.08,376.0,0.0917,2,0.804
140,5,20,17.2,16.9,17.4,0.15,0.68,679.0,0.1417,1,0.968
141,5,21,17.1,17.7,16.8,0.38,0.13,580.0,0.0973,3,0.686
142,5,22,17.1,16.8,16.6,0.59,0.03,741.0,0.1194,2,0.883
143,5,23,17.2,17.4,17.5,0.48,0.94,438.0,0.0642,2,0.875
144,6,0,17.0,16.5,16.9,0.68,0.66,528.0,0.0567,2,0.769
145,6,1,17.0,16.8,17.0,0.45,0.66,479.0,0.1122,3,0.738
146,6,2,17.2,17.3,17.5,0.7,0.73,740.0,0.0943,1,0.87
147,6,3,17.3,17.8,16.8,0.74,0.78,543.0,0.0876,2,0.702
148,6,4,16.9,17.2,16.5,0.09,0.85,565.0,0.079,2,0.816
149,6,5,17.4,17.4,17.5,0.75,0.46,430.0,0.0777,2,0.92
150,6,6,17.5,16.8,17.5,0.46,0.64,574.0,0.1245,3,0.783
151,6,7,17.4,17.0,17.7,0.23,0.76,364.0,0.1159,3,0.859
152,6,8,17.5,16.7,17.2,0.77,0.04,600.0,0.0952,4,0.778
153,6,9,17.3,16.7,17.3,0.87,0.43,676.0,0.0848,2,0.658
154,6,10,17.1,16.5,17.3,0.71,0.72,385.0,0.131,2,0.723
155,6,11,17.7,18.0,17.8,0.52,0.46,648.0,0.1416,2,0.974
156,6,12,17.2,17.5,17.3,0.11,0.69,369.0,0.071,2,0.955
157,6,13,17.4,17.4,16.6,0.61,0.87,534.0,0.1197,1,0.894
158,6,14,17.5,17.4,17.5,0.81,0.13,327.0,0.0839,2,0.673
159,6,15,17.2,17.0,17.2,0.69,0.8,516.0,0.1255,2,0.683
160,6,16,17.2,17.2,17.8,0.29,0.81,657.0,0.114,2,0.769
161,6,17,17.1,17.2,17.2,0.58,0.9,406.0,0.1008,2,0.708
162,6,18,16.8,17.2,16.5,0.91,0.3,546.0,0.0805,2,0.962
163,6,19,16.6,17.1,16.6,0.42,0.98,733.0,0.0756,2,0.865
164,6,20,16.9,16.4,16.8,0.28,0.63,656.0,0.0748,3,0.672
165,6,21,17.1,17.0,17.2,0.58,0.17,648.0,0.0868,3,0.747
166,6,22,17.2,17.6,17.6,0.02,0.82,366.0,0.066,4,0.805
167,6,23,17.2,17.1,17.2,0.8,0.67,586.0,0.1163,2,0.965
